"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade03",,,,"User:","root"
"Cmdline:","dstat --output=res-OLTP-RO-memory-disk-samsung-8t-rocks/mongowt.BP84/thr84/dstat.txt 10",,,,"Date:","02 Jun 2016 19:56:20 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
9.313,2.130,85.687,2.544,0.0,0.326,32977347.765,73525799.660,0.0,0.0,185.369,87651.132,17279.747,200647.761
67.539,10.694,19.517,0.009,0.0,2.241,412876.800,10649.600,986.200,1915.200,0.0,0.0,53717.500,783640.800
68.586,10.640,18.477,0.009,0.0,2.287,413696.0,8601.600,606.200,24.600,0.0,0.0,48458.0,778342.600
68.301,10.656,18.678,0.011,0.0,2.354,403046.400,14745.600,589.200,35.100,0.0,0.0,48852.500,781232.0
68.422,10.637,18.586,0.009,0.0,2.346,400588.800,9011.200,648.0,230.800,0.0,0.0,48090.700,779979.900
68.481,10.609,18.622,0.007,0.0,2.281,389529.600,15974.400,649.500,169.700,0.0,0.0,48140.300,778490.400
68.621,10.466,18.685,0.011,0.0,2.217,380928.0,12288.0,605.900,106.100,0.0,0.0,47866.500,777406.900
68.492,10.648,18.574,0.007,0.0,2.279,396902.400,9420.800,504.600,24.600,0.0,0.0,48014.0,779429.700
68.562,10.697,18.380,0.031,0.0,2.330,800358.400,10240.0,1427.600,3078.300,0.0,0.0,48671.300,776879.800
68.618,10.623,18.488,0.015,0.0,2.257,561561.600,20480.0,1923.600,6841.800,0.0,0.0,48505.200,779601.300
68.757,10.701,18.256,0.007,0.0,2.280,350617.600,10240.0,1463.400,6403.800,0.0,0.0,48480.800,778082.300
68.630,10.616,18.465,0.007,0.0,2.281,354713.600,13107.200,1495.400,6467.500,0.0,0.0,49007.700,780788.0
68.420,10.554,18.710,0.005,0.0,2.310,321536.0,10240.0,1561.800,6576.600,0.0,0.0,51696.800,782038.700
68.324,10.703,18.731,0.007,0.0,2.235,337920.0,13516.800,1494.200,6458.900,0.0,0.0,48740.400,779637.600
68.549,10.492,18.638,0.005,0.0,2.315,303513.600,12697.600,1432.0,6407.600,0.0,0.0,48638.800,781021.600
68.349,10.732,18.633,0.009,0.0,2.277,333004.800,9420.800,1474.400,6423.300,0.0,0.0,48091.400,781439.0
68.284,10.526,18.885,0.009,0.0,2.295,364953.600,22937.600,1749.800,6748.400,0.0,0.0,50574.300,782106.900
68.500,10.754,18.315,0.033,0.0,2.399,526336.0,23347.200,1678.400,6598.300,35635.200,0.0,48994.400,776355.300
68.803,10.570,18.235,0.005,0.0,2.387,348569.600,18432.0,2022.600,6993.500,0.0,0.0,48865.0,776206.200
68.578,10.633,18.397,0.005,0.0,2.387,333824.0,21708.800,1844.600,6744.400,0.0,0.0,48508.600,777127.100
68.431,10.727,18.454,0.007,0.0,2.380,338329.600,5324.800,2043.400,6906.500,0.0,0.0,49275.0,776818.200
68.504,10.894,18.318,0.016,0.0,2.268,400179.200,6553.600,2035.0,6886.900,40550.400,0.0,48304.100,774860.500
68.560,10.722,18.365,0.004,0.0,2.350,326041.600,15155.200,1878.0,6253.600,0.0,0.0,47961.0,773767.100
68.268,10.765,18.604,0.007,0.0,2.357,294092.800,6963.200,1476.800,6352.100,0.0,0.0,48503.300,774803.900
68.484,10.467,18.623,0.007,0.0,2.419,326041.600,7782.400,1570.200,6595.400,0.0,0.0,49763.100,771585.800
68.635,10.779,18.255,0.005,0.0,2.326,351027.200,9830.400,1593.400,6613.200,0.0,0.0,49700.300,774722.800
68.641,10.581,18.415,0.005,0.0,2.358,318259.200,8601.600,1920.600,6708.800,0.0,0.0,47865.600,771893.200
68.406,10.829,18.486,0.007,0.0,2.271,321536.0,8192.0,2203.700,5392.100,0.0,0.0,48181.0,772564.800
68.530,10.700,18.444,0.007,0.0,2.319,315392.0,17612.800,1462.200,3222.300,0.0,0.0,47946.800,775100.100
68.458,10.843,18.353,0.005,0.0,2.340,310886.400,29491.200,1929.800,6786.200,0.0,0.0,51302.200,771542.800
68.383,10.731,18.628,0.004,0.0,2.253,314163.200,7782.400,1848.700,6741.0,0.0,0.0,48063.600,775002.500
