You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  8   2  88   2   0   0|  25M   63M|   0     0 |  37B   11k|  18k  165k
 43   7  47   0   0   3| 410B   10k|  89B  424B|   0     0 |  12k  596k
 43   7  47   0   0   3|   0    12k|  25B   36B|   0     0 |  12k  641k
 43   7  47   0   0   3|   0  8602B|  19B   25B|   0     0 |  11k  596k
 43   7  47   0   0   3|   0    15k|  25B   49B|   0     0 |  16k  602k
 43   7  47   0   0   3|   0    14k|  25B   36B|   0     0 |  11k  635k
 43   7  47   0   0   3|   0    12k|  13B   36B|   0     0 |  11k  613k
 43   7  47   0   0   3| 819B 9830B|  41B   43B|   0     0 |  10k  602k
 43   7  47   0   0   3|   0    10k|  31B   25B|   0     0 |  10k  603k
 43   7  47   0   0   3|   0    10k|  30B   25B|   0     0 |  13k  633k
 43   7  47   0   0   3|   0  9830B|  25B   25B|   0     0 |  10k  609k
 43   7  46   0   0   3|   0    10k|   7B   36B|   0     0 |  11k  649k
 44   7  47   0   0   3|   0    11k|  65B   36B|   0     0 |  11k  591k
 43   7  46   0   0   3| 410B   14k|  98B   31B|   0     0 |  23k  611k
 44   7  46   0   0   3|   0    12k|  19B   25B|   0     0 |  11k  609k
 43   7  47   0   0   3|   0    12k|  59B   25B|   0     0 |  11k  589k
 43   7  47   0   0   3| 819B   11k|  47B   36B|   0     0 |  11k  584k
 43   7  47   0   0   3|   0    22k|  47B   36B|   0     0 |  19k  592k
 43   7  47   0   0   3|   0    12k|  78B   36B|   0     0 |  11k  578k
 43   7  47   0   0   3|   0    13k|  57B   43B|   0     0 |  11k  573k
 43   7  47   0   0   3|   0    13k|  25B   36B|   0     0 |  11k  586k
 43   7  46   0   0   3|   0    12k| 133B   36B|   0     0 |  14k  608k
 43   7  46   0   0   3|   0    12k|  59B   36B|   0     0 |  12k  608k
 43   7  47   0   0   3|   0    14k|  77B   36B|   0     0 |  11k  596k
 44   7  47   0   0   3|   0    14k|  19B   36B|   0     0 |  11k  573k
 44   7  47   0   0   3|   0    14k|  94B   25B|   0     0 |  11k  585k
 44   7  47   0   0   3|   0    16k|  97B   31B|   0     0 |  12k  587k
 44   7  47   0   0   3|   0  5734B|  47B   25B|   0     0 |  11k  598k
 43   7  47   0   0   3|   0  7782B|  47B   25B|   0     0 |  11k  595k
 44   7  47   0   0   3|   0  8192B|  13B   25B|   0     0 |  10k  585k
