
  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 nvme0n1 27603.2    15.5   417.2     0%    7.9     0.3  3397.3     6.3    21.0     0%    0.1     0.0 100%     10 31000.5    0.2   0.0
  1.0 sdb         9.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     9.0    0.0   0.0
  1.0 sdb2        9.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     9.0    0.0   0.0
  1.0 md1         9.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     9.0    0.0   0.0

  1.0 nvme0n1 23957.6    15.3   358.4     0%    7.0     0.3  3722.9     6.4    23.4     0%    0.1     0.0 100%      7 27680.6    0.2   0.0
  1.0 sdb         8.0     4.0     0.0     0%    0.0     0.5     0.0     0.0     0.0     0%    0.0     0.0   0%      0     8.0    0.0   0.5
  1.0 sdb2        8.0     4.0     0.0     0%    0.0     0.5     0.0     0.0     0.0     0%    0.0     0.0   0%      0     8.0    0.0   0.5
  1.0 md1         8.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     8.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 nvme0n1 22745.3    15.3   338.9     0%    6.8     0.3  3807.0     6.4    23.8     0%    0.2     0.0 100%      8 26552.3    0.2   0.0
  1.0 sdb         9.0     4.0     0.0     0%    0.0     0.4     7.0    20.0     0.1    82%    0.0     0.6   2%      0    16.0    0.1   0.5
  1.0 sdb2        9.0     4.0     0.0     0%    0.0     0.4     7.0    20.0     0.1    82%    0.0     0.6   2%      0    16.0    0.1   0.5
