
  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 nvme0n1 28721.3    16.0   448.8     0%    8.4     0.3  3697.3     6.2    22.5     0%    0.2     0.0 100%      3 32418.6    0.2   0.0
  1.0 sdb         2.0     4.0     0.0     0%    0.0     2.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   2.0
  1.0 sdb2        2.0     4.0     0.0     0%    0.0     2.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   2.0
  1.0 md1         2.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   0.0

  1.0 nvme0n1 23985.1    16.0   374.8     0%    7.4     0.3  4188.0     6.2    25.4     0%    0.2     0.0  99%     10 28173.1    0.2   0.0
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0   124.0     9.4     1.1    35%    0.0     0.2   3%      0   124.0    0.0   0.1
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0   124.0     9.4     1.1    35%    0.0     0.2   3%      0   124.0    0.0   0.1
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0   124.0     9.4     1.1    35%    0.0     0.2   3%      0   124.0    0.0   0.2
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0   124.0     9.4     1.1    35%    0.0     0.2   3%      0   124.0    0.0   0.2
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0   186.0     6.3     1.1     0%    0.0     0.0   0%      0   186.0    0.0   0.0

  1.0 nvme0n1 23140.9    16.0   361.6     0%    6.9     0.3  4368.0     6.2    26.5     0%    0.2     0.0 100%      7 27508.9    0.2   0.0
  1.0 sdb         1.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     1.0    0.0   0.0
  1.0 sdb2        1.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     1.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         1.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     1.0    0.0   0.0

  1.0 nvme0n1 21794.0    16.0   340.5     0%    6.6     0.3  4464.0     6.1    26.4     0%    0.2     0.1 100%      4 26258.1    0.2   0.0
  1.0 sdb         2.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   0.0
  1.0 sdb2        2.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         2.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   0.0

  1.0 nvme0n1 20259.0    16.0   316.5     0%    6.3     0.3  4476.0     6.1    26.7     0%    0.3     0.1  98%     10 24735.0    0.2   0.0
  1.0 sdb         1.0     4.0     0.0     0%    0.0     4.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     1.0    0.0   4.0
  1.0 sdb2        1.0     4.0     0.0     0%    0.0     4.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     1.0    0.0   4.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         1.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     1.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 nvme0n1 19970.0    16.0   312.0     0%    6.0     0.3  4645.0     6.0    27.1     0%    0.2     0.0  98%      8 24615.0    0.2   0.0
  1.0 sdb         2.0     4.0     0.0     0%    0.0     4.0     0.0     0.0     0.0     0%    0.0     0.0   1%      0     2.0    0.0   4.0
  1.0 sdb2        2.0     4.0     0.0     0%    0.0     4.0     0.0     0.0     0.0     0%    0.0     0.0   1%      0     2.0    0.0   4.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         2.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   0.0

  1.0 nvme0n1 18826.0    16.0   294.2     0%    5.9     0.3  4807.0     5.9    27.6     0%    0.2     0.0  99%      5 23633.0    0.2   0.0
  1.0 sdb         2.0     4.0     0.0     0%    0.0     0.0     7.0    37.1     0.3    90%    0.0     0.4   2%      0     9.0    0.1   0.3
  1.0 sdb2        2.0     4.0     0.0     0%    0.0     0.0     7.0    37.1     0.3    90%    0.0     0.4   2%      0     9.0    0.1   0.3
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     7.0    37.1     0.3    90%    0.0     0.4   2%      0     7.0    0.1   0.3
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     7.0    37.1     0.3    90%    0.0     0.4   2%      0     7.0    0.1   0.3
  1.0 md1         2.0     4.0     0.0     0%    0.0     0.0    64.0     4.0     0.2     0%    0.0     0.0   0%      0    66.0    0.0   0.0

  1.0 nvme0n1 17472.8    16.0   273.0     0%    5.5     0.3  4813.9     6.0    28.4     0%    0.2     0.0 100%     10 22286.8    0.2   0.0
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  1.0 nvme0n1 16857.1    16.0   263.4     0%    5.5     0.3  4921.0     5.8    28.1     0%    0.2     0.0  98%      7 21778.1    0.2   0.0
  1.0 sdb         2.0     4.0     0.0     0%    0.0     4.0     0.0     0.0     0.0     0%    0.0     0.0   1%      0     2.0    0.0   4.0
  1.0 sdb2        2.0     4.0     0.0     0%    0.0     4.0     0.0     0.0     0.0     0%    0.0     0.0   1%      0     2.0    0.0   4.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         2.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   0.0

  1.0 nvme0n1 15753.0    16.0   246.1     0%    4.9     0.3  5023.0     5.9    28.7     0%    0.3     0.1  98%      4 20776.0    0.2   0.0
  1.0 sdb         2.0     4.0     0.0     0%    0.0     2.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   2.0
  1.0 sdb2        2.0     4.0     0.0     0%    0.0     2.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   2.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         2.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   0.0

  1.0 nvme0n1 14975.0    16.0   234.0     0%    4.9     0.3  5034.0     5.8    28.7     0%    0.3     0.1  99%      7 20009.0    0.2   0.0
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 nvme0n1 14546.8    16.0   227.3     0%    4.8     0.3  5275.9     5.8    29.9     0%    0.3     0.1  98%      4 19822.7    0.2   0.0
  1.0 sdb         1.0     4.0     0.0     0%    0.0     0.0     7.0     9.7     0.1    67%    0.0     1.3   2%      0     8.0    0.2   1.1
  1.0 sdb2        1.0     4.0     0.0     0%    0.0     0.0     7.0     9.7     0.1    67%    0.0     1.3   2%      0     8.0    0.2   1.1
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     7.0     9.7     0.1    67%    0.0     1.3   2%      0     7.0    0.2   1.1
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     7.0     9.7     0.1    67%    0.0     1.3   2%      0     7.0    0.2   1.1
