
  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 nvme0n1 25825.0    15.5   391.9     0%    6.6     0.3  3037.1     6.2    18.3     0%    0.1     0.0 100%     12 28862.2    0.2   0.0
  1.0 sdb       109.0     4.4     0.5     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0   109.0    0.0   0.0
  1.0 sdb2      109.0     4.4     0.5     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0   109.0    0.0   0.0
  1.0 sdc        34.0     4.0     0.1     0%    0.0     0.1     0.0     0.0     0.0     0%    0.0     0.0   0%      0    34.0    0.0   0.1
  1.0 sdc2       34.0     4.0     0.1     0%    0.0     0.1     0.0     0.0     0.0     0%    0.0     0.0   0%      0    34.0    0.0   0.1
  1.0 md1       143.0     4.3     0.6     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0   143.0    0.0   0.0

  1.0 nvme0n1 19778.7    15.3   296.4     0%    5.2     0.3  3201.1     6.2    19.4     0%    0.1     0.0  99%     11 22979.8    0.2   0.0
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 nvme0n1 19161.4    15.3   286.3     0%    5.1     0.3  3325.1     6.3    20.4     0%    0.2     0.1 100%      3 22486.5    0.2   0.0
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

