sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2242.44, reads: 31514.15, writes: 8979.76, response time: 11.32ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2726.01, reads: 38198.16, writes: 10899.05, response time: 9.40ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2877.99, reads: 40277.92, writes: 11509.98, response time: 9.03ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2904.01, reads: 40621.08, writes: 11618.02, response time: 8.72ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2923.00, reads: 40989.01, writes: 11691.00, response time: 8.69ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 3014.00, reads: 42184.94, writes: 12056.98, response time: 8.41ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3005.00, reads: 42049.01, writes: 12033.00, response time: 8.60ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3093.00, reads: 43335.01, writes: 12354.00, response time: 8.21ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3102.00, reads: 43452.06, writes: 12416.02, response time: 8.19ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3171.99, reads: 44380.93, writes: 12684.98, response time: 7.87ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3176.00, reads: 44431.06, writes: 12709.02, response time: 8.00ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3200.00, reads: 44883.02, writes: 12801.00, response time: 7.81ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3295.00, reads: 46113.96, writes: 13179.99, response time: 7.51ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 3301.00, reads: 46161.06, writes: 13194.02, response time: 7.42ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3337.00, reads: 46732.99, writes: 13370.00, response time: 7.57ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3378.00, reads: 47288.03, writes: 13498.01, response time: 7.55ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3337.00, reads: 46724.00, writes: 13340.00, response time: 7.57ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3432.00, reads: 48032.01, writes: 13739.00, response time: 7.55ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3461.99, reads: 48367.86, writes: 13835.96, response time: 7.20ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3482.00, reads: 48868.05, writes: 13940.01, response time: 7.17ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3521.00, reads: 49282.03, writes: 14080.01, response time: 7.18ms (95%), errors: 0.00, reconnects:  0.00
