sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2203.55, reads: 31032.70, writes: 8828.21, response time: 11.61ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2737.95, reads: 38309.34, writes: 10956.81, response time: 9.01ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2859.06, reads: 40004.80, writes: 11424.23, response time: 8.98ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2854.00, reads: 39976.94, writes: 11418.98, response time: 9.16ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2924.95, reads: 41008.34, writes: 11700.81, response time: 8.70ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2932.05, reads: 40964.75, writes: 11718.21, response time: 8.77ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 2975.89, reads: 41673.44, writes: 11903.55, response time: 8.78ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3051.13, reads: 42714.83, writes: 12210.52, response time: 8.52ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3067.98, reads: 42943.70, writes: 12268.91, response time: 8.35ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3117.96, reads: 43712.43, writes: 12470.84, response time: 8.07ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3085.95, reads: 43145.35, writes: 12355.81, response time: 8.80ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3223.12, reads: 45143.65, writes: 12890.47, response time: 8.07ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3234.00, reads: 45254.02, writes: 12929.01, response time: 7.91ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 3317.00, reads: 46445.97, writes: 13268.99, response time: 7.62ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3240.01, reads: 45364.10, writes: 12961.03, response time: 7.75ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3268.99, reads: 45761.81, writes: 13078.95, response time: 7.73ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3342.01, reads: 46791.10, writes: 13368.03, response time: 7.87ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3392.99, reads: 47485.93, writes: 13570.98, response time: 7.46ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3412.01, reads: 47807.10, writes: 13643.03, response time: 7.47ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3415.00, reads: 47790.02, writes: 13664.01, response time: 7.63ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3505.99, reads: 49082.91, writes: 14026.97, response time: 7.17ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3205.00, reads: 44882.99, writes: 12835.00, response time: 8.71ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3347.99, reads: 46836.92, writes: 13364.98, response time: 8.01ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 3355.01, reads: 47057.20, writes: 13424.06, response time: 7.87ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3318.00, reads: 46450.01, writes: 13316.00, response time: 7.52ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 3486.99, reads: 48753.88, writes: 13899.97, response time: 7.46ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 3287.00, reads: 46074.94, writes: 13178.98, response time: 8.21ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 3503.01, reads: 49021.12, writes: 13986.04, response time: 7.52ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 3449.00, reads: 48246.03, writes: 13794.01, response time: 7.54ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 3514.00, reads: 49239.01, writes: 14064.00, response time: 7.32ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 3460.00, reads: 48396.97, writes: 13837.99, response time: 8.06ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 3495.99, reads: 48951.91, writes: 13997.97, response time: 7.49ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 3493.00, reads: 48931.02, writes: 13983.01, response time: 7.58ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 3621.00, reads: 50656.99, writes: 14477.00, response time: 7.06ms (95%), errors: 0.00, reconnects:  0.00
