sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2167.85, reads: 30500.90, writes: 8674.40, response time: 12.10ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2716.00, reads: 38025.05, writes: 10866.01, response time: 9.14ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2819.00, reads: 39482.96, writes: 11277.99, response time: 9.05ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2912.00, reads: 40749.97, writes: 11653.99, response time: 8.54ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2914.00, reads: 40837.96, writes: 11651.99, response time: 8.91ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2944.01, reads: 41167.17, writes: 11772.05, response time: 8.72ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 2986.00, reads: 41837.97, writes: 11947.99, response time: 8.60ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3010.00, reads: 42114.06, writes: 12048.02, response time: 8.56ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 2999.00, reads: 42008.95, writes: 11982.99, response time: 8.69ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3040.99, reads: 42584.89, writes: 12164.97, response time: 8.50ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3106.01, reads: 43519.13, writes: 12437.04, response time: 8.30ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3149.00, reads: 44015.01, writes: 12585.00, response time: 8.26ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3203.97, reads: 44833.64, writes: 12819.90, response time: 7.98ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 3257.02, reads: 45634.28, writes: 13025.08, response time: 7.82ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3155.00, reads: 44163.07, writes: 12616.02, response time: 8.16ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3243.00, reads: 45371.99, writes: 12976.00, response time: 7.89ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3282.00, reads: 45989.99, writes: 13120.00, response time: 7.75ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3364.00, reads: 47094.95, writes: 13462.98, response time: 7.49ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3380.00, reads: 47322.98, writes: 13515.00, response time: 7.65ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3327.00, reads: 46614.98, writes: 13314.99, response time: 7.67ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3445.98, reads: 48137.79, writes: 13782.94, response time: 7.47ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3395.02, reads: 47594.33, writes: 13582.09, response time: 7.38ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3516.00, reads: 49201.95, writes: 14067.99, response time: 7.24ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 3446.01, reads: 48291.08, writes: 13807.02, response time: 7.39ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3278.99, reads: 45910.88, writes: 13093.97, response time: 8.63ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 3360.01, reads: 46995.12, writes: 13451.03, response time: 8.08ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 3442.99, reads: 48215.87, writes: 13748.96, response time: 7.67ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 3596.01, reads: 50332.13, writes: 14397.04, response time: 7.01ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 3512.99, reads: 49201.82, writes: 14040.95, response time: 7.25ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 3525.00, reads: 49346.03, writes: 14105.01, response time: 7.43ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 3562.02, reads: 49876.21, writes: 14262.06, response time: 7.29ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 3632.98, reads: 50891.76, writes: 14517.93, response time: 7.03ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 3559.00, reads: 49770.07, writes: 14240.02, response time: 7.88ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 3554.01, reads: 49826.09, writes: 14207.02, response time: 7.33ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 3663.00, reads: 51221.98, writes: 14650.00, response time: 7.10ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 3532.01, reads: 49426.12, writes: 14133.03, response time: 7.50ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 3436.99, reads: 48109.93, writes: 13739.98, response time: 7.96ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 3682.99, reads: 51582.80, writes: 14734.94, response time: 6.85ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 3698.01, reads: 51727.12, writes: 14798.04, response time: 6.75ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 3506.00, reads: 49198.96, writes: 14074.99, response time: 7.31ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 3707.00, reads: 51873.05, writes: 14812.01, response time: 7.07ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 3651.00, reads: 51022.01, writes: 14581.00, response time: 7.34ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 3668.99, reads: 51449.88, writes: 14665.97, response time: 7.33ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 3581.01, reads: 50127.10, writes: 14328.03, response time: 7.28ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 3740.00, reads: 52368.05, writes: 14951.01, response time: 6.76ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 3549.00, reads: 49714.05, writes: 14230.01, response time: 7.12ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 3687.99, reads: 51624.82, writes: 14729.95, response time: 7.10ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 3610.00, reads: 50522.04, writes: 14426.01, response time: 7.78ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 3721.01, reads: 52090.09, writes: 14903.03, response time: 7.03ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 3746.00, reads: 52443.01, writes: 15012.00, response time: 7.05ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 3829.99, reads: 53629.88, writes: 15304.97, response time: 6.65ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 16, tps: 3508.01, reads: 49039.15, writes: 14004.04, response time: 7.41ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 16, tps: 3765.00, reads: 52794.96, writes: 15068.99, response time: 6.66ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 16, tps: 3738.00, reads: 52337.99, writes: 14969.00, response time: 6.93ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 16, tps: 3741.00, reads: 52257.94, writes: 14929.98, response time: 7.16ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 16, tps: 3868.01, reads: 54249.07, writes: 15495.02, response time: 6.61ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 16, tps: 3678.99, reads: 51515.91, writes: 14714.98, response time: 6.97ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 16, tps: 3702.00, reads: 51803.01, writes: 14805.00, response time: 7.53ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 16, tps: 3875.93, reads: 54278.03, writes: 15495.72, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 3879.07, reads: 54283.00, writes: 15505.28, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 16, tps: 3775.96, reads: 52804.48, writes: 15122.85, response time: 6.65ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 16, tps: 3732.03, reads: 52286.47, writes: 14911.13, response time: 6.59ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 16, tps: 3807.00, reads: 53344.03, writes: 15230.01, response time: 6.60ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 16, tps: 3940.97, reads: 55116.61, writes: 15764.89, response time: 6.46ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 16, tps: 3844.03, reads: 53896.43, writes: 15384.12, response time: 6.79ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 16, tps: 3881.00, reads: 54184.98, writes: 15514.99, response time: 6.67ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 16, tps: 3905.99, reads: 54752.92, writes: 15630.98, response time: 6.63ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 16, tps: 3876.01, reads: 54285.12, writes: 15506.03, response time: 6.59ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 16, tps: 3904.99, reads: 54685.83, writes: 15606.95, response time: 6.45ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 3813.00, reads: 53358.02, writes: 15264.01, response time: 6.73ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 16, tps: 3868.00, reads: 54208.06, writes: 15508.02, response time: 6.66ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 16, tps: 3942.00, reads: 55169.97, writes: 15727.99, response time: 6.48ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 16, tps: 3936.00, reads: 55052.94, writes: 15735.98, response time: 6.44ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 16, tps: 3880.00, reads: 54343.99, writes: 15549.00, response time: 6.47ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 16, tps: 3871.01, reads: 54179.19, writes: 15460.05, response time: 6.95ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 16, tps: 3814.00, reads: 53446.95, writes: 15296.98, response time: 6.51ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 16, tps: 3965.00, reads: 55438.97, writes: 15813.99, response time: 6.51ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 16, tps: 3872.99, reads: 54262.92, writes: 15495.98, response time: 6.78ms (95%), errors: 0.00, reconnects:  0.00
[  79s] threads: 16, tps: 3805.00, reads: 53286.01, writes: 15218.00, response time: 6.84ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 3986.01, reads: 55807.10, writes: 15972.03, response time: 6.51ms (95%), errors: 0.00, reconnects:  0.00
[  81s] threads: 16, tps: 3851.99, reads: 53915.86, writes: 15386.96, response time: 6.72ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 16, tps: 3956.00, reads: 55389.03, writes: 15817.01, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[  83s] threads: 16, tps: 3856.01, reads: 54021.20, writes: 15432.06, response time: 6.65ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 16, tps: 3937.99, reads: 55073.81, writes: 15742.94, response time: 6.47ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 16, tps: 3808.00, reads: 53334.01, writes: 15248.00, response time: 6.74ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 16, tps: 3935.00, reads: 54996.02, writes: 15723.00, response time: 6.50ms (95%), errors: 0.00, reconnects:  0.00
[  87s] threads: 16, tps: 3834.00, reads: 53803.05, writes: 15367.01, response time: 6.72ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 16, tps: 3942.01, reads: 55163.13, writes: 15748.04, response time: 6.56ms (95%), errors: 0.00, reconnects:  0.00
[  89s] threads: 16, tps: 3920.00, reads: 54840.95, writes: 15679.99, response time: 6.38ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 3890.00, reads: 54439.97, writes: 15568.99, response time: 6.35ms (95%), errors: 0.00, reconnects:  0.00
[  91s] threads: 16, tps: 3919.99, reads: 54884.89, writes: 15667.97, response time: 6.51ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 16, tps: 3868.00, reads: 54158.01, writes: 15468.00, response time: 6.63ms (95%), errors: 0.00, reconnects:  0.00
[  93s] threads: 16, tps: 3847.00, reads: 53878.00, writes: 15397.00, response time: 6.69ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 16, tps: 4035.00, reads: 56467.98, writes: 16127.00, response time: 6.29ms (95%), errors: 0.00, reconnects:  0.00
[  95s] threads: 16, tps: 3919.01, reads: 54903.14, writes: 15692.04, response time: 6.66ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 16, tps: 4178.00, reads: 58398.95, writes: 16695.99, response time: 5.81ms (95%), errors: 0.00, reconnects:  0.00
[  97s] threads: 16, tps: 3979.00, reads: 55790.99, writes: 15931.00, response time: 6.49ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 16, tps: 3901.00, reads: 54663.97, writes: 15609.99, response time: 6.51ms (95%), errors: 0.00, reconnects:  0.00
[  99s] threads: 16, tps: 4097.98, reads: 57288.76, writes: 16380.93, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 4002.02, reads: 56060.23, writes: 16023.06, response time: 6.49ms (95%), errors: 0.00, reconnects:  0.00
[ 101s] threads: 16, tps: 3997.00, reads: 56009.01, writes: 15986.00, response time: 6.45ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 16, tps: 3982.01, reads: 55675.11, writes: 15908.03, response time: 6.36ms (95%), errors: 0.00, reconnects:  0.00
