procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 121008608  24796 199004    0    0   161   171    3    1  1  0 99  0  0
10  2      0 120450656  28540 203020    0    0 424888 16391 105729 260025 15  7 70  8  0
 8  7      0 120121504  30548 211328    0    0 308068 20004 137928 295357 19  7 67  7  0
16  4      0 119817680  32548 221752    0    0 289252 20048 133662 294786 19  8 67  6  0
10  7      0 119528912  34524 228988    0    0 281528 20208 141388 305343 20  7 67  6  0
15  6      0 119243568  36524 236572    0    0 266860 20412 143408 306644 20  8 67  6  0
15  6      0 118973056  38500 243596    0    0 258248 20048 140883 312727 20  8 66  6  0
13  6      0 118722688  40500 250588    0    0 242068 19900 141137 308105 20  7 67  6  0
14  5      0 118474128  42508 257504    0    0 238992 20080 145291 321454 20  8 66  6  0
15  4      0 118227024  44500 264432    0    0 226052 20649 150776 327938 20  8 66  5  0
16  4      0 118009696  46476 271680    0    0 210608 19647 142452 322219 20  7 67  5  0
19  3      0 117792240  48484 278552    0    0 208752 20568 149490 333804 21  8 66  5  0
15  3      0 117575728  50488 285316    0    0 199136 20501 151309 334192 21  8 66  5  0
 9  9      0 117382720  52488 291792    0    0 186620 19895 146179 333747 21  8 66  5  0
10  2      0 117190528  54428 298644    0    0 178156 20220 155451 343634 21  7 66  5  0
24  4      0 117006224  56404 304952    0    0 171872 20088 153972 339388 22  7 66  4  0
13  3      0 116833456  58384 311588    0    0 164720 20297 157602 343792 21  7 67  4  0
15  5      0 116660416  60352 318208    0    0 157712 20550 166039 365483 22  8 65  4  0
18  1      0 116502856  62316 324928    0    0 149996 20295 164245 364284 22  8 66  4  0
17  2      0 116339832  64168 331572    0    0 149632 20905 172698 379910 23  8 65  4  0
10  2      0 116180096  66128 340456    0    0 145632 20819 167972 371643 23  8 65  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  3      0 116005664  68556 363684    0    0 143064 108273 176011 391571 24  9 63  4  0
12  6      0 115855136  71168 373968    0    0 131768 64119 175362 391303 23  9 63  4  0
16 16      0 115479944  73568 518640    0    0 264176 142784 167554 369443 23  9 62  7  0
28 13      0 115217592  75476 660928    0    0 335948 212412 167953 367407 22  9 53 16  0
20 11      0 115066664  77484 703296    0    0 333568 295976 164297 359978 22  8 51 18  0
 6 16      0 114935224  79716 733616    0    0 343460 240645 166391 364141 22  8 58 12  0
17  8      0 114835248  81716 719272    0    0 128368 65603 181225 400636 24  8 57 11  0
12 14      0 114780904  83864 671996    0    0 270652 202614 174868 389920 23  9 53 15  0
17 10      0 114574640  85820 776252    0    0 305676 229473 169329 374935 22  9 55 13  0
14 11      0 114545008  87832 702388    0    0 174712 103871 183316 402360 24  9 57 10  0
18 12      0 114412112  89836 738860    0    0 292336 215065 180744 389529 23  9 57 11  0
14 12      0 114269168  91884 789208    0    0 247488 215963 185112 395326 24  8 54 14  0
