procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 336320 119972160  27292 1184200    0    0    70   409    0    0 12  8 79  1  0
12  7 336320 119402208  30892 1186916    0    0 436900 16636 116224 273132 16  8 69  8  0
18  1 336320 119063120  32892 1195376    0    0 315628 20944 144100 304556 22  8 64  6  0
18  3 336320 118764376  34864 1204276    0    0 293632 20624 140760 307517 22  8 64  6  0
12  8 336320 118465376  36848 1211956    0    0 280876 20740 144147 310507 22  8 64  6  0
18  5 336320 118189344  38844 1219576    0    0 265400 20436 144666 312408 22  8 65  5  0
20  2 336320 117913992  40844 1227172    0    0 256120 20840 145476 319186 22  8 64  6  0
21  6 336320 117661104  42824 1234356    0    0 247096 20256 146534 317531 22  8 64  5  0
22  0 336320 117416288  44816 1241524    0    0 237320 20388 147614 326403 23  9 64  5  0
18  8 336320 117173496  46832 1248452    0    0 225756 20528 146364 328081 23  8 65  5  0
23  2 336320 116946192  48832 1255688    0    0 217864 20484 153958 334609 24  8 63  5  0
20  4 336320 116723472  50844 1262692    0    0 206500 20164 155652 346742 23  8 64  5  0
15  4 336320 116519232  52844 1269712    0    0 197928 20616 157940 344637 24  8 64  5  0
19  2 336320 116311960  54820 1276620    0    0 189756 20704 160346 351522 24  8 63  5  0
12  4 336320 116125840  56836 1283268    0    0 178920 20640 158356 357398 24  8 64  4  0
19  2 336320 115938992  58836 1289988    0    0 174308 20644 166771 364669 25  8 63  4  0
 3  2 336320 115766720  60812 1296652    0    0 160980 20300 162965 359530 24  8 64  4  0
16  3 336320 115595872  62808 1302888    0    0 158580 20280 170004 373786 25  8 63  4  0
 8  3 336320 115432368  64756 1309352    0    0 150260 20760 173446 372826 24  9 63  4  0
17  4 336320 115273768  66676 1316064    0    0 145392 20908 174951 373287 25  9 63  4  0
24  3 336320 115118704  68620 1324056    0    0 142120 21056 177730 388501 26  8 63  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  1 336320 114955016  71036 1340692    0    0 139756 71884 178147 384054 27  8 61  3  0
14  3 336320 114722880  73564 1365348    0    0 248248 95164 168325 374511 27  8 60  4  0
16  4 336320 114543592  75736 1418516    0    0 392552 181564 165980 368875 26  9 61  4  0
 3  6 336320 114412096  78308 1430852    0    0 302680 140276 163497 372784 25  8 60  6  0
16  3 336320 114294752  80644 1432200    0    0 190472 97996 177744 376637 26  8 60  5  0
19  2 336320 114165376  83136 1442632    0    0 280096 124684 179496 388001 27  8 59  6  0
21  3 336320 114051008  85628 1444992    0    0 284012 137716 183819 393492 26  9 60  4  0
18  5 336320 113950656  88060 1450196    0    0 247508 131848 171295 388404 27  9 61  4  0
 8  2 336320 113846896  90628 1456240    0    0 265664 139472 179656 398358 28  9 60  4  0
18  2 336320 113750336  93204 1461108    0    0 260572 142488 171647 391438 27  9 61  4  0
21  6 336320 113658288  95480 1447856    0    0 178372 82008 184078 399072 27  9 59  5  0
21  2 336320 113545568  98096 1474836    0    0 254912 151076 180648 399616 28  9 59  4  0
23  3 336320 113451856 100500 1479664    0    0 243244 117124 184271 401379 28  8 60  4  0
21  1 336320 113360192 102968 1486772    0    0 219976 116392 180104 403951 27  9 60  4  0
15  3 336320 113266664 105452 1497180    0    0 236032 127724 179782 401550 26  9 61  4  0
19  3 336320 113177552 107812 1499784    0    0 176920 101236 187535 407352 27  9 60  4  0
 6  2 336320 113150592 109960 1447180    0    0 120820 56976 187131 401764 27  9 60  4  0
29  2 336320 113010640 112504 1510808    0    0 229768 140432 185127 406860 28  9 60  3  0
23  2 336320 112921296 115000 1528188    0    0 260004 152080 190206 421572 28  9 60  3  0
37  1 336320 112850912 116896 1527644    0    0 215364 120976 192605 413735 28  8 60  3  0
18  4 336320 112817016 117992 1490272    0    0 102284 56588 198411 424020 27  9 59  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  4 336320 112710680 118504 1537964    0    0 211372 128480 192782 420611 29  8 59  4  0
24  5 336320 112635712 118512 1545140    0    0 200468 127640 190570 418727 28  9 60  3  0
14  3 336320 112573240 119120 1550300    0    0 219808 120152 194952 416744 29  9 59  3  0
18  3 336320 112507968 120308 1553740    0    0 175068 99104 190944 413700 28  8 61  3  0
25  1 336320 112445888 121528 1558856    0    0 213612 129508 192981 407356 28  9 60  4  0
15  2 336320 112383664 122756 1566124    0    0 204236 125536 187411 414830 28  9 60  3  0
18  2 336320 112326056 123388 1576304    0    0 181248 121888 193299 417442 28  9 61  3  0
 9  4 336320 112262152 123992 1573636    0    0 210132 114380 190442 405350 28  9 61  3  0
20  1 336320 112208304 125204 1586696    0    0 208732 129536 195396 415932 28  8 61  3  0
12  4 336320 112142136 126364 1593928    0    0 169012 115428 202264 429528 29  8 59  4  0
22  3 336320 112099440 126932 1577024    0    0 127340 83484 206149 429378 28  9 59  4  0
23  3 336320 112024272 127560 1605348    0    0 247012 235352 186388 396792 28  9 61  3  0
21  1 336320 111973984 128732 1606648    0    0 206196 130004 200464 420589 28  9 61  3  0
22  1 336320 111922176 129352 1613264    0    0 204548 133812 195076 418872 28  8 61  3  0
24  3 336320 111860848 129960 1617728    0    0 163748 109876 199001 423660 29  9 59  4  0
20  1 336320 111807952 131048 1628372    0    0 82008 67212 201959 427196 28  9 59  4  0
20  1 336320 111747760 132252 1636248    0    0 201436 129384 203129 424774 29  8 60  3  0
20  2 336320 111706464 132832 1636200    0    0 200384 125032 196970 419002 28  8 61  3  0
 7  2 336320 111653128 132860 1642476    0    0 169856 123340 202288 429668 29  9 60  3  0
25  1 336320 111612856 133456 1641800    0    0 178716 108084 198297 420052 28  9 59  4  0
20  1 336320 111548800 134564 1656632    0    0 107780 72868 213372 435317 29  9 58  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  2 336320 111506472 135788 1666152    0    0 148400 107256 201705 422907 28  9 60  3  0
20  0 336320 111474864 136308 1657280    0    0 187304 113556 204880 432335 28  9 60  3  0
22  1 336320 111469120 136828 1620124    0    0 114736 81576 206777 429873 28  9 60  3  0
