procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 336320 119978480  24936 1185020    0    0    78   416    0    0 12  8 79  1  0
17  4 336320 119421040  28672 1188428    0    0 423364 16016 101429 261753 16  7 70  8  0
15  5 336320 119095992  30672 1197504    0    0 299068 19308 130606 282682 21  7 66  6  0
18 11 336320 118789872  32680 1206956    0    0 292552 20505 136232 299795 21  8 65  6  0
15  5 336320 118510960  34672 1214352    0    0 274544 19775 137869 301774 21  8 65  6  0
17  6 336320 118221104  36672 1221468    0    0 270860 20508 135994 306517 22  8 65  6  0
14  5 336320 117954528  38656 1228772    0    0 253772 20532 135942 309653 21  8 65  6  0
 3 11 336320 117703936  40632 1236080    0    0 242972 19756 138143 311408 22  8 65  6  0
17  4 336320 117457840  42584 1242856    0    0 235208 20228 141327 319861 22  8 64  6  0
19  3 336320 117225312  44592 1249992    0    0 222612 20292 143596 320997 22  8 65  5  0
 9  4 336320 116997752  46592 1256524    0    0 212884 19952 143972 318003 22  8 65  5  0
18  2 336320 116782208  48600 1263616    0    0 205616 20252 151821 336024 23  8 64  5  0
16  7 336320 116573384  50612 1271412    0    0 199524 20312 149757 331717 23  8 64  5  0
16  6 336320 116363936  52580 1278112    0    0 190068 20500 158686 342745 24  8 64  5  0
35  2 336320 116168832  54564 1284916    0    0 183948 20444 155701 350292 24  8 64  5  0
 9  3 336320 115985016  56532 1291252    0    0 168912 20176 153377 337254 24  8 64  4  0
16  4 336320 115816840  58532 1297936    0    0 164484 20024 153979 340784 24  8 64  4  0
18  3 336320 115649536  60532 1304268    0    0 155620 20284 161204 343669 24  8 64  4  0
17  4 336320 115488184  62520 1311064    0    0 146792 19836 155007 344131 24  8 64  4  0
19  2 336320 115329744  64408 1317680    0    0 146812 20752 166057 364131 25  8 63  4  0
21  4 336320 115173680  66284 1325380    0    0 137420 20176 165751 365624 24  8 64  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  5 336320 115005216  68460 1353688    0    0 136944 97100 168542 363780 25  9 62  4  0
12  3 336320 114871136  70732 1355196    0    0 125528 50348 174183 378457 25  9 62  5  0
20  5 336320 114736400  73188 1362476    0    0 121548 55964 178220 378454 25  9 61  4  0
22  2 336320 114613776  75424 1362008    0    0 117808 43480 175441 379401 25  8 62  5  0
