sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2201.81, reads: 31002.37, writes: 8820.25, response time: 11.75ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2680.04, reads: 37539.50, writes: 10722.14, response time: 9.97ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2861.00, reads: 40008.98, writes: 11441.99, response time: 8.72ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2953.00, reads: 41323.05, writes: 11800.01, response time: 8.69ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2976.00, reads: 41708.06, writes: 11916.02, response time: 8.71ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2952.00, reads: 41305.98, writes: 11800.00, response time: 8.68ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3054.99, reads: 42805.83, writes: 12223.95, response time: 8.42ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3093.00, reads: 43297.06, writes: 12369.02, response time: 8.47ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3193.91, reads: 44697.69, writes: 12784.63, response time: 7.95ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3148.09, reads: 44038.30, writes: 12579.37, response time: 8.30ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3226.00, reads: 45173.06, writes: 12906.02, response time: 7.99ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3270.97, reads: 45827.62, writes: 13090.89, response time: 7.93ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3282.03, reads: 45967.37, writes: 13130.11, response time: 8.04ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 3320.98, reads: 46440.72, writes: 13270.92, response time: 7.84ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3395.00, reads: 47591.98, writes: 13592.00, response time: 7.76ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3328.00, reads: 46556.02, writes: 13306.01, response time: 8.12ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3315.99, reads: 46423.90, writes: 13282.97, response time: 7.73ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3285.00, reads: 45962.02, writes: 13117.01, response time: 7.84ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3413.01, reads: 47839.08, writes: 13684.02, response time: 7.42ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3449.00, reads: 48253.00, writes: 13767.00, response time: 7.45ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3542.01, reads: 49565.07, writes: 14163.02, response time: 7.30ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3486.01, reads: 48883.15, writes: 13952.04, response time: 7.61ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3452.98, reads: 48339.73, writes: 13812.92, response time: 7.35ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 3249.02, reads: 45478.32, writes: 12995.09, response time: 8.18ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3240.98, reads: 45342.70, writes: 12968.91, response time: 8.86ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 3471.00, reads: 48579.05, writes: 13878.01, response time: 7.90ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 3615.00, reads: 50617.05, writes: 14462.02, response time: 7.26ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 3450.99, reads: 48353.90, writes: 13811.97, response time: 7.32ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 3538.03, reads: 49475.48, writes: 14151.14, response time: 7.19ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 3354.96, reads: 47011.46, writes: 13416.84, response time: 8.25ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 3576.02, reads: 50043.24, writes: 14293.07, response time: 7.54ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 3699.99, reads: 51831.85, writes: 14841.96, response time: 7.13ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 3521.00, reads: 49253.96, writes: 14044.99, response time: 7.65ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 3529.03, reads: 49433.48, writes: 14117.14, response time: 7.57ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 3662.97, reads: 51243.54, writes: 14650.87, response time: 7.41ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 3680.01, reads: 51496.17, writes: 14721.05, response time: 6.78ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 3569.98, reads: 50006.79, writes: 14280.94, response time: 7.41ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 3739.01, reads: 52336.15, writes: 14952.04, response time: 7.00ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 3630.02, reads: 50883.24, writes: 14555.07, response time: 7.16ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 3695.98, reads: 51610.75, writes: 14749.93, response time: 7.31ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 3758.99, reads: 52666.88, writes: 15035.97, response time: 7.23ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 3801.00, reads: 53272.01, writes: 15222.00, response time: 6.91ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 3507.01, reads: 49065.20, writes: 14006.06, response time: 7.50ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 3930.01, reads: 55011.13, writes: 15727.04, response time: 6.45ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 3782.95, reads: 53012.29, writes: 15130.80, response time: 6.95ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 3820.03, reads: 53461.45, writes: 15292.13, response time: 6.90ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 3651.01, reads: 51154.19, writes: 14593.05, response time: 7.34ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 3853.98, reads: 53889.73, writes: 15416.92, response time: 6.86ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 4009.02, reads: 56174.22, writes: 16061.06, response time: 6.28ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 3791.03, reads: 53072.36, writes: 15156.10, response time: 6.90ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 3692.97, reads: 51636.55, writes: 14750.87, response time: 7.44ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 16, tps: 3688.00, reads: 51699.06, writes: 14765.02, response time: 7.01ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 16, tps: 3826.99, reads: 53553.84, writes: 15295.95, response time: 6.80ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 16, tps: 3875.01, reads: 54216.19, writes: 15499.05, response time: 6.77ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 16, tps: 3790.99, reads: 53138.91, writes: 15173.97, response time: 7.42ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 16, tps: 3803.00, reads: 53215.96, writes: 15216.99, response time: 7.26ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 16, tps: 3815.00, reads: 53401.03, writes: 15248.01, response time: 7.25ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 16, tps: 3792.99, reads: 53113.82, writes: 15201.95, response time: 6.90ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 16, tps: 4001.01, reads: 55992.11, writes: 15975.03, response time: 6.35ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 3919.02, reads: 54907.34, writes: 15692.10, response time: 6.58ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 16, tps: 3796.97, reads: 53074.65, writes: 15167.90, response time: 6.79ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 16, tps: 3879.99, reads: 54433.89, writes: 15579.97, response time: 6.69ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 16, tps: 3818.01, reads: 53408.19, writes: 15222.06, response time: 6.93ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 16, tps: 3878.00, reads: 54283.95, writes: 15508.99, response time: 6.44ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 16, tps: 3978.00, reads: 55738.01, writes: 15912.00, response time: 6.60ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 16, tps: 3833.97, reads: 53582.54, writes: 15326.87, response time: 7.00ms (95%), errors: 0.00, reconnects:  0.00
