sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2245.41, reads: 31596.63, writes: 8990.62, response time: 11.60ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2767.01, reads: 38724.14, writes: 11064.04, response time: 9.14ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2886.00, reads: 40406.98, writes: 11541.99, response time: 8.49ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2942.01, reads: 41181.09, writes: 11766.02, response time: 8.63ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2997.96, reads: 41981.46, writes: 11997.85, response time: 8.26ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2970.07, reads: 41552.00, writes: 11875.29, response time: 8.82ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3035.95, reads: 42589.36, writes: 12166.82, response time: 8.33ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3062.01, reads: 42848.15, writes: 12238.04, response time: 8.14ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3134.99, reads: 43843.88, writes: 12527.97, response time: 8.15ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3148.00, reads: 44095.94, writes: 12592.98, response time: 8.05ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3195.00, reads: 44696.05, writes: 12779.01, response time: 7.70ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3214.04, reads: 44998.63, writes: 12857.18, response time: 7.75ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3258.97, reads: 45649.64, writes: 13047.90, response time: 7.80ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 3313.02, reads: 46316.31, writes: 13253.09, response time: 7.65ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3369.00, reads: 47260.97, writes: 13465.99, response time: 7.48ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3384.03, reads: 47353.44, writes: 13532.13, response time: 7.51ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3456.92, reads: 48387.88, writes: 13829.68, response time: 7.29ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3427.02, reads: 47964.28, writes: 13706.08, response time: 7.33ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3453.05, reads: 48407.71, writes: 13819.20, response time: 7.25ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3444.00, reads: 48202.04, writes: 13791.01, response time: 7.32ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3485.00, reads: 48749.04, writes: 13924.01, response time: 7.15ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3530.99, reads: 49453.84, writes: 14116.95, response time: 7.20ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3525.94, reads: 49410.16, writes: 14109.76, response time: 7.37ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 3611.07, reads: 50472.99, writes: 14445.28, response time: 6.77ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3524.00, reads: 49366.01, writes: 14091.00, response time: 7.39ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 3638.01, reads: 50898.10, writes: 14553.03, response time: 6.89ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 3522.99, reads: 49395.88, writes: 14106.97, response time: 7.29ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 3385.95, reads: 47417.29, writes: 13561.80, response time: 7.96ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 3699.05, reads: 51719.67, writes: 14768.19, response time: 6.90ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 3558.02, reads: 49751.24, writes: 14225.07, response time: 7.48ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 3644.98, reads: 51112.71, writes: 14587.92, response time: 7.36ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 3650.01, reads: 51100.14, writes: 14601.04, response time: 6.88ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 3575.99, reads: 50068.81, writes: 14293.95, response time: 7.50ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 3583.02, reads: 50124.23, writes: 14345.07, response time: 7.50ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 3791.96, reads: 53102.42, writes: 15152.84, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 3552.96, reads: 49718.40, writes: 14236.83, response time: 7.33ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 3840.09, reads: 53802.27, writes: 15346.36, response time: 6.32ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 3643.99, reads: 51006.93, writes: 14564.98, response time: 7.50ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 3588.01, reads: 50253.11, writes: 14360.03, response time: 7.36ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 3663.00, reads: 51284.02, writes: 14644.01, response time: 7.08ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 3797.00, reads: 53016.94, writes: 15187.98, response time: 6.69ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 3842.99, reads: 53917.89, writes: 15372.97, response time: 6.44ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 3775.00, reads: 52872.00, writes: 15100.00, response time: 6.65ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 3783.01, reads: 52919.11, writes: 15137.03, response time: 6.56ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 3617.00, reads: 50683.93, writes: 14472.98, response time: 7.25ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 3848.01, reads: 53831.09, writes: 15381.02, response time: 6.50ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 3727.00, reads: 52178.99, writes: 14926.00, response time: 7.13ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 3845.98, reads: 53850.75, writes: 15375.93, response time: 6.59ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 3873.01, reads: 54187.10, writes: 15484.03, response time: 6.33ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 3770.00, reads: 52832.06, writes: 15093.02, response time: 6.98ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 3861.01, reads: 54071.10, writes: 15441.03, response time: 6.61ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 16, tps: 3823.98, reads: 53491.68, writes: 15289.91, response time: 6.58ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 16, tps: 3566.95, reads: 49945.26, writes: 14268.79, response time: 7.87ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 16, tps: 3892.99, reads: 54439.91, writes: 15567.97, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 16, tps: 3790.78, reads: 53111.93, writes: 15164.12, response time: 6.85ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 16, tps: 3802.26, reads: 53250.70, writes: 15205.06, response time: 6.81ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 16, tps: 3847.00, reads: 53895.05, writes: 15395.01, response time: 6.75ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 16, tps: 3837.94, reads: 53700.19, writes: 15362.77, response time: 6.68ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 16, tps: 3853.00, reads: 53922.96, writes: 15398.99, response time: 6.42ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 3783.79, reads: 52988.03, writes: 15134.15, response time: 6.82ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 16, tps: 3771.03, reads: 52825.43, writes: 15095.12, response time: 7.08ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 16, tps: 3978.25, reads: 55633.53, writes: 15902.01, response time: 6.31ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 16, tps: 3870.97, reads: 54265.60, writes: 15510.89, response time: 6.48ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 16, tps: 3888.97, reads: 54413.58, writes: 15531.88, response time: 6.74ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 16, tps: 3958.00, reads: 55417.95, writes: 15865.99, response time: 6.26ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 16, tps: 3899.00, reads: 54575.02, writes: 15561.01, response time: 6.56ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 16, tps: 3777.03, reads: 52918.36, writes: 15129.10, response time: 6.99ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 16, tps: 3810.07, reads: 53363.96, writes: 15244.27, response time: 7.12ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 16, tps: 3907.99, reads: 54671.83, writes: 15604.95, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 3975.00, reads: 55658.03, writes: 15909.01, response time: 6.31ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 16, tps: 3801.00, reads: 53240.07, writes: 15235.02, response time: 6.74ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 16, tps: 3953.00, reads: 55327.06, writes: 15779.02, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 16, tps: 3953.01, reads: 55326.09, writes: 15810.03, response time: 6.35ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 16, tps: 3850.00, reads: 53876.97, writes: 15397.99, response time: 6.70ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 16, tps: 3949.99, reads: 55297.90, writes: 15813.97, response time: 6.39ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 16, tps: 3919.00, reads: 54878.06, writes: 15663.02, response time: 6.51ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 16, tps: 3902.98, reads: 54586.73, writes: 15603.92, response time: 6.74ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 16, tps: 3865.02, reads: 54204.25, writes: 15463.07, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[  79s] threads: 16, tps: 3912.00, reads: 54759.93, writes: 15646.98, response time: 6.82ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 3765.00, reads: 52683.99, writes: 15082.00, response time: 7.08ms (95%), errors: 0.00, reconnects:  0.00
[  81s] threads: 16, tps: 4031.00, reads: 56450.01, writes: 16112.00, response time: 6.19ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 16, tps: 3956.00, reads: 55378.07, writes: 15819.02, response time: 6.33ms (95%), errors: 0.00, reconnects:  0.00
[  83s] threads: 16, tps: 4172.00, reads: 58354.96, writes: 16699.99, response time: 6.21ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 16, tps: 4089.00, reads: 57332.99, writes: 16365.00, response time: 6.45ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 16, tps: 4179.00, reads: 58471.95, writes: 16728.99, response time: 6.25ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 16, tps: 4001.99, reads: 56060.88, writes: 15980.97, response time: 6.62ms (95%), errors: 0.00, reconnects:  0.00
[  87s] threads: 16, tps: 4294.02, reads: 60088.31, writes: 17176.09, response time: 5.90ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 16, tps: 4257.99, reads: 59531.90, writes: 17020.97, response time: 5.89ms (95%), errors: 0.00, reconnects:  0.00
[  89s] threads: 16, tps: 4008.99, reads: 56196.89, writes: 16045.97, response time: 6.81ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 4096.01, reads: 57285.10, writes: 16378.03, response time: 6.27ms (95%), errors: 0.00, reconnects:  0.00
[  91s] threads: 16, tps: 4260.93, reads: 59710.01, writes: 17040.72, response time: 6.01ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 16, tps: 4176.06, reads: 58445.86, writes: 16704.24, response time: 6.18ms (95%), errors: 0.00, reconnects:  0.00
[  93s] threads: 16, tps: 4211.02, reads: 58984.21, writes: 16846.06, response time: 5.93ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 16, tps: 4088.99, reads: 57233.85, writes: 16368.96, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[  95s] threads: 16, tps: 3996.00, reads: 55943.06, writes: 15969.02, response time: 6.62ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 16, tps: 4148.00, reads: 58073.01, writes: 16595.00, response time: 6.19ms (95%), errors: 0.00, reconnects:  0.00
[  97s] threads: 16, tps: 4079.99, reads: 57092.91, writes: 16328.97, response time: 6.36ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 16, tps: 3963.00, reads: 55451.03, writes: 15839.01, response time: 6.76ms (95%), errors: 0.00, reconnects:  0.00
[  99s] threads: 16, tps: 4249.00, reads: 59554.03, writes: 16998.01, response time: 5.84ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 4233.00, reads: 59246.94, writes: 16935.98, response time: 6.03ms (95%), errors: 0.00, reconnects:  0.00
[ 101s] threads: 16, tps: 3996.02, reads: 55926.25, writes: 15993.07, response time: 6.76ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 16, tps: 4181.99, reads: 58580.84, writes: 16718.95, response time: 6.19ms (95%), errors: 0.00, reconnects:  0.00
[ 103s] threads: 16, tps: 4183.98, reads: 58605.75, writes: 16732.93, response time: 5.84ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 16, tps: 4064.02, reads: 56853.31, writes: 16251.09, response time: 6.31ms (95%), errors: 0.00, reconnects:  0.00
[ 105s] threads: 16, tps: 3962.00, reads: 55478.98, writes: 15888.99, response time: 6.87ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 16, tps: 4120.00, reads: 57660.07, writes: 16440.02, response time: 6.30ms (95%), errors: 0.00, reconnects:  0.00
[ 107s] threads: 16, tps: 4185.99, reads: 58585.82, writes: 16746.95, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 16, tps: 4020.00, reads: 56276.97, writes: 16074.99, response time: 6.49ms (95%), errors: 0.00, reconnects:  0.00
[ 109s] threads: 16, tps: 4084.01, reads: 57220.17, writes: 16353.05, response time: 6.25ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 4010.00, reads: 56143.95, writes: 16058.99, response time: 6.35ms (95%), errors: 0.00, reconnects:  0.00
[ 111s] threads: 16, tps: 3942.00, reads: 55154.98, writes: 15735.00, response time: 6.89ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 16, tps: 4108.00, reads: 57494.03, writes: 16433.01, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[ 113s] threads: 16, tps: 4132.01, reads: 57868.09, writes: 16531.02, response time: 6.11ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 16, tps: 3949.00, reads: 55278.99, writes: 15796.00, response time: 6.84ms (95%), errors: 0.00, reconnects:  0.00
[ 115s] threads: 16, tps: 4010.99, reads: 56160.92, writes: 16043.98, response time: 6.38ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 16, tps: 3979.00, reads: 55742.97, writes: 15935.99, response time: 6.44ms (95%), errors: 0.00, reconnects:  0.00
[ 117s] threads: 16, tps: 4178.00, reads: 58442.05, writes: 16701.01, response time: 6.09ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 16, tps: 4152.99, reads: 58175.84, writes: 16605.96, response time: 6.00ms (95%), errors: 0.00, reconnects:  0.00
[ 119s] threads: 16, tps: 4023.01, reads: 56343.13, writes: 16085.04, response time: 6.52ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 3947.99, reads: 55252.93, writes: 15827.98, response time: 6.66ms (95%), errors: 0.00, reconnects:  0.00
[ 121s] threads: 16, tps: 4216.00, reads: 58988.94, writes: 16826.98, response time: 5.71ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 16, tps: 3938.01, reads: 55152.09, writes: 15759.02, response time: 6.64ms (95%), errors: 0.00, reconnects:  0.00
[ 123s] threads: 16, tps: 4070.99, reads: 57004.86, writes: 16303.96, response time: 6.29ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 16, tps: 4203.00, reads: 58831.07, writes: 16798.02, response time: 5.88ms (95%), errors: 0.00, reconnects:  0.00
[ 125s] threads: 16, tps: 4158.00, reads: 58230.04, writes: 16621.01, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 16, tps: 3896.00, reads: 54562.98, writes: 15595.99, response time: 6.61ms (95%), errors: 0.00, reconnects:  0.00
[ 127s] threads: 16, tps: 4092.00, reads: 57226.05, writes: 16352.02, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 16, tps: 4137.01, reads: 57955.08, writes: 16551.02, response time: 5.99ms (95%), errors: 0.00, reconnects:  0.00
[ 129s] threads: 16, tps: 4067.99, reads: 56942.92, writes: 16270.98, response time: 6.18ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 4064.01, reads: 56903.13, writes: 16259.04, response time: 6.40ms (95%), errors: 0.00, reconnects:  0.00
[ 131s] threads: 16, tps: 4019.99, reads: 56276.90, writes: 16079.97, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 16, tps: 3875.00, reads: 54232.96, writes: 15506.99, response time: 6.79ms (95%), errors: 0.00, reconnects:  0.00
[ 133s] threads: 16, tps: 4177.01, reads: 58489.15, writes: 16726.04, response time: 5.72ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 16, tps: 4056.99, reads: 56728.84, writes: 16213.95, response time: 6.31ms (95%), errors: 0.00, reconnects:  0.00
[ 135s] threads: 16, tps: 4247.00, reads: 59442.05, writes: 16987.01, response time: 5.63ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 16, tps: 3970.00, reads: 55655.07, writes: 15869.02, response time: 6.29ms (95%), errors: 0.00, reconnects:  0.00
[ 137s] threads: 16, tps: 3998.00, reads: 55973.02, writes: 16003.01, response time: 6.50ms (95%), errors: 0.00, reconnects:  0.00
[ 138s] threads: 16, tps: 4105.99, reads: 57513.91, writes: 16418.98, response time: 6.18ms (95%), errors: 0.00, reconnects:  0.00
[ 139s] threads: 16, tps: 4047.99, reads: 56666.92, writes: 16193.98, response time: 6.38ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 4050.01, reads: 56691.17, writes: 16194.05, response time: 6.36ms (95%), errors: 0.00, reconnects:  0.00
[ 141s] threads: 16, tps: 4051.98, reads: 56693.78, writes: 16222.94, response time: 6.30ms (95%), errors: 0.00, reconnects:  0.00
[ 142s] threads: 16, tps: 3971.01, reads: 55618.20, writes: 15867.06, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[ 143s] threads: 16, tps: 4078.00, reads: 57120.97, writes: 16316.99, response time: 6.35ms (95%), errors: 0.00, reconnects:  0.00
[ 144s] threads: 16, tps: 4009.00, reads: 56005.98, writes: 16026.99, response time: 6.41ms (95%), errors: 0.00, reconnects:  0.00
[ 145s] threads: 16, tps: 4118.00, reads: 57758.94, writes: 16478.98, response time: 6.20ms (95%), errors: 0.00, reconnects:  0.00
