sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2671.76, reads: 37576.65, writes: 10695.05, response time: 11.00ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 3357.01, reads: 46989.09, writes: 13424.03, response time: 8.61ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 3465.00, reads: 48501.03, writes: 13860.01, response time: 8.45ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 3562.00, reads: 49875.94, writes: 14244.98, response time: 8.19ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 3614.00, reads: 50536.02, writes: 14457.01, response time: 8.11ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 3739.00, reads: 52406.00, writes: 14963.00, response time: 7.94ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3701.00, reads: 51790.02, writes: 14810.01, response time: 8.05ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3886.00, reads: 54450.01, writes: 15535.00, response time: 7.83ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3973.01, reads: 55602.08, writes: 15891.02, response time: 7.44ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3880.00, reads: 54299.94, writes: 15519.98, response time: 7.83ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 4117.00, reads: 57644.03, writes: 16465.01, response time: 7.05ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 4112.92, reads: 57582.84, writes: 16449.67, response time: 7.47ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 4198.09, reads: 58746.21, writes: 16798.35, response time: 7.03ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 4188.99, reads: 58695.90, writes: 16752.97, response time: 6.99ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 4254.98, reads: 59547.71, writes: 17031.92, response time: 7.28ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 4324.02, reads: 60508.35, writes: 17287.10, response time: 7.05ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 4341.00, reads: 60834.04, writes: 17358.01, response time: 7.33ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 4457.01, reads: 62346.07, writes: 17839.02, response time: 6.44ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 4413.99, reads: 61818.90, writes: 17667.97, response time: 6.86ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 4478.98, reads: 62706.76, writes: 17904.93, response time: 6.48ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 4526.95, reads: 63425.30, writes: 18107.80, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 4243.04, reads: 59411.58, writes: 16970.17, response time: 7.50ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 4316.02, reads: 60405.26, writes: 17271.07, response time: 7.56ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 4234.00, reads: 59237.97, writes: 16919.99, response time: 7.54ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 4239.00, reads: 59374.95, writes: 16970.99, response time: 7.36ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 4221.99, reads: 59079.82, writes: 16875.95, response time: 7.57ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 4572.02, reads: 64067.27, writes: 18290.08, response time: 6.75ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 4799.01, reads: 67150.13, writes: 19195.04, response time: 6.15ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 4410.99, reads: 61764.89, writes: 17639.97, response time: 7.13ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 4307.97, reads: 60275.54, writes: 17264.87, response time: 7.46ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 4267.03, reads: 59712.48, writes: 17038.14, response time: 7.76ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 4516.00, reads: 63269.00, writes: 18067.00, response time: 7.16ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 4827.00, reads: 67626.96, writes: 19314.99, response time: 6.03ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 4300.98, reads: 60175.77, writes: 17192.94, response time: 7.58ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 4396.02, reads: 61508.25, writes: 17595.07, response time: 7.28ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 4697.00, reads: 65823.96, writes: 18786.99, response time: 6.59ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 4929.01, reads: 68985.20, writes: 19710.06, response time: 6.05ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 4697.99, reads: 65799.86, writes: 18802.96, response time: 6.61ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 4606.00, reads: 64476.03, writes: 18417.01, response time: 6.92ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 4449.98, reads: 62274.65, writes: 17793.90, response time: 7.06ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 4470.03, reads: 62613.36, writes: 17881.10, response time: 7.00ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 5093.00, reads: 71255.97, writes: 20381.99, response time: 5.49ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 4607.00, reads: 64514.95, writes: 18419.98, response time: 6.86ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 4565.99, reads: 63838.87, writes: 18258.96, response time: 6.79ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 4615.02, reads: 64712.27, writes: 18476.08, response time: 7.29ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 4728.97, reads: 66167.56, writes: 18901.87, response time: 6.79ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 5015.03, reads: 70219.37, writes: 20066.11, response time: 6.16ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 4901.00, reads: 68655.99, writes: 19602.00, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 4929.99, reads: 68943.81, writes: 19714.95, response time: 5.96ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 4780.01, reads: 66953.15, writes: 19127.04, response time: 6.61ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 4643.00, reads: 64959.00, writes: 18579.00, response time: 6.68ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 16, tps: 4942.00, reads: 69213.00, writes: 19760.00, response time: 6.20ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 16, tps: 5127.99, reads: 71759.87, writes: 20509.96, response time: 5.44ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 16, tps: 4937.01, reads: 69140.08, writes: 19756.02, response time: 5.93ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 16, tps: 4571.00, reads: 64032.95, writes: 18279.99, response time: 6.95ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 16, tps: 5047.01, reads: 70620.20, writes: 20206.06, response time: 5.75ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 16, tps: 4772.00, reads: 66837.00, writes: 19058.00, response time: 6.88ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 16, tps: 4866.00, reads: 68085.01, writes: 19468.00, response time: 6.46ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 16, tps: 5133.89, reads: 71916.41, writes: 20537.54, response time: 5.48ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 4788.10, reads: 67059.43, writes: 19178.41, response time: 6.56ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 16, tps: 5131.00, reads: 71780.97, writes: 20502.99, response time: 5.34ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 16, tps: 4773.98, reads: 66886.68, writes: 19091.91, response time: 6.44ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 16, tps: 4872.00, reads: 68120.01, writes: 19498.00, response time: 6.43ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 16, tps: 4817.02, reads: 67486.33, writes: 19256.09, response time: 6.39ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 16, tps: 4895.00, reads: 68557.99, writes: 19587.00, response time: 6.20ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 16, tps: 4955.00, reads: 69396.04, writes: 19831.01, response time: 6.15ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 16, tps: 5002.00, reads: 69940.98, writes: 19993.99, response time: 6.28ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 16, tps: 4996.99, reads: 69872.90, writes: 19978.97, response time: 6.31ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 16, tps: 5101.01, reads: 71560.11, writes: 20432.03, response time: 5.57ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 4881.93, reads: 68321.99, writes: 19508.71, response time: 6.51ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 16, tps: 4674.07, reads: 65430.02, writes: 18695.29, response time: 6.82ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 16, tps: 4919.98, reads: 68872.75, writes: 19677.93, response time: 6.25ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 16, tps: 4914.02, reads: 68798.23, writes: 19651.06, response time: 6.27ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 16, tps: 4742.00, reads: 66391.99, writes: 18971.00, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
