sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2198.41, reads: 30938.75, writes: 8803.65, response time: 11.67ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2754.90, reads: 38539.60, writes: 11015.60, response time: 9.26ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2782.12, reads: 38924.62, writes: 11125.46, response time: 9.17ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2864.00, reads: 40143.96, writes: 11456.99, response time: 8.88ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2960.00, reads: 41404.02, writes: 11838.01, response time: 8.60ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2937.99, reads: 41158.92, writes: 11758.98, response time: 8.80ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 2997.00, reads: 41953.01, writes: 11980.00, response time: 8.47ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3019.01, reads: 42278.08, writes: 12075.02, response time: 8.80ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3075.00, reads: 43062.97, writes: 12306.99, response time: 8.47ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3127.00, reads: 43775.04, writes: 12516.01, response time: 8.01ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3123.00, reads: 43770.05, writes: 12517.01, response time: 8.19ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3184.00, reads: 44563.96, writes: 12705.99, response time: 8.03ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3200.00, reads: 44716.05, writes: 12811.01, response time: 8.23ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 3246.00, reads: 45533.02, writes: 12971.01, response time: 8.14ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3227.99, reads: 45145.80, writes: 12914.94, response time: 7.70ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3277.01, reads: 45863.15, writes: 13108.04, response time: 7.85ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3396.00, reads: 47574.94, writes: 13594.98, response time: 7.41ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3398.00, reads: 47552.06, writes: 13584.02, response time: 7.75ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3420.00, reads: 47849.99, writes: 13667.00, response time: 7.28ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3467.00, reads: 48576.99, writes: 13877.00, response time: 7.38ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3480.99, reads: 48727.92, writes: 13916.98, response time: 7.45ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3440.00, reads: 48181.01, writes: 13757.00, response time: 7.42ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3253.00, reads: 45564.05, writes: 13017.01, response time: 8.45ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 3347.00, reads: 46793.06, writes: 13394.02, response time: 7.99ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3386.00, reads: 47457.94, writes: 13536.98, response time: 8.08ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 3396.99, reads: 47520.92, writes: 13586.98, response time: 7.73ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 3422.01, reads: 47971.16, writes: 13725.05, response time: 7.60ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 3478.00, reads: 48646.98, writes: 13877.99, response time: 7.66ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 3306.00, reads: 46329.01, writes: 13261.00, response time: 8.10ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 3613.00, reads: 50468.97, writes: 14410.99, response time: 7.17ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 3352.99, reads: 46969.88, writes: 13413.97, response time: 7.89ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 3472.00, reads: 48635.06, writes: 13892.02, response time: 7.79ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 3596.00, reads: 50405.03, writes: 14380.01, response time: 7.43ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 3492.00, reads: 48823.00, writes: 13985.00, response time: 7.63ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 3470.00, reads: 48549.95, writes: 13862.98, response time: 7.78ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 3631.98, reads: 50866.71, writes: 14526.92, response time: 7.09ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 3508.02, reads: 49134.32, writes: 14029.09, response time: 7.50ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 3460.00, reads: 48498.04, writes: 13888.01, response time: 8.07ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 3568.00, reads: 49904.93, writes: 14223.98, response time: 7.56ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 3554.00, reads: 49798.03, writes: 14238.01, response time: 7.42ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 3583.00, reads: 49981.02, writes: 14310.01, response time: 7.00ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 3678.99, reads: 51633.93, writes: 14718.98, response time: 7.11ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 3637.99, reads: 50946.93, writes: 14562.98, response time: 7.12ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 3700.02, reads: 51749.24, writes: 14789.07, response time: 7.10ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 3569.99, reads: 49956.83, writes: 14276.95, response time: 7.61ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 3732.00, reads: 52272.06, writes: 14932.02, response time: 7.05ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 3680.99, reads: 51561.86, writes: 14723.96, response time: 7.05ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 3557.01, reads: 49810.10, writes: 14264.03, response time: 7.62ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 3820.00, reads: 53462.03, writes: 15254.01, response time: 6.78ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 3664.99, reads: 51338.84, writes: 14659.95, response time: 7.56ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 3705.01, reads: 51874.17, writes: 14823.05, response time: 7.09ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 16, tps: 3640.99, reads: 51004.89, writes: 14551.97, response time: 7.33ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 16, tps: 3664.00, reads: 51280.98, writes: 14652.99, response time: 6.83ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 16, tps: 3622.01, reads: 50662.13, writes: 14500.04, response time: 7.68ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 16, tps: 3829.97, reads: 53644.62, writes: 15306.89, response time: 6.65ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 16, tps: 3668.02, reads: 51310.28, writes: 14671.08, response time: 7.62ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 16, tps: 3706.01, reads: 51899.07, writes: 14852.02, response time: 7.09ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 16, tps: 3716.00, reads: 52019.99, writes: 14863.00, response time: 7.01ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 16, tps: 3799.00, reads: 53173.97, writes: 15174.99, response time: 6.72ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 3855.99, reads: 53944.84, writes: 15417.95, response time: 6.73ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 16, tps: 3857.01, reads: 54081.11, writes: 15437.03, response time: 6.58ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 16, tps: 3707.01, reads: 51886.19, writes: 14823.05, response time: 6.94ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 16, tps: 3837.99, reads: 53715.81, writes: 15347.94, response time: 6.78ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 16, tps: 3706.00, reads: 51942.05, writes: 14849.01, response time: 7.07ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 16, tps: 3645.99, reads: 51043.81, writes: 14592.95, response time: 7.16ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 16, tps: 3834.01, reads: 53572.08, writes: 15312.02, response time: 6.81ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 16, tps: 3767.00, reads: 52835.00, writes: 15063.00, response time: 7.09ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 16, tps: 3850.01, reads: 53918.08, writes: 15411.02, response time: 6.73ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 16, tps: 3869.01, reads: 54125.07, writes: 15500.02, response time: 6.65ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 3747.99, reads: 52440.86, writes: 14955.96, response time: 7.08ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 16, tps: 3798.00, reads: 53199.99, writes: 15193.00, response time: 6.72ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 16, tps: 3851.99, reads: 53903.88, writes: 15403.97, response time: 6.81ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 16, tps: 3880.02, reads: 54346.31, writes: 15534.09, response time: 6.80ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 16, tps: 3750.00, reads: 52489.97, writes: 14988.99, response time: 7.11ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 16, tps: 3798.98, reads: 53195.76, writes: 15201.93, response time: 6.85ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 16, tps: 3962.02, reads: 55462.24, writes: 15838.07, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 16, tps: 3755.00, reads: 52599.04, writes: 15029.01, response time: 7.17ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 16, tps: 3783.99, reads: 52934.92, writes: 15129.98, response time: 7.12ms (95%), errors: 0.00, reconnects:  0.00
[  79s] threads: 16, tps: 3968.00, reads: 55567.93, writes: 15881.98, response time: 6.28ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 3816.00, reads: 53471.00, writes: 15261.00, response time: 6.91ms (95%), errors: 0.00, reconnects:  0.00
[  81s] threads: 16, tps: 3784.98, reads: 52913.66, writes: 15129.90, response time: 7.08ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 16, tps: 3910.81, reads: 54772.27, writes: 15658.22, response time: 6.37ms (95%), errors: 0.00, reconnects:  0.00
