sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2308.75, reads: 32496.43, writes: 9247.99, response time: 12.28ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2294.01, reads: 32087.09, writes: 9173.03, response time: 12.06ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2278.73, reads: 31936.22, writes: 9125.92, response time: 11.97ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2232.27, reads: 31257.71, writes: 8924.06, response time: 12.90ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 1929.00, reads: 27021.97, writes: 7724.99, response time: 14.59ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 1882.00, reads: 26341.05, writes: 7525.01, response time: 15.34ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 1929.00, reads: 27031.97, writes: 7740.99, response time: 14.97ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 2153.00, reads: 30077.04, writes: 8582.01, response time: 13.43ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 2771.98, reads: 38817.75, writes: 11090.93, response time: 8.08ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 2834.01, reads: 39692.19, writes: 11334.05, response time: 7.79ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 2799.00, reads: 39158.01, writes: 11188.00, response time: 7.95ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 2810.94, reads: 39419.16, writes: 11265.76, response time: 7.74ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 2859.06, reads: 39959.81, writes: 11413.23, response time: 7.98ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 2886.00, reads: 40408.05, writes: 11539.01, response time: 7.80ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 2839.00, reads: 39711.94, writes: 11351.98, response time: 7.99ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 2792.99, reads: 39147.84, writes: 11181.95, response time: 7.98ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 2789.02, reads: 39038.22, writes: 11153.06, response time: 8.10ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 2873.00, reads: 40241.06, writes: 11500.02, response time: 7.96ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 2792.99, reads: 39075.92, writes: 11163.98, response time: 8.07ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 2858.00, reads: 39993.01, writes: 11435.00, response time: 7.90ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 2747.99, reads: 38484.82, writes: 10982.95, response time: 8.44ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 2787.98, reads: 39059.66, writes: 11169.90, response time: 8.02ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 2828.03, reads: 39567.36, writes: 11303.10, response time: 7.95ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 2816.02, reads: 39453.22, writes: 11266.06, response time: 8.00ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 2716.00, reads: 38023.00, writes: 10864.00, response time: 8.73ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 2624.99, reads: 36659.84, writes: 10499.95, response time: 8.38ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 2682.00, reads: 37622.98, writes: 10727.00, response time: 8.83ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 2849.01, reads: 39910.20, writes: 11403.06, response time: 7.99ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 2867.99, reads: 40125.88, writes: 11466.97, response time: 7.69ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 2827.01, reads: 39537.08, writes: 11300.02, response time: 7.98ms (95%), errors: 0.00, reconnects:  0.00
