sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2247.53, reads: 31658.31, writes: 9005.10, response time: 11.38ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2729.05, reads: 38172.63, writes: 10905.18, response time: 9.33ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2845.94, reads: 39829.18, writes: 11383.76, response time: 8.98ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2858.03, reads: 40052.39, writes: 11433.11, response time: 8.53ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2949.98, reads: 41282.66, writes: 11807.90, response time: 8.49ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2957.02, reads: 41370.22, writes: 11816.06, response time: 8.73ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3032.04, reads: 42440.60, writes: 12130.17, response time: 8.42ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3106.00, reads: 43543.98, writes: 12447.99, response time: 8.23ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3099.00, reads: 43366.03, writes: 12372.01, response time: 8.25ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3203.01, reads: 44831.13, writes: 12810.04, response time: 7.83ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3246.00, reads: 45375.03, writes: 12983.01, response time: 7.78ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3249.00, reads: 45577.01, writes: 13008.00, response time: 7.91ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3297.00, reads: 46127.99, writes: 13178.00, response time: 7.83ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 3329.00, reads: 46666.94, writes: 13319.98, response time: 7.92ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3330.00, reads: 46574.95, writes: 13324.98, response time: 7.37ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3367.01, reads: 47141.14, writes: 13467.04, response time: 7.33ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3383.00, reads: 47320.96, writes: 13525.99, response time: 7.70ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3476.99, reads: 48737.90, writes: 13909.97, response time: 6.92ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3484.01, reads: 48738.10, writes: 13938.03, response time: 7.27ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3490.00, reads: 48861.99, writes: 13961.00, response time: 7.33ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3527.00, reads: 49369.00, writes: 14104.00, response time: 7.18ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3526.00, reads: 49382.98, writes: 14100.00, response time: 7.29ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3531.00, reads: 49439.01, writes: 14130.00, response time: 7.31ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 3492.00, reads: 48898.93, writes: 13979.98, response time: 7.68ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3563.99, reads: 49819.87, writes: 14246.96, response time: 7.39ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 3553.01, reads: 49788.14, writes: 14207.04, response time: 7.35ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 3391.00, reads: 47494.98, writes: 13561.00, response time: 7.83ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 3605.00, reads: 50472.00, writes: 14419.00, response time: 7.13ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 3566.00, reads: 49893.96, writes: 14267.99, response time: 7.31ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 3531.97, reads: 49483.52, writes: 14144.86, response time: 7.40ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 3727.04, reads: 52141.63, writes: 14897.18, response time: 6.73ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 3603.99, reads: 50417.89, writes: 14415.97, response time: 7.38ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 3556.01, reads: 49791.09, writes: 14219.03, response time: 7.51ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 3749.00, reads: 52550.03, writes: 14997.01, response time: 6.76ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 3721.00, reads: 52094.94, writes: 14880.98, response time: 6.83ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 3696.00, reads: 51677.97, writes: 14787.99, response time: 7.00ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 3647.01, reads: 51079.08, writes: 14581.02, response time: 7.54ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 3692.99, reads: 51708.87, writes: 14778.96, response time: 7.01ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 3760.01, reads: 52689.13, writes: 15044.04, response time: 6.71ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 3688.00, reads: 51571.02, writes: 14747.01, response time: 6.99ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 3793.99, reads: 53152.88, writes: 15180.96, response time: 6.58ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 3805.01, reads: 53291.13, writes: 15208.04, response time: 6.72ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 3747.99, reads: 52404.84, writes: 14991.95, response time: 7.24ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 3793.01, reads: 53177.13, writes: 15184.04, response time: 6.89ms (95%), errors: 0.00, reconnects:  0.00
