sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2244.84, reads: 31591.73, writes: 8981.36, response time: 11.18ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2758.01, reads: 38592.12, writes: 11036.03, response time: 9.44ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2873.00, reads: 40245.94, writes: 11489.98, response time: 9.21ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2921.00, reads: 40848.99, writes: 11682.00, response time: 9.00ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2964.00, reads: 41564.06, writes: 11866.02, response time: 8.72ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 3017.00, reads: 42238.06, writes: 12063.02, response time: 8.69ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3049.00, reads: 42663.02, writes: 12192.01, response time: 8.69ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3064.99, reads: 42891.88, writes: 12264.96, response time: 8.59ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3035.92, reads: 42476.83, writes: 12137.66, response time: 8.51ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3123.09, reads: 43777.32, writes: 12492.38, response time: 8.60ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3197.99, reads: 44764.85, writes: 12795.96, response time: 8.25ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3259.98, reads: 45641.74, writes: 13045.93, response time: 7.92ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3300.03, reads: 46209.42, writes: 13190.12, response time: 7.80ms (95%), errors: 0.00, reconnects:  0.00
