sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2059.86, reads: 18659.75, writes: 24788.34, response time: 13.35ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2597.01, reads: 23379.09, writes: 31163.12, response time: 10.86ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2646.00, reads: 23815.98, writes: 31733.97, response time: 10.69ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2701.96, reads: 24327.60, writes: 32428.47, response time: 10.58ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2777.05, reads: 24965.43, writes: 33295.58, response time: 10.54ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2804.00, reads: 25253.96, writes: 33661.94, response time: 9.90ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 2807.00, reads: 25259.03, writes: 33709.04, response time: 10.22ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 2865.00, reads: 25782.99, writes: 34380.98, response time: 10.05ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 2930.00, reads: 26372.99, writes: 35122.99, response time: 9.57ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 2942.00, reads: 26460.00, writes: 35289.99, response time: 9.91ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3022.00, reads: 27204.03, writes: 36266.04, response time: 9.33ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 2889.99, reads: 26012.95, writes: 34694.93, response time: 9.99ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 2943.94, reads: 26496.50, writes: 35353.33, response time: 9.60ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 2831.98, reads: 25495.78, writes: 33983.71, response time: 9.87ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 2994.08, reads: 26953.76, writes: 35965.02, response time: 9.61ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3038.00, reads: 27339.03, writes: 36403.04, response time: 9.19ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3131.00, reads: 28163.98, writes: 37578.97, response time: 9.02ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3052.98, reads: 27479.78, writes: 36622.71, response time: 9.23ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3090.01, reads: 27823.12, writes: 37107.16, response time: 9.14ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3076.02, reads: 27684.15, writes: 36920.20, response time: 9.05ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3018.00, reads: 27131.98, writes: 36168.97, response time: 9.66ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3108.00, reads: 27998.01, writes: 37337.01, response time: 9.30ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 2915.98, reads: 26246.85, writes: 34984.79, response time: 10.75ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 2806.00, reads: 25250.04, writes: 33639.05, response time: 11.68ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 2868.01, reads: 25830.10, writes: 34540.13, response time: 10.95ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 2852.99, reads: 25669.88, writes: 34143.83, response time: 11.08ms (95%), errors: 0.00, reconnects:  0.00
