sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2136.81, reads: 19355.27, writes: 25692.70, response time: 12.91ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2689.01, reads: 24206.05, writes: 32278.06, response time: 10.37ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2788.01, reads: 25078.05, writes: 33426.06, response time: 9.96ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2780.00, reads: 25024.04, writes: 33382.06, response time: 9.87ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2758.95, reads: 24836.51, writes: 33120.35, response time: 10.12ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2896.06, reads: 26054.52, writes: 34741.69, response time: 10.03ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 2873.00, reads: 25851.01, writes: 34443.01, response time: 10.14ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 2945.99, reads: 26531.92, writes: 35393.90, response time: 9.46ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3023.01, reads: 27181.05, writes: 36231.07, response time: 9.27ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3014.99, reads: 27170.95, writes: 36218.93, response time: 9.31ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3089.00, reads: 27776.98, writes: 37068.97, response time: 9.16ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3085.00, reads: 27777.00, writes: 37002.00, response time: 9.06ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3046.92, reads: 27395.29, writes: 36570.06, response time: 9.35ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 2972.09, reads: 26781.82, writes: 35643.10, response time: 9.25ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3163.98, reads: 28457.85, writes: 37992.80, response time: 9.07ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3182.00, reads: 28638.03, writes: 38187.04, response time: 8.88ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3216.00, reads: 28960.98, writes: 38599.97, response time: 8.90ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3241.01, reads: 29173.07, writes: 38887.09, response time: 8.94ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3206.00, reads: 28863.97, writes: 38458.97, response time: 8.98ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3346.00, reads: 30102.03, writes: 40156.04, response time: 8.49ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3325.99, reads: 29930.94, writes: 39920.92, response time: 9.01ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3289.99, reads: 29600.93, writes: 39457.91, response time: 8.87ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3337.01, reads: 30057.09, writes: 40096.12, response time: 8.51ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 3359.99, reads: 30211.87, writes: 40281.82, response time: 8.82ms (95%), errors: 0.00, reconnects:  0.00
