sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2819.80, reads: 39660.21, writes: 11288.21, response time: 10.12ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 3519.02, reads: 49221.23, writes: 14071.07, response time: 8.25ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 3682.01, reads: 51585.14, writes: 14728.04, response time: 7.85ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 3765.00, reads: 52695.02, writes: 15063.01, response time: 7.83ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 3839.94, reads: 53756.09, writes: 15362.74, response time: 7.56ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 3903.07, reads: 54632.97, writes: 15609.28, response time: 7.37ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3940.00, reads: 55132.03, writes: 15762.01, response time: 7.14ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 4047.99, reads: 56694.88, writes: 16183.96, response time: 7.40ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 4148.00, reads: 58029.02, writes: 16591.01, response time: 6.94ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 4090.00, reads: 57314.96, writes: 16360.99, response time: 6.84ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 4198.91, reads: 58783.73, writes: 16815.64, response time: 6.96ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 4327.09, reads: 60532.20, writes: 17301.34, response time: 6.73ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 4329.01, reads: 60721.10, writes: 17308.03, response time: 6.71ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 4402.01, reads: 61627.15, writes: 17615.04, response time: 6.72ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 4512.99, reads: 63150.92, writes: 18038.98, response time: 6.56ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 4502.00, reads: 63015.02, writes: 18021.01, response time: 6.47ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 4580.00, reads: 64117.97, writes: 18313.99, response time: 6.50ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 4660.00, reads: 65227.98, writes: 18641.99, response time: 6.19ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 4475.01, reads: 62645.08, writes: 17896.02, response time: 6.62ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 4669.96, reads: 65410.46, writes: 18687.85, response time: 6.11ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 4645.02, reads: 64989.27, writes: 18569.08, response time: 6.36ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 4476.02, reads: 62736.30, writes: 17928.09, response time: 6.44ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 4225.00, reads: 59080.02, writes: 16880.01, response time: 8.05ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 4277.99, reads: 59925.84, writes: 17130.95, response time: 7.53ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 4752.98, reads: 66582.75, writes: 19039.93, response time: 6.09ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 4375.02, reads: 61220.25, writes: 17449.07, response time: 7.44ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 4567.01, reads: 63885.10, writes: 18268.03, response time: 6.74ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 4354.00, reads: 60975.99, writes: 17415.00, response time: 7.37ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 4503.96, reads: 63030.49, writes: 18021.86, response time: 7.26ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 4304.03, reads: 60286.42, writes: 17218.12, response time: 7.12ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 4817.00, reads: 67467.96, writes: 19268.99, response time: 5.91ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 4500.01, reads: 62988.11, writes: 18000.03, response time: 7.08ms (95%), errors: 0.00, reconnects:  0.00
