sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2804.75, reads: 39417.52, writes: 11224.01, response time: 10.09ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 3521.01, reads: 49289.11, writes: 14080.03, response time: 8.39ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 3657.00, reads: 51217.96, writes: 14632.99, response time: 7.96ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 3656.01, reads: 51180.08, writes: 14627.02, response time: 8.43ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 3746.00, reads: 52462.03, writes: 14983.01, response time: 7.60ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 3841.99, reads: 53801.87, writes: 15373.96, response time: 7.58ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3986.01, reads: 55778.21, writes: 15933.06, response time: 7.38ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 4094.99, reads: 57358.87, writes: 16384.96, response time: 7.22ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 4141.00, reads: 57929.06, writes: 16563.02, response time: 7.03ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 4213.01, reads: 58978.18, writes: 16846.05, response time: 6.93ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 4241.97, reads: 59390.63, writes: 16976.89, response time: 6.81ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 4251.02, reads: 59521.27, writes: 16994.08, response time: 7.11ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 4302.98, reads: 60215.76, writes: 17221.93, response time: 7.11ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 4298.00, reads: 60115.94, writes: 17188.98, response time: 6.99ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 4409.02, reads: 61837.23, writes: 17648.06, response time: 6.75ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 4341.01, reads: 60811.12, writes: 17375.03, response time: 6.76ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 4491.00, reads: 62847.04, writes: 17939.01, response time: 6.74ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 4538.99, reads: 63483.91, writes: 18154.97, response time: 6.65ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 4596.98, reads: 64396.72, writes: 18392.92, response time: 6.48ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 4694.00, reads: 65677.01, writes: 18782.00, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 4649.01, reads: 65123.15, writes: 18591.04, response time: 6.14ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 4672.01, reads: 65353.13, writes: 18700.04, response time: 6.05ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 4579.01, reads: 64198.09, writes: 18301.03, response time: 6.70ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 4353.96, reads: 60897.49, writes: 17409.85, response time: 7.52ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 4338.03, reads: 60778.37, writes: 17358.11, response time: 7.46ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 4328.00, reads: 60608.98, writes: 17326.00, response time: 7.35ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 4503.00, reads: 62990.01, writes: 18001.00, response time: 6.99ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 4422.01, reads: 61904.10, writes: 17685.03, response time: 7.17ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 4383.00, reads: 61376.00, writes: 17545.00, response time: 7.10ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 4567.97, reads: 63825.55, writes: 18251.87, response time: 6.84ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 4456.02, reads: 62522.35, writes: 17828.10, response time: 6.89ms (95%), errors: 0.00, reconnects:  0.00
