sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2859.73, reads: 40207.16, writes: 11443.91, response time: 9.68ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 3533.02, reads: 49431.26, writes: 14130.08, response time: 8.19ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 3641.99, reads: 51029.83, writes: 14590.95, response time: 7.85ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 3678.02, reads: 51440.23, writes: 14693.07, response time: 7.87ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 3811.00, reads: 53366.00, writes: 15242.00, response time: 7.57ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 3900.00, reads: 54641.00, writes: 15599.00, response time: 7.67ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 4007.00, reads: 56072.96, writes: 16028.99, response time: 7.14ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3933.99, reads: 55091.90, writes: 15740.97, response time: 7.63ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 4041.92, reads: 56576.94, writes: 16171.70, response time: 7.20ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 4166.08, reads: 58335.18, writes: 16656.34, response time: 6.83ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 4229.90, reads: 59169.65, writes: 16913.61, response time: 6.98ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 4278.10, reads: 59921.42, writes: 17119.41, response time: 7.07ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 4273.96, reads: 59832.51, writes: 17097.86, response time: 6.66ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 4369.00, reads: 61165.97, writes: 17472.99, response time: 6.47ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 4396.03, reads: 61570.48, writes: 17586.14, response time: 6.94ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 4524.00, reads: 63370.00, writes: 18098.00, response time: 6.30ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 4585.00, reads: 64126.02, writes: 18336.01, response time: 6.25ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 4570.98, reads: 63991.72, writes: 18283.92, response time: 6.41ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 4507.02, reads: 63100.23, writes: 18036.07, response time: 6.49ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 4770.99, reads: 66791.88, writes: 19074.97, response time: 5.85ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 4687.01, reads: 65636.17, writes: 18757.05, response time: 6.25ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 4189.98, reads: 58676.75, writes: 16787.93, response time: 7.27ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 4252.01, reads: 59483.09, writes: 16974.03, response time: 7.50ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 4236.99, reads: 59383.90, writes: 16948.97, response time: 7.73ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 4290.01, reads: 60061.10, writes: 17155.03, response time: 7.25ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 4377.01, reads: 61178.17, writes: 17512.05, response time: 7.33ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 4333.98, reads: 60744.79, writes: 17336.94, response time: 7.42ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 4338.00, reads: 60704.00, writes: 17343.00, response time: 7.21ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 4457.00, reads: 62406.95, writes: 17829.98, response time: 6.92ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 4381.00, reads: 61334.98, writes: 17530.99, response time: 7.23ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 4732.02, reads: 66312.23, writes: 18927.06, response time: 6.51ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 4703.01, reads: 65756.20, writes: 18811.06, response time: 6.65ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 4669.94, reads: 65409.13, writes: 18674.75, response time: 6.20ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 4516.05, reads: 63281.75, writes: 18066.21, response time: 6.87ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 4554.98, reads: 63682.77, writes: 18227.93, response time: 6.72ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 5008.02, reads: 70021.23, writes: 20020.07, response time: 5.70ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 4787.90, reads: 67200.62, writes: 19160.61, response time: 6.35ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 4569.09, reads: 63980.30, writes: 18282.37, response time: 6.82ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 4900.98, reads: 68590.78, writes: 19607.94, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 4595.01, reads: 64355.11, writes: 18372.03, response time: 6.91ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 4966.99, reads: 69479.86, writes: 19868.96, response time: 6.62ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 4361.01, reads: 61088.17, writes: 17456.05, response time: 7.04ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 4568.00, reads: 63911.03, writes: 18270.01, response time: 6.95ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 4661.01, reads: 65304.10, writes: 18670.03, response time: 6.75ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 4697.98, reads: 65725.70, writes: 18747.91, response time: 6.92ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 4632.02, reads: 64906.28, writes: 18531.08, response time: 6.82ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 4747.00, reads: 66365.05, writes: 18984.02, response time: 6.73ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 4685.98, reads: 65610.71, writes: 18743.92, response time: 6.62ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 4750.01, reads: 66581.20, writes: 19004.06, response time: 6.66ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 4785.01, reads: 66981.11, writes: 19139.03, response time: 6.71ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 5137.98, reads: 71903.68, writes: 20558.91, response time: 5.51ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 16, tps: 4743.01, reads: 66413.21, writes: 18967.06, response time: 6.49ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 16, tps: 4677.99, reads: 65511.82, writes: 18740.95, response time: 6.90ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 16, tps: 4679.00, reads: 65506.04, writes: 18696.01, response time: 6.79ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 16, tps: 4883.99, reads: 68389.83, writes: 19525.95, response time: 6.33ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 16, tps: 5153.03, reads: 72132.38, writes: 20614.11, response time: 5.48ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 16, tps: 4913.00, reads: 68701.00, writes: 19647.00, response time: 6.30ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 16, tps: 4659.98, reads: 65271.74, writes: 18639.93, response time: 6.79ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 16, tps: 4579.01, reads: 64119.09, writes: 18324.03, response time: 6.86ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 4697.99, reads: 65815.82, writes: 18805.95, response time: 6.80ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 16, tps: 4716.01, reads: 65931.18, writes: 18842.05, response time: 6.97ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 16, tps: 4737.01, reads: 66401.09, writes: 18982.03, response time: 6.67ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 16, tps: 4642.01, reads: 64929.11, writes: 18545.03, response time: 6.75ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 16, tps: 4697.99, reads: 65832.91, writes: 18829.98, response time: 6.64ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 16, tps: 4720.00, reads: 66040.94, writes: 18828.98, response time: 6.74ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 16, tps: 5207.98, reads: 72922.77, writes: 20866.93, response time: 5.44ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 16, tps: 5012.02, reads: 70194.33, writes: 20029.09, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 16, tps: 4789.97, reads: 67024.54, writes: 19150.87, response time: 6.65ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 16, tps: 4694.00, reads: 65625.04, writes: 18771.01, response time: 6.90ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 4758.03, reads: 66750.44, writes: 19053.12, response time: 6.84ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 16, tps: 5152.99, reads: 72037.86, writes: 20586.96, response time: 5.78ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 16, tps: 4928.99, reads: 69059.90, writes: 19721.97, response time: 6.28ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 16, tps: 5297.02, reads: 74137.27, writes: 21192.08, response time: 5.14ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 16, tps: 4985.00, reads: 69789.05, writes: 19941.01, response time: 6.11ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 16, tps: 4879.00, reads: 68365.97, writes: 19536.99, response time: 6.28ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 16, tps: 4784.99, reads: 66924.83, writes: 19124.95, response time: 6.52ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 16, tps: 5210.01, reads: 72977.20, writes: 20840.06, response time: 5.54ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 16, tps: 4920.99, reads: 68865.92, writes: 19676.98, response time: 6.40ms (95%), errors: 0.00, reconnects:  0.00
[  79s] threads: 16, tps: 4778.97, reads: 66870.52, writes: 19117.86, response time: 6.59ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 4854.03, reads: 68052.49, writes: 19412.14, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[  81s] threads: 16, tps: 4881.01, reads: 68241.08, writes: 19516.02, response time: 6.49ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 16, tps: 5089.99, reads: 71358.92, writes: 20370.98, response time: 5.69ms (95%), errors: 0.00, reconnects:  0.00
[  83s] threads: 16, tps: 4881.00, reads: 68302.97, writes: 19515.99, response time: 6.60ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 16, tps: 4724.00, reads: 66133.97, writes: 18898.99, response time: 6.72ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 16, tps: 4560.93, reads: 63878.98, writes: 18244.71, response time: 6.96ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 16, tps: 4773.07, reads: 66830.93, writes: 19104.26, response time: 6.78ms (95%), errors: 0.00, reconnects:  0.00
[  87s] threads: 16, tps: 5173.01, reads: 72422.14, writes: 20678.04, response time: 5.63ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 16, tps: 5110.00, reads: 71501.01, writes: 20468.00, response time: 5.94ms (95%), errors: 0.00, reconnects:  0.00
[  89s] threads: 16, tps: 5373.00, reads: 75182.99, writes: 21467.00, response time: 5.03ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 5119.01, reads: 71744.09, writes: 20477.03, response time: 6.13ms (95%), errors: 0.00, reconnects:  0.00
[  91s] threads: 16, tps: 5133.00, reads: 71830.03, writes: 20525.01, response time: 5.59ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 16, tps: 5121.99, reads: 71635.91, writes: 20515.97, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[  93s] threads: 16, tps: 4846.00, reads: 67926.04, writes: 19406.01, response time: 6.31ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 16, tps: 4844.01, reads: 67809.10, writes: 19338.03, response time: 6.86ms (95%), errors: 0.00, reconnects:  0.00
[  95s] threads: 16, tps: 4942.00, reads: 69105.98, writes: 19759.00, response time: 6.30ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 16, tps: 4820.99, reads: 67575.91, writes: 19284.97, response time: 6.63ms (95%), errors: 0.00, reconnects:  0.00
[  97s] threads: 16, tps: 5039.00, reads: 70530.99, writes: 20161.00, response time: 6.28ms (95%), errors: 0.00, reconnects:  0.00
