sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2688.76, reads: 37838.65, writes: 10763.05, response time: 10.67ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 3460.01, reads: 48402.11, writes: 13838.03, response time: 8.10ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 3487.00, reads: 48844.04, writes: 13952.01, response time: 8.40ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 3670.01, reads: 51390.14, writes: 14677.04, response time: 7.81ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 3768.99, reads: 52731.83, writes: 15078.95, response time: 8.00ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 3724.01, reads: 52167.08, writes: 14894.02, response time: 7.93ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3818.99, reads: 53402.91, writes: 15276.98, response time: 7.95ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3846.00, reads: 53895.04, writes: 15394.01, response time: 7.59ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3924.93, reads: 54943.08, writes: 15686.74, response time: 7.71ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 4044.07, reads: 56593.04, writes: 16178.30, response time: 7.30ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 4140.00, reads: 57942.01, writes: 16558.00, response time: 7.07ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 4172.98, reads: 58480.66, writes: 16689.90, response time: 7.06ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 4212.02, reads: 58906.21, writes: 16844.06, response time: 6.94ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 4256.01, reads: 59603.13, writes: 17029.04, response time: 6.83ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 4397.99, reads: 61558.91, writes: 17586.97, response time: 6.66ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 4454.00, reads: 62404.06, writes: 17845.02, response time: 6.68ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 4551.00, reads: 63741.03, writes: 18183.01, response time: 6.34ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 4445.00, reads: 62239.99, writes: 17786.00, response time: 6.62ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 4574.99, reads: 64003.87, writes: 18297.96, response time: 6.37ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 4630.01, reads: 64828.15, writes: 18509.04, response time: 6.01ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 4601.96, reads: 64449.47, writes: 18416.85, response time: 6.33ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 4313.02, reads: 60362.21, writes: 17244.06, response time: 7.55ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 4268.02, reads: 59718.22, writes: 17078.06, response time: 7.26ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 4349.01, reads: 60953.10, writes: 17392.03, response time: 7.42ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 4355.97, reads: 60931.54, writes: 17437.87, response time: 7.18ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 4384.02, reads: 61415.32, writes: 17541.09, response time: 7.39ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 4454.00, reads: 62347.97, writes: 17818.99, response time: 7.02ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 4348.00, reads: 60871.06, writes: 17382.02, response time: 7.21ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 4340.00, reads: 60748.99, writes: 17361.00, response time: 7.41ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 4443.00, reads: 62176.05, writes: 17755.01, response time: 7.05ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 4479.99, reads: 62726.88, writes: 17919.97, response time: 7.12ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 4723.99, reads: 66082.89, writes: 18895.97, response time: 6.70ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 4461.01, reads: 62541.16, writes: 17853.04, response time: 7.03ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 4541.01, reads: 63523.16, writes: 18165.05, response time: 6.74ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 4549.99, reads: 63756.92, writes: 18197.98, response time: 6.64ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 4943.00, reads: 69158.96, writes: 19779.99, response time: 5.86ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 4603.00, reads: 64449.93, writes: 18421.98, response time: 6.73ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 4528.01, reads: 63407.10, writes: 18090.03, response time: 7.20ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 4596.01, reads: 64333.12, writes: 18386.03, response time: 7.14ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 4708.00, reads: 65891.94, writes: 18829.98, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 4488.99, reads: 62736.80, writes: 17951.94, response time: 7.09ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 4668.00, reads: 65472.02, writes: 18680.00, response time: 6.71ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 4339.00, reads: 60745.05, writes: 17355.01, response time: 7.39ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 4634.01, reads: 64903.12, writes: 18549.03, response time: 7.00ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 4624.97, reads: 64724.51, writes: 18496.86, response time: 6.88ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 4958.04, reads: 69432.51, writes: 19832.15, response time: 5.71ms (95%), errors: 0.00, reconnects:  0.00
