procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2  60196 121170912  24264 284092   20   44  1411  2182    0    1 12  4 79  5  0
13  6  60196 120556816  28716 292324    0    0 463608 22448 160208 282880 14  5 69 11  0
14  5  60196 120188352  30624 307540    0    0 334408 27908 188512 326981 18  6 68  9  0
12  4  60196 119853552  32280 322340    0    0 312868 27832 184024 337211 17  6 68  9  0
 3  4  60196 119528320  34280 338596    0    0 297268 28324 188892 344335 17  5 69  8  0
18  4  60196 119224176  36280 355016    0    0 279144 27784 202389 352993 17  6 69  8  0
15  3  60196 118933056  38284 369788    0    0 263000 27552 209902 360940 19  6 67  8  0
15  4  60196 118657664  40292 384916    0    0 253496 28312 206045 371911 19  6 67  7  0
13  7  60196 118393840  42252 400684    0    0 240092 28384 218711 379857 19  6 68  8  0
29  7  60196 118142784  44252 416276    0    0 222996 28048 209367 377237 18  6 68  7  0
21  3  60196 117917064  46244 430620    0    0 205920 27524 219774 375800 18  6 69  6  0
17  3  60196 117696464  48244 445244    0    0 197372 27368 225407 378503 21  6 67  6  0
 3  4  60196 117480808  50384 459792    0    0 194580 27920 221259 391265 20  6 68  6  0
14  4  60196 117272136  52524 474368    0    0 186844 27752 222565 397222 19  6 69  6  0
12  6  60196 117079872  54516 488760    0    0 165192 92512 208392 376882 18  6 70  6  0
19  2  60196 116880848  56508 503348    0    0 171004 27876 245395 412888 20  6 68  6  0
 2  2  60196 116694448  58504 517816    0    0 158500 27968 253447 406018 22  6 66  6  0
16  1  60196 116519320  60520 531708    0    0 153292 28724 256980 422124 22  6 67  5  0
21  4  60196 116350008  62520 546940    0    0 145112 28716 251847 420087 20  6 69  5  0
 1  1  60196 116185776  64520 561748    0    0 137104 27484 250550 415410 19  6 70  5  0
17  3  60196 116031904  66456 575356    0    0 130264 27047 250128 409340 21  6 69  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 11  60196 115887008  69128 599424    0    0 110212 326923 189966 345718 21  6 67  7  0
 5  1  60196 115733800  69968 668952    0    0 465464 412560 76406 112113  8  2 81  8  0
 2  6  60196 115686008  70088 703228    0    0 506604 505896 15206 19122  3  2 87  8  0
 1  5  60196 115677032  70192 714420    0    0 373464 370396 17122 18567  3  1 86 10  0
 2  5  60196 115690128  70244 695948    0    0 319380 332628 11778 10708  3  1 88  8  0
