procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 702752 120442656  20084 738276    0    0    68   311    0    0 12  9 78  1  0
15  6 702752 119861640  23676 741152    0    0 438124 17172 110053 277196 19  7 66  8  0
22  1 702752 119539184  25636 751412    0    0 298512 19864 137299 284114 23  8 63  6  0
20  5 702752 119230752  27648 758908    0    0 297116 20380 140579 300985 24  8 63  6  0
11  6 702752 118937536  29648 766084    0    0 283016 20616 142659 307427 23  9 62  6  0
20  7 702752 118654832  31648 773468    0    0 269912 20896 143631 312771 24  8 62  5  0
23  1 702752 118377800  33656 781336    0    0 262508 20932 146520 323578 25  8 62  5  0
16  4 702752 118111632  35656 788452    0    0 253020 20836 149170 322208 25  8 62  5  0
15  4 702752 117873016  37628 795756    0    0 238108 20664 148080 331672 25  8 61  5  0
 7  1 702752 117628184  39620 803200    0    0 225988 20444 148531 328010 25  8 63  5  0
16  5 702752 117401392  41628 809820    0    0 213156 20608 150880 336839 25  8 62  5  0
24  1 702752 117193936  43640 816708    0    0 200064 20132 150600 332259 25  8 62  4  0
17  3 702752 116981264  45608 824648    0    0 201060 20904 158628 347644 26  8 61  4  0
13  5 702752 116785352  47588 831812    0    0 186340 20496 157053 338037 25  9 62  4  0
 9  1 702752 116592960  49568 838456    0    0 180336 20716 160442 353863 26  8 61  4  0
22  2 702752 116402480  51520 845204    0    0 175792 20628 167894 360634 27  8 61  4  0
20  5 702752 116230888  53404 852036    0    0 162664 20704 166054 360636 27  8 61  4  0
20  0 702752 116058168  55272 858444    0    0 159384 20792 173035 376544 27  8 61  4  0
16  4 702752 115893720  57276 864708    0    0 149112 20676 167741 377069 27  9 61  4  0
11  3 702752 115739064  59276 871688    0    0 144616 20724 176684 380652 27  8 61  4  0
19  4 702752 115583720  61376 877796    0    0 140476 20689 180927 386067 27  8 61  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  4 702752 115404864  63800 908124    0    0 144528 97383 179954 387873 29  9 58  4  0
19  3 702752 115271072  66272 908380    0    0 126556 70108 177556 387890 28  9 59  4  0
23  4 702752 115130936  68812 917376    0    0 120296 61792 172237 378853 27  9 60  4  0
11  3 702752 114949632  70816 973324    0    0 195980 101964 179364 386196 28  8 60  4  0
21  1 702752 114687528  72896 1105452    0    0 281560 191252 172493 368493 27  9 60  4  0
22  3 702752 114569288  75020 1107368    0    0 231484 153028 182762 391126 28  9 59  4  0
19  3 702752 114455256  77100 1113372    0    0 221416 149824 180932 387558 28  9 60  4  0
17  3 702752 114328688  79064 1137272    0    0 219732 144480 182186 392018 27  9 60  4  0
12  2 702752 114266584  81236 1096452    0    0 179124 124672 181204 392678 28  9 58  5  0
21  1 702752 114131280  83252 1135556    0    0 127384 59896 185425 396470 28  9 59  4  0
19  2 702752 114043664  85404 1127108    0    0 200140 139108 187876 407094 28 10 57  5  0
20  3 702752 113926056  87432 1156616    0    0 205388 144396 184133 398329 28  9 60  4  0
23  3 702752 113869952  89464 1128776    0    0 92012 31636 192534 414511 29  9 58  4  0
22  3 702752 113733200  91660 1178292    0    0 198128 157640 186259 404400 28  8 60  3  0
16  2 702752 113709248  93748 1126764    0    0 174008 143544 185321 402436 28  9 59  4  0
21  7 702752 113620104  95760 1132668    0    0 104108 42844 197381 407154 29  8 58  5  0
18  1 702752 113412448  97864 1253712    0    0 301376 271932 187699 383517 28  9 60  3  0
33  4 702752 113379824 100016 1212816    0    0 178464 135980 192518 409530 29  9 58  4  0
20  3 702752 113273104 102040 1247448    0    0 206292 170832 192484 403330 28  9 60  3  0
26  3 702752 113288432 104088 1164156    0    0 84972 39908 197115 418899 29  9 59  4  0
10  6 702752 113169984 106196 1215884    0    0 193668 165920 198172 420480 28  9 57  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  3 702752 112940160 108208 1372252    0    0 261748 225812 184369 391945 28 10 59  3  0
22  3 702752 112997760 109692 1252600    0    0 69276 32764 200279 431714 29  9 58  4  0
18  1 702752 113064328 110732 1127688    0    0 76476 48852 200625 423782 29  9 58  4  0
20  2 702752 112921464 111888 1206432    0    0 187048 168672 195756 414388 29  9 60  2  0
 8  3 702752 112802216 112924 1262596    0    0 153944 129968 197844 412187 29  9 58  4  0
15  4 702752 112761912 113980 1245728    0    0 164348 147356 200024 430090 29  9 58  4  0
24  2 702752 112740648 114980 1205816    0    0 131440 97884 194849 414708 29  8 59  4  0
19  1 702752 112740192 115804 1151528    0    0 48940 46160 210727 435773 30  9 58  3  0
24  2 702752 112555536 116080 1280592    0    0 207576 178880 195874 409916 29  9 59  3  0
13  2 702752 112503752 117128 1280472    0    0 220536 202264 199704 423249 30  9 59  2  0
24  2 702752 112398008 118128 1334100    0    0 167324 145708 203785 421193 29  9 59  3  0
22  0 702752 112439872 118980 1239160    0    0 114540 169872 195339 419707 29  9 58  4  0
 7  6 702752 112262328 120032 1362248    0    0 244400 231144 195426 410658 29  9 59  2  0
21  1 702752 112221464 120780 1356968    0    0 60588 48356 202831 418017 30  9 58  4  0
19  3 702752 112313328 121048 1225508    0    0 71112 58812 202368 430398 29 10 57  4  0
