procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 702748 120455192  16760 736104    0    0    70   313    0    0 12  9 78  1  0
24  4 702748 119880112  20696 738696    0    0 435312 16144 108421 269074 19  7 66  8  0
21  5 702748 119557776  22688 748580    0    0 301884 20072 138944 285076 23  8 63  6  0
13  7 702748 119257360  24692 758496    0    0 286260 20204 145359 294383 23  8 63  6  0
18  4 702748 118962016  26692 765960    0    0 280996 20416 144590 303704 23  8 63  6  0
15  7 702748 118679848  28692 773176    0    0 267164 20364 143860 310015 23  8 63  6  0
23  7 702748 118419120  30692 780384    0    0 252024 20200 143305 312700 24  8 62  6  0
16  7 702748 118164992  32652 787668    0    0 243548 20132 143147 310787 24  8 63  6  0
21  1 702748 117915712  34660 794708    0    0 235984 20432 149257 320916 25  8 62  5  0
14  2 702748 117682560  36660 801552    0    0 225228 20108 149800 325463 24  8 62  5  0
13  3 702748 117452112  38660 808132    0    0 216592 20624 151441 336228 25  8 62  5  0
 7  3 702748 117236408  40660 815672    0    0 200852 20208 148273 323680 24  8 63  5  0
15  5 702748 117032496  42676 822320    0    0 196080 20240 150753 330471 25  8 62  5  0
17  4 702748 116828400  44668 828528    0    0 190108 20268 159260 339853 26  8 61  5  0
30  2 702748 116640784  46636 834872    0    0 176620 20356 160793 348758 26  8 62  5  0
18  3 702748 116457160  48636 841472    0    0 173556 20508 164058 363120 26  9 61  5  0
18  6 702748 116280128  50616 848412    0    0 165216 20448 165224 348861 26  8 62  4  0
16  4 702748 116106128  52600 854788    0    0 157800 20312 165317 352707 26  8 61  4  0
17  2 702748 115942176  54404 861384    0    0 151648 20560 168214 363756 27  8 61  4  0
34  1 702748 115792680  56340 867680    0    0 144096 20164 168642 364967 26  8 62  4  0
16  7 702748 115637952  58424 876208    0    0 144340 20692 172498 373110 26  8 61  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  4 702748 115461872  61068 891552    0    0 140560 71656 173362 385238 28  9 59  4  0
18  5 702748 115324848  63696 898284    0    0 203052 59104 175964 378929 28  8 60  4  0
21  2 702748 115177408  65832 907140    0    0 260972 116020 172936 375495 28  8 60  4  0
31  1 702748 115051272  67928 913728    0    0 275152 130308 178060 382722 28  8 60  4  0
22  2 702748 114927760  70088 919320    0    0 272544 128312 179578 387809 28  9 60  4  0
12  4 702748 114812320  72176 926932    0    0 254704 130348 174954 386851 28  9 60  4  0
25  1 702748 114699296  74300 931292    0    0 254364 128144 172085 387980 29  8 59  3  0
18  3 702748 114589176  76504 936864    0    0 207856 93048 176391 387801 28  9 58  5  0
27  0 702748 114474280  78508 945368    0    0 247980 123284 179141 394086 28  9 60  3  0
21  3 702748 114378096  80772 949484    0    0 253632 135260 175903 397603 29  9 59  3  0
20  1 702748 114275056  82776 958676    0    0 249236 122836 171357 382187 28  8 61  3  0
23  0 702748 114172064  84980 962272    0    0 245776 130720 176856 393415 29  9 60  3  0
20  1 702748 114073528  87048 974924    0    0 215668 108440 187771 396445 29  9 59  4  0
14  7 702748 113992736  89228 975788    0    0 248528 130896 183912 400615 30  9 59  3  0
 7  2 702748 113896320  91280 981676    0    0 236664 126988 177749 394191 28  8 61  3  0
 5  5 702748 113819592  95916 985200    0    0 247828 126084 190233 414505 30  8 59  3  0
13  4 702748 113726288  98012 993680    0    0 243460 121452 187395 407694 29  9 59  2  0
24  5 702748 113639408 100100 1011828    0    0 191112 75048 184055 400964 28  9 59  4  0
18  2 702748 113556176 102256 1021192    0    0 218284 124968 192732 414361 30  9 59  3  0
17  3 702748 113470160 104308 1025924    0    0 226972 127984 188853 404611 29  9 59  2  0
12  1 702748 113389768 106484 1033676    0    0 216632 128676 193701 407226 30  9 59  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  1 702748 113321184 108496 1038384    0    0 213404 127828 191903 411536 30  9 59  2  0
18  1 702748 113251088 109336 1046172    0    0 221496 129884 194190 423468 30  9 58  2  0
20  3 702748 113162928 110356 1071128    0    0 189504 111492 190448 408278 29  9 58  4  0
30  2 702748 113105712 111412 1064084    0    0 207840 120932 187099 407523 30  9 60  2  0
24  2 702748 113042656 112164 1061604    0    0 205344 126996 190263 415782 30  9 59  2  0
14  1 702748 112988840 112464 1068792    0    0 203720 125088 193738 416875 31  8 59  2  0
21  0 702748 112918896 113216 1072336    0    0 214244 127284 196197 422007 30  9 59  2  0
20  1 702748 112861456 113532 1079812    0    0 172532 100600 192726 418235 29  8 59  3  0
24  0 702748 112796256 114568 1087564    0    0 212260 125304 196880 417370 30  9 60  2  0
20  1 702748 112739904 115616 1092848    0    0 209120 129112 200391 421665 30  9 59  2  0
19  1 702748 112681392 116912 1098320    0    0 219916 125212 193423 414738 29  9 60  2  0
29  2 702748 112627248 118012 1105704    0    0 206516 123300 201346 426774 30  9 59  2  0
22  1 702748 112579840 119068 1110076    0    0 198064 88896 197781 416726 29  8 60  3  0
21  3 702748 112512656 119816 1116028    0    0 192684 189420 188809 406591 29  8 60  2  0
21  0 702748 112464568 120872 1119864    0    0 193188 130916 193476 418557 30  9 59  2  0
20  0 702748 112412584 121892 1126580    0    0 201544 125308 199485 418954 30  8 60  2  0
20  0 702748 112361072 122908 1132684    0    0 180716 128044 199295 425085 31  9 59  2  0
25  2 702748 112312808 123848 1145572    0    0 199596 127328 198490 423512 30  9 59  2  0
22  1 702748 112234048 124968 1186016    0    0 169696 115708 202651 418908 30  9 58  3  0
21  0 702748 112220656 125708 1150740    0    0 139204 86168 205217 429381 30  9 59  2  0
19  1 702748 112168928 126016 1154456    0    0 177268 122640 195116 411189 30  9 60  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  1 702748 112124384 127016 1163168    0    0 188156 126860 209662 418916 31  9 59  2  0
18  4 702748 112073376 128108 1173108    0    0 208824 131380 199237 419481 31  8 59  2  0
26  2 702748 112030512 128876 1173604    0    0 168020 113208 205929 429992 30  9 59  2  0
 6  0 702748 111983976 129152 1180960    0    0 195596 130544 201306 422825 31  8 59  1  0
21  0 702748 111939944 130172 1185656    0    0 185228 119732 207660 415734 30  8 60  1  0
12  1 702748 111897472 131084 1190324    0    0 204320 127616 206183 419027 30  8 60  1  0
20  2 702748 111855240 131120 1200016    0    0 195724 123140 214348 428660 31  8 59  2  0
21  2 702748 111797152 131384 1220124    0    0 184548 103480 202073 428875 30  9 58  3  0
15  3 702748 111766576 132476 1213852    0    0 173764 104392 203417 435233 30  9 59  2  0
19  2 702748 111722752 133476 1222664    0    0 192540 125536 206055 430915 31  9 59  1  0
19  1 702748 111677776 134540 1226608    0    0 181476 130696 202980 428462 30  9 59  1  0
27  3 702748 111644928 135564 1233972    0    0 181628 125792 204173 428402 31  9 59  1  0
24  0 702748 111602448 136612 1240084    0    0 181316 131664 205765 430093 31  9 59  1  0
19  1 702748 111550480 137616 1259068    0    0 174500 122364 215554 446383 31  9 57  2  0
31  1 702748 111525824 138480 1252560    0    0 185792 134024 208616 440448 31  9 58  1  0
 7  1 702748 111490152 138768 1256592    0    0 180896 122604 209110 430100 31  9 59  1  0
 4  3 702748 111442384 139608 1262352    0    0 191708 133932 215740 446582 32  9 58  1  0
 2  4 702748 111410320 139680 1269632    0    0 178496 121368 210391 429767 31  9 59  1  0
20  3 702748 111357104 139956 1292372    0    0 169552 124476 210022 438328 31  9 58  2  0
26  0 702748 111329984 140984 1287684    0    0 188764 129284 212860 433502 31  9 59  1  0
28  1 702748 111297392 142048 1287152    0    0 196272 133124 214060 437939 31  9 59  1  0
