procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 120934504  24616 272492    0    0   310   996    2    4 12  4 83  0  0
12  7      0 120356144  28380 275644    0    0 437320 17000 107679 266540 16  7 70  8  0
16  6      0 120029208  30380 285580    0    0 308408 20216 136761 298689 20  8 66  6  0
14  7      0 119718416  34920 296428    0    0 299344 20512 141813 311588 20  7 66  6  0
22  7      0 119423024  36928 304436    0    0 281288 20610 138127 307142 20  8 66  6  0
13  8      0 119144512  38928 311812    0    0 270920 20480 140960 318609 20  8 66  6  0
15  2      0 118869536  40912 318936    0    0 259704 20526 138332 314252 20  8 66  6  0
18  2      0 118607384  42876 326252    0    0 246400 20312 135583 316584 20  7 67  5  0
20  4      0 118362080  44884 333268    0    0 241292 20928 149832 328011 21  8 66  5  0
18  0      0 118122800  46884 340400    0    0 222580 20512 144076 322284 21  8 66  5  0
15  5      0 117890400  48884 347636    0    0 219168 20500 146960 336755 22  7 65  5  0
16  4      0 117681384  50904 354512    0    0 205908 20740 144801 336507 21  8 66  5  0
20  4      0 117458592  52912 361480    0    0 200500 20817 151521 339127 21  7 66  5  0
15  2      0 117264336  54872 368036    0    0 187860 20231 155220 348332 22  7 66  5  0
17  6      0 117069056  56780 374856    0    0 180808 20776 162933 364150 22  8 66  5  0
14  5      0 116882768  58648 381712    0    0 176004 20896 156138 362284 23  8 65  5  0
18  1      0 116707264  60512 387980    0    0 164472 20428 159146 362975 22  7 66  5  0
14  7      0 116535920  62528 394744    0    0 157280 20689 160969 370025 22  8 66  4  0
15  4      0 116375504  64496 401044    0    0 146284 20341 161430 367556 22  8 66  4  0
20  2      0 116218752  66496 407716    0    0 146060 20742 164477 372301 22  8 65  4  0
10  9      0 116063472  68608 416916    0    0 140324 20380 167602 368594 23  8 66  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  1      0 115907952  71068 430216    0    0 139152 73356 172260 388289 25  8 63  4  0
19  1      0 115629104  73548 478692    0    0 305784 126340 161507 372171 25  8 62  5  0
