procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 121138800  23972 250384    0    0   339   370    1    1  2  0 97  2  0
 7  5      0 120507704  27684 257492    0    0 488076 19516 152209 314733 12  6 69 13  0
 9 12      0 120112576  29680 264848    0    0 371672 24000 207723 357841 18  6 64 12  0
12 11      0 119744672  31664 275988    0    0 353244 23856 212881 369121 19  6 64 11  0
 5  4      0 119391080  33636 285236    0    0 334020 23940 203841 374287 17  6 66 11  0
10  8      0 119050688  35608 294072    0    0 325704 24572 216515 386809 18  7 65 10  0
19  4      0 118729280  37600 303600    0    0 305088 24116 210065 392344 18  7 66  9  0
11  7      0 118423840  39568 312804    0    0 290160 24492 234947 403603 20  6 64  9  0
 7  3      0 118140048  41552 321820    0    0 271228 24052 230481 398072 20  7 64  9  0
 9  4      0 117866960  43536 330696    0    0 258764 24582 227690 412766 18  7 66  9  0
13  5      0 117608400  45480 339480    0    0 243668 24129 223483 415543 19  6 67  8  0
13  6      0 117363208  47424 348204    0    0 234388 24815 235182 431915 20  7 65  8  0
11  7      0 117125272  49400 357048    0    0 222576 25356 263495 443249 21  7 64  8  0
 7  1      0 116901872  51288 365996    0    0 205644 24116 254408 433154 22  7 65  7  0
17  3      0 116688216  53252 374840    0    0 200372 25152 254251 455763 20  7 66  7  0
20  3      0 116489936  55220 383104    0    0 184464 24668 250438 455971 21  7 66  7  0
17  4      0 116299464  57228 391556    0    0 175244 24212 257141 453034 21  7 67  6  0
21  2      0 116119384  59196 399684    0    0 165972 24376 271606 459623 22  7 64  6  0
10  6      0 115941192  61196 407772    0    0 159876 24720 281560 479208 23  7 64  6  0
 8  5      0 115777568  63204 416380    0    0 149816 24970 268073 478977 21  7 67  5  0
 1  3      0 115612296  65324 425980    0    0 146064 24660 277688 488346 21  7 67  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  4      0 115431152  68036 459336    0    0 145720 120060 281146 491300 22  8 64  5  0
15  6      0 115280496  71144 469948    0    0 126048 102680 297479 486775 24  9 63  5  0
 5  8      0 114495616  73484 1049960    0    0 724428 187840 236955 373546 19  8 61 12  0
20 13      0 113869248  75220 1584184    0    0 558780 41288 253882 418826 18  7 55 19  0
13 14      0 113750064  77324 1573556    0    0 112236 249132 304115 504672 22  7 55 16  0
18 13      0 113667128  79636 1544452    0    0 117152 83964 311433 515332 22  7 57 14  0
15 12      0 113197728  81912 1911524    0    0 429104 241790 282591 461432 23  8 55 15  0
20  7      0 112546560  83924 2482260    0    0 728096 198536 232197 381400 20  9 60 12  0
12  9      0 111955128  86048 2980400    0    0 572500 143660 253820 435765 20  9 60 11  0
 4 10      0 111149632  87884 3733368    0    0 1561228 259384 148271 255464 12  9 64 15  0
20 12      0 109762360  89668 5060692    0    0 1338828 119448 166947 279845 14 13 60 13  0
15 14      0 109650880  91708 5074684    0    0 89888 201258 319758 526806 25  7 55 13  0
18 11      0 109580928  93968 5050724    0    0 84332 164300 336557 533590 25  8 56 12  0
 9 11      0 109478096  96160 5065504    0    0 77940 203789 303505 513929 23  7 60 10  0
17 12      0 109375552  98384 5079888    0    0 79328 165359 310752 539428 23  8 58 12  0
16 15      0 109283856 100448 5090992    0    0 71540 166864 314294 526357 23  7 59 11  0
16 12      0 109183936 103048 5113464    0    0 71628 161648 321058 525924 25  8 55 12  0
18 11      0 109095648 105232 5126080    0    0 65360 206752 325473 520424 26  7 58  9  0
11 12      0 108998256 107572 5140000    0    0 65652 193384 314869 522225 23  8 60 10  0
17 11      0 108906512 110148 5158352    0    0 62548 171837 305625 526989 23  8 59 10  0
 2 11      0 108819248 112960 5176284    0    0 61832 205099 319341 529749 23  9 58 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17 13      0 108736968 113672 5191256    0    0 58420 79372 336233 532195 26  7 59  9  0
17 10      0 108662960 114164 5198484    0    0 54660 313240 320332 515887 25  7 56 12  0
17  9      0 108587024 115148 5206696    0    0 57660 173036 329424 556583 24  7 58 12  0
18 11      0 108518192 116136 5215100    0    0 53044 189504 332805 549208 24  7 57 12  0
14 14      0 108447264 117120 5222908    0    0 51432 215592 323541 537490 24  7 60  9  0
19  3      0 108368304 118112 5231736    0    0 52240 156576 356255 558907 26  8 57  9  0
18 12      0 108309536 118772 5239800    0    0 48840 157440 347295 544542 27  7 61  6  0
18 10      0 108242680 119136 5247708    0    0 47460 207010 332968 553031 24  8 58 11  0
17 12      0 108181648 119784 5256340    0    0 45300 108095 331243 541954 24  7 60  9  0
18  9      0 108161616 120420 5224580    0    0 47576 297241 337213 559250 24  8 57 11  0
17 10      0 108065216 122180 5262496    0    0 44980 219324 343513 551528 26  9 55 10  0
17  4      0 108455248 123564 4827484    0    0 53268 191152 359075 561940 27  9 55  9  0
18 10      0 108826472 124544 4405516    0    0 455868 165416 287969 485256 21  7 58 13  0
12  9      0 108436544 125480 4762980    0    0 768808 211716 253929 425231 19  9 61 11  0
21  8      0 107535872 126432 5633680    0    0 888256 173346 232676 394395 17 10 62 10  0
19 12      0 107598192 127416 5528816    0    0 352088 195044 313528 500574 24  9 56 10  0
 3  9      0 107264800 128292 5823056    0    0 462364 198172 303848 477417 24  8 55 13  0
 5 13      0 107100848 128644 5941496    0    0 239376 125936 309466 510197 22  8 59 12  0
15  7      0 107931552 129872 5073376    0    0 360004 231588 293697 497311 22  8 56 13  0
22 14      0 107560768 130848 5400956    0    0 350288 64896 309673 513845 23  7 60 10  0
19  9      0 107529168 131836 5385416    0    0 36524 321612 355555 560178 26  7 54 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  9      0 108348800 132672 4524156    0    0 54272 203996 368177 556031 27  7 55 11  0
 8 10      0 108098160 133668 4739028    0    0 247044 69480 321488 535776 24  7 61  8  0
25 12      0 108034992 134672 4757696    0    0 34348 234882 358777 575518 24  8 52 16  0
20  9      0 107986704 135344 4770128    0    0 33132 168620 341588 559494 24  7 54 14  0
 7  9      0 107695792 135364 5024468    0    0 378036 153588 341118 513992 24  9 54 12  0
14 11      0 107340720 135392 5343948    0    0 335740 172972 347101 515665 25  9 57 10  0
16 13      0 107153328 135584 5500292    0    0 172712 74860 334796 532260 23  8 61  8  0
18 13      0 107109280 136060 5509452    0    0 32312 290085 362173 590682 26  7 53 14  0
22 11      0 107105088 136560 5474748    0    0 244220 194675 328674 534584 23  7 60 10  0
19  9      0 106716608 137580 5834956    0    0 364444 188524 318286 507496 24  9 58  8  0
12 11      0 106535040 138192 5984960    0    0 161392 215992 353313 552263 26  9 57  8  0
17 10      0 106482088 139300 5996968    0    0 29612 157124 367958 588635 25  8 59  8  0
18 12      0 106429360 140148 6012772    0    0 30300 121163 362890 587478 25  8 56 11  0
24  9      0 106387472 140852 6021144    0    0 29468 254927 344895 556987 25  7 57 10  0
20  8      0 106359160 142080 6017084    0    0 261212 184552 330925 522701 25  9 59  7  0
15 10      0 105988464 142152 6357256    0    0 372204 161940 328060 510889 24  8 59  8  0
15  9      0 105671520 142212 6648512    0    0 281712 218160 327594 530119 24  9 61  6  0
17 13      0 105658464 143172 6628948    0    0 392908 117492 310771 503612 22  9 60  9  0
 2 12      0 105610440 144172 6640060    0    0 27344 187736 372809 600560 25  8 54 14  0
21 11      0 105570568 144612 6648960    0    0 25672 172846 377468 584692 27  8 56  9  0
17 11      0 105531216 144632 6657208    0    0 26504 140916 390416 581545 28  7 59  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19 11      0 105492880 144656 6665296    0    0 26748 284512 373633 599358 25  8 59  8  0
18  3      0 106465264 144668 5662692    0    0 116688 194401 349399 564905 24  8 61  7  0
16 12      0 106238576 144700 5866796    0    0 217980 204343 324402 524557 23  8 58 12  0
19 10      0 106191192 145248 5883344    0    0 24772 204232 380178 581103 27  9 54 10  0
 2 10      0 106139176 145552 5905156    0    0 24524 190632 380347 586155 28  8 56  8  0
30  9      0 106089760 146452 5923724    0    0 25052 162656 377896 594050 26  8 58  8  0
 1 11      0 106238576 146460 5750116    0    0 55300 244476 362408 581573 25  8 62  6  0
15 12      0 106106800 146476 5856804    0    0 136280 92340 361153 573647 25  8 57 10  0
 3 11      0 105996920 146484 5937840    0    0 227064 253480 356335 554922 25  8 53 14  0
 2 11      0 105622792 146488 6290548    0    0 379012 168132 331466 511806 25 10 57  9  0
20  8      0 105326168 146496 6562800    0    0 257520 212676 334226 540867 24 10 57  9  0
