procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 702748 120446760  20164 745656    0    0    74   317    0    0 12  9 78  1  0
19  2 702748 119873904  23584 748512    0    0 434644 16840 109536 271277 17  7 69  8  0
17  3 702748 119545424  25584 758604    0    0 309276 20276 139767 294390 21  8 65  6  0
16  4 702748 119233360  27584 769172    0    0 293128 20528 138533 295882 22  8 65  6  0
14  5 702748 118945408  29592 776660    0    0 282800 20332 142635 302075 21  8 65  6  0
17  5 702748 118655840  31564 783420    0    0 270272 20212 144503 310165 22  8 65  5  0
19  0 702748 118391160  33564 791324    0    0 257968 20452 144690 315527 22  8 65  5  0
16  5 702748 118133056  35564 798596    0    0 245760 20784 151479 323993 22  8 65  5  0
16  4 702748 117887744  37540 805900    0    0 232500 20788 147630 324336 23  8 64  5  0
13  6 702748 117648320  39552 813360    0    0 228008 20448 154355 330805 23  8 64  5  0
28  4 702748 117420224  41552 820572    0    0 216968 21024 155563 337525 24  8 64  5  0
17  7 702748 117202824  43564 827560    0    0 205156 20756 165394 338948 23  8 64  5  0
10  4 702748 116991392  45564 834576    0    0 202316 20652 163247 347672 24  8 64  5  0
13  7 702748 116785984  47544 841096    0    0 188992 20172 161943 339535 24  8 64  5  0
20  3 702748 116600784  49552 847672    0    0 177884 20441 165933 345084 24  8 64  4  0
10  7 702748 116410888  51552 854648    0    0 173576 20495 165549 348263 25  8 63  4  0
14  6 702748 116234896  53540 861212    0    0 167856 21008 172747 363664 24  9 63  4  0
13  6 702748 116059152  55536 867968    0    0 161820 20544 170216 370877 25  8 63  4  0
20  2 702748 115892088  57536 874708    0    0 149516 20912 172705 368260 25  8 63  4  0
21  4 702748 115746320  59488 881088    0    0 142036 20647 175095 378450 26  8 63  4  0
20  6 702748 115590152  61388 889608    0    0 141144 20729 176303 377487 25  8 63  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  5 702748 115414240  63604 915604    0    0 139260 96856 184035 381631 26  9 61  4  0
13  9 702748 115274464  66016 925548    0    0 125988 53584 180563 384319 25 10 61  4  0
16  3 702748 115139072  68496 928480    0    0 123784 57564 183884 393232 26  9 61  4  0
19  1 702748 114945448  70836 991880    0    0 192828 127057 181491 384689 25  8 62  4  0
17  2 702748 114822992  72888 996736    0    0 112108 29531 184887 395475 26  8 61  5  0
14  4 702748 114591720  74948 1105168    0    0 258292 168524 184711 385111 26  9 61  4  0
29  0 702748 114488032  77060 1099280    0    0 224244 159524 181744 389369 26  9 61  5  0
24  3 702748 114320912  79124 1162448    0    0 267536 190940 174840 374569 25  9 62  4  0
26  2 702748 114182392  81168 1197788    0    0 246472 176184 187264 392500 25  9 62  4  0
16  6 702748 114027016  83204 1250628    0    0 140728 75308 186306 394574 26  9 60  6  0
21  3 702748 114044640  85220 1147324    0    0 97448 39100 192567 418721 27  8 60  5  0
 6  2 702748 113824000  87484 1272800    0    0 314524 267324 176352 379616 24 10 62  4  0
25  4 702748 113708336  89516 1303276    0    0 160928 102600 192331 404347 26  9 60  5  0
23  3 702748 113742288  91532 1183048    0    0 88872 30624 191350 407353 27  8 60  6  0
19  3 702748 113732704  93696 1110532    0    0 148004 106660 188716 404140 26  9 59  6  0
21  3 702748 113620672  95892 1143060    0    0 142604 110772 192562 401918 26  8 61  4  0
20  3 702748 113604232  97892 1081928    0    0 80352 28572 199087 416984 26  8 60  6  0
19  2 702748 113293776  99972 1311500    0    0 381756 345308 181842 381580 25  9 63  3  0
18  3 702748 113192808 101984 1342776    0    0 95124 52796 197246 409146 27  9 61  3  0
17  3 702748 113302368 104008 1162856    0    0 84972 41724 197562 412256 27  8 61  4  0
19  3 702748 113098096 106260 1294872    0    0 304572 286624 195337 397366 26 10 61  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  3 702748 112991424 108256 1335144    0    0 150480 112060 190159 408794 27  9 61  3  0
16  6 702748 112923832 109300 1335188    0    0 58296 28492 212127 438098 27  9 61  3  0
20  3 702748 113047416 109616 1149988    0    0 87600 59008 198399 420171 26  9 60  5  0
13  3 702748 112990528 110456 1146056    0    0 135452 111988 197471 411254 27  9 61  3  0
23  1 702748 112861120 110736 1218744    0    0 204300 189572 200809 407407 26  9 62  3  0
19  1 702748 112710912 111756 1307776    0    0 262396 236624 186471 398713 26  9 62  3  0
29  2 702748 112694360 112568 1273956    0    0 101080 78832 205380 422478 27  9 60  3  0
24  3 702748 112635792 112580 1274248    0    0 47928 29708 205738 423589 27  9 60  4  0
20  2 702748 112619168 112608 1244792    0    0 139648 125680 203290 416314 27  9 60  3  0
14  2 702748 112475200 112636 1330688    0    0 158156 130276 211913 423151 28  9 62  2  0
16  3 702748 112460864 112656 1297244    0    0 110748 101236 208982 424255 27  9 60  4  0
17  3 702748 112275072 112936 1434600    0    0 272096 249996 205681 404193 27  9 62  3  0
19  2 702748 112292848 113496 1358604    0    0 73492 120360 215609 430419 27  9 60  4  0
21  2 702748 112278672 114580 1324636    0    0 113836 106112 202992 424091 27  9 61  4  0
24  5 702748 112172368 115620 1386040    0    0 163048 152380 201422 416463 26  9 61  4  0
17  4 702748 112116416 116372 1396088    0    0 121112 105088 206516 428343 27  9 58  5  0
 7  3 702748 112123616 116396 1341312    0    0 88656 88744 211321 427266 28  9 59  5  0
31  2 702748 112041440 116660 1381968    0    0 190328 184432 194534 410872 27  8 62  2  0
20  1 702748 112012968 117660 1368000    0    0 108680 92100 200743 415659 28  8 60  4  0
19  2 702748 111907360 118696 1432792    0    0 147672 141972 213580 428138 28  9 61  2  0
10  3 702748 111971248 119588 1333688    0    0 44984 47532 214973 442633 28  9 58  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  2 702748 111699280 120632 1546856    0    0 289596 280292 203808 411931 26 10 62  2  0
22  4 702748 111663616 121392 1553252    0    0 33680 23688 218550 441504 28  9 61  2  0
19  1 702748 111790104 121436 1386468    0    0 85060 86452 218959 439717 28  9 60  3  0
19  1 702748 111702800 121724 1433808    0    0 94388 91772 215152 440962 28  9 61  2  0
18  1 702748 111600320 122552 1488000    0    0 204876 209156 208426 425415 27  9 60  3  0
20  2 702748 111491600 122816 1558484    0    0 164892 145752 216272 447367 27 10 61  3  0
22  4 702748 111591208 123816 1429396    0    0 52880 44364 214622 444643 28  9 60  4  0
23  0 702748 111423088 124932 1553196    0    0 263904 275124 203832 412775 27  9 61  3  0
26  2 702748 111367504 125920 1577048    0    0 103184 96356 214917 437811 28  9 61  2  0
16  2 702748 111328176 126668 1583620    0    0 29112 26812 215738 443165 28  9 60  3  0
25  3 702748 111379936 126724 1501876    0    0 132148 150964 206422 426121 27  9 60  4  0
19  2 702748 111203224 127504 1633984    0    0 242940 231076 214617 429696 28  9 61  2  0
19  3 702748 111260512 128500 1548340    0    0 48440 44636 214231 454491 28  9 60  3  0
 4  3 702748 111304464 129768 1472728    0    0 49384 44140 213036 444611 29  9 59  3  0
25  2 702748 111306144 130940 1434432    0    0 31688 63208 220982 447667 28  9 60  3  0
20  0 702748 111205392 131972 1509116    0    0 199580 203300 215172 433282 28  9 62  2  0
20  2 702748 110966128 132968 1707992    0    0 330456 320012 204056 401492 25  9 64  2  0
19  2 702748 110922880 133216 1714288    0    0 27356 24400 220603 443299 29  8 60  3  0
15  4 702748 111077680 133588 1541452    0    0 118712 132448 212674 437217 28  9 60  2  0
20  2 702748 110919872 134600 1659520    0    0 199164 199536 211801 423759 27  9 61  2  0
19  3 702748 110885088 135552 1666268    0    0 25748 25276 217912 451930 29  8 58  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24  3 702748 110949912 135772 1572556    0    0 106232 125796 217606 434395 28  9 59  4  0
21  2 702748 110977568 136688 1520432    0    0 55428 57744 222756 450702 29  9 59  4  0
12  2 702748 110784200 136828 1682336    0    0 280148 295716 216376 423912 27  9 62  2  0
25  2 702748 110699856 137392 1731248    0    0 86232 79204 214031 439314 28  9 61  2  0
21  4 702748 110668560 137400 1737464    0    0 23120 26732 216218 453002 28  9 61  2  0
23  2 702748 110826560 137428 1558120    0    0 84256 104024 218536 448071 29  9 58  4  0
13  2 702748 110791848 137984 1565236    0    0 94692 106148 223642 449912 28  9 60  3  0
18  3 702748 110566608 138024 1755940    0    0 297940 300952 207370 423300 27 10 62  2  0
15  3 702748 110536552 138272 1761984    0    0 22760 26284 230055 457476 28  9 60  3  0
18  2 702748 110632832 139096 1640512    0    0 144256 166592 222781 445717 28  9 60  2  0
18  4 702748 110602112 139356 1647044    0    0 22256 33336 223533 451340 28  9 58  4  0
20  2 702748 110572896 139856 1652100    0    0 154332 165308 225490 436297 28  9 61  3  0
20  2 702748 110482528 140008 1712400    0    0 154796 159896 222729 428107 28  9 61  3  0
20  2 702748 110583664 140008 1588156    0    0 41980 49824 235336 455377 29  9 60  3  0
19  1 702748 110486208 140012 1661740    0    0 112504 132796 219094 441855 29  9 61  2  0
21  2 702748 110487952 140928 1640440    0    0 101704 117561 222907 433354 28  9 61  3  0
21  0 702748 110334472 141932 1755968    0    0 235216 252095 217328 432222 27 10 62  1  0
22  2 702748 110267760 142112 1804776    0    0 112684 123315 213733 427442 28  9 61  2  0
25  1 702748 110231696 142128 1818264    0    0 20184 34431 223729 450988 29  9 59  2  0
22  0 702748 110131312 142144 1896176    0    0 111024 119980 218900 443944 28 10 60  3  0
14  3 702748 110032640 142180 1963732    0    0 162496 175077 217603 432438 27  9 61  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  1 702748 110005384 142188 1971768    0    0 121672 145939 219471 442490 28  9 60  3  0
18  1 702748 109921648 142464 2032644    0    0 152468 164465 222825 451362 29  9 61  2  0
11  1 702748 109853456 143272 2072192    0    0 234300 241871 211437 427634 28  9 62  1  0
20  1 702748 109798392 143276 2108432    0    0 59760 73348 223351 453948 29 10 60  1  0
18  4 702748 109942544 144260 1949844    0    0 50376 62369 220216 449768 28  9 58  4  0
21  3 702748 109970144 144284 1900100    0    0 70624 86951 222012 450710 29  9 58  5  0
