procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2  61896 121171344  24464 279288   26   56  1725  1517    2    0  7  2 84  7  0
11  7  61896 120561056  27428 291036    0    0 480684 24072 170068 305154 13  6 70 11  0
14  8  61896 120164616  29428 304224    0    0 357372 29660 207127 351876 18  6 67  9  0
 8  4  61896 119810800  31412 321924    0    0 330448 29036 229901 359957 19  6 66  9  0
11  6  61896 119475512  33396 337776    0    0 302660 29808 219458 371458 19  6 67  8  0
32  3  61896 119159792  35340 354704    0    0 293116 29660 210517 376351 18  6 68  8  0
15  5  61896 118855320  37248 370792    0    0 274712 29272 216705 383728 18  6 68  8  0
 8  9  61896 118564176  39052 386464    0    0 262680 28920 218114 382376 19  6 68  7  0
 7  5  61896 118301016  40992 401968    0    0 241740 28404 231513 391620 21  6 66  7  0
 9  3  61896 118046656  42940 417384    0    0 232624 28796 237692 402086 21  6 67  6  0
 4  5  61896 117788864  44948 441564    0    0 229216 29600 239949 415568 20  6 68  6  0
 3  1  61896 117546624  46948 456248    0    0 212076 29320 238679 417800 20  6 68  6  0
16  4  61896 117321984  48956 471488    0    0 195584 29056 243122 418843 20  6 68  6  0
15  5  61896 117127424  50932 486648    0    0 175852 93172 241208 388389 21  6 67  6  0
10  2  61896 116932928  52940 501316    0    0 174120 28880 251005 421168 21  6 67  6  0
 4  1  61896 116740016  54920 515396    0    0 161980 28020 231310 407935 20  6 69  5  0
18  2  61896 116568256  56928 529464    0    0 154592 27464 232302 405589 20  6 69  5  0
16  4  61896 116388464  58936 544296    0    0 150532 28660 253589 426939 21  6 68  5  0
10  5  61896 116217584  60908 558524    0    0 141728 28388 264743 435070 23  6 66  5  0
14  5  61896 116056248  62908 572640    0    0 134024 28100 255170 422766 22  6 68  4  0
15  4  61896 115901168  65208 588032    0    0 134304 28552 259354 439959 22  7 67  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  2  61896 115719696  67756 611764    0    0 135824 29148 262761 455528 24  6 66  5  0
23  5  61888 115579296  70776 625276   12    0 117068 29264 255675 440132 23  6 67  4  0
 4 10  61888 115257104  72976 638756    0    0 570356 24176 233971 391493 25  6 62  7  0
25  5  61888 115172336  74976 650600    0    0 1047604 19612 190438 354082 26  5 60  9  0
22  3  61888 115086608  77008 660356    0    0 1013452 19332 180362 348096 24  4 61 10  0
 3  9  61888 114993792  79288 669168    0    0 1053356 19948 182354 357953 25  5 62  9  0
16  3  61888 114912736  81032 678760    0    0 983848 83544 172462 337277 23  5 64  8  0
17  3  61888 114827744  83128 687660    0    0 999828 20020 205070 364136 27  5 60  8  0
13 13  61888 114744544  85216 697636    0    0 1048652 19720 195247 358945 27  5 59  9  0
23  1  61888 114661184  87496 707336    0    0 1025712 20772 186803 354287 25  5 62  8  0
20  2  61888 114581280  89764 716104    0    0 1050136 21332 179009 355564 25  5 62  8  0
 3  7  61888 114493464  91924 726976    0    0 1002604 22180 187629 370604 25  5 61  8  0
33  3  61888 114419888  94292 736180    0    0 979128 22120 206395 363067 28  5 60  7  0
 2  3  61888 114343776  96724 745892    0    0 1048512 22252 198545 373179 27  5 61  7  0
 3  9  61888 114267728  98852 756208    0    0 1071112 21770 193991 362851 25  5 62  8  0
40  0  61888 114191728 100620 766548    0    0 1054376 21684 186268 369778 25  5 62  8  0
19  2  61888 114117080 102836 775884    0    0 1036712 22544 195625 377492 26  5 62  8  0
 4  7  61888 114052544 105064 785144    0    0 1073688 22132 201227 365154 27  5 60  7  0
 8 11  61888 113980808 107252 794668    0    0 1011484 22288 203145 367842 27  5 61  7  0
18  2  61888 113907016 109100 804540    0    0 1102272 21236 192354 371714 25  5 62  8  0
19  7  61888 113848464 110792 814388    0    0 1079512 22388 188890 371038 25  5 63  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  2  61888 113784736 112012 824236    0    0 1171208 21884 193054 370023 25  4 63  7  0
22  0  61888 113907928 112104 833968    0    0 786380 24552 230358 401085 25  6 63  7  0
19  1  61888 113821648 112492 844840    0    0 66760 32832 323369 489443 25  7 65  3  0
17  1  61888 113738856 113088 858876    0    0 60004 96616 290843 444542 22  6 70  2  0
26  1  61888 113645248 113452 873820    0    0 63992 33596 323990 504516 24  6 67  3  0
20  0  61888 113561456 114028 888880    0    0 61188 34256 325798 514322 24  6 67  2  0
 8  2  61888 113477376 114416 903392    0    0 59440 33860 330748 514666 26  7 64  3  0
 3  1  61888 113390176 115288 917276    0    0 56284 32948 323082 452856 26  7 66  2  0
16  1  61888 113306928 115928 931728    0    0 55040 34060 305900 474273 22  7 69  2  0
28  1  61888 113230816 116320 945540    0    0 53460 33840 317281 505266 23  7 67  2  0
16  1  61888 113152440 116956 960756    0    0 50340 34432 314064 505360 25  7 66  2  0
22  0  61888 113073200 117356 974684    0    0 48924 34476 318495 456364 25  6 66  2  0
21  1  61888 112999264 118212 988956    0    0 48452 34432 321509 490247 26  6 65  2  0
26  1  61888 112927456 118612 1001476    0    0 47080 35132 296216 475442 23  6 69  2  0
13  1  61888 112852448 119252 1016668    0    0 45872 34880 309051 483268 25  7 67  2  0
 7  1  61888 112781296 119660 1030704    0    0 45092 101264 325403 531650 24  7 67  2  0
21  2  61888 112717648 120332 1044260    0    0 42256 35104 307323 446675 26  7 66  2  0
17  0  61888 112650256 120704 1058840    0    0 43172 36596 333509 533026 27  7 64  2  0
13  1  61888 112593776 121708 1072504    0    0 38476 36460 283945 474355 23  7 68  2  0
23  0  61888 112522528 122884 1086344    0    0 39648 37980 315950 523108 24  7 68  2  0
11  1  61888 112461824 122928 1100172    0    0 38288 37660 295296 479757 23  7 68  2  0
