procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1  60232 121170112  23076 283468   20   44  1387  2168    2    2 12  4 79  5  0
 9  7  60232 120558224  28164 296532    0    0 469704 22764 158548 295173 13  5 71 12  0
12  6  60232 120175520  30112 308868    0    0 345996 28776 193384 339370 17  6 68  9  0
 8  5  60232 119824032  32080 326076    0    0 323808 29292 198066 353708 18  6 68  9  0
18  5  60232 119487808  33856 348812    0    0 307256 28484 216321 353316 20  6 66  8  0
 5  5  60232 119187792  35176 365540    0    0 275056 27644 212238 350464 20  6 66  8  0
14  7  60232 118888336  37168 380924    0    0 268032 28520 201407 366614 18  6 68  8  0
 9  5  60232 118614376  39176 396828    0    0 250888 28452 210715 363325 19  6 67  8  0
18  2  60232 118350448  41176 411656    0    0 237816 27996 205837 374182 18  6 69  7  0
25  0  60232 118102656  43176 427144    0    0 223744 28440 241115 387538 21  6 66  7  0
11  3  60232 117865648  45176 441968    0    0 213532 28060 239634 392197 21  6 66  7  0
 9  3  60232 117640880  47176 456112    0    0 203900 27684 226488 395358 18  6 69  6  0
15  4  60232 117419776  49152 470888    0    0 194228 28241 236335 402414 19  6 68  6  0
21  3  60232 117215816  51152 485092    0    0 182952 27427 227714 397873 19  6 69  6  0
19  3  60232 117030624  53152 498020    0    0 165684 92192 235163 383593 22  6 67  6  0
 6  4  60232 116834480  55140 512492    0    0 169284 27872 255826 409253 22  6 67  5  0
 1  3  60232 116649696  57388 526856    0    0 156716 27888 244914 414763 20  6 69  5  0
17  3  60232 116476384  59372 541636    0    0 152452 27953 246291 420657 20  6 69  5  0
16  1  60232 116306656  61364 555592    0    0 147512 28551 248171 423691 20  6 69  5  0
16  3  60232 116145080  63364 569552    0    0 136896 28008 261858 422226 22  6 67  4  0
15  1  60232 115977840  65364 584452    0    0 135500 28756 283050 447284 23  6 66  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  3  60232 115826616  67364 598560    0    0 125692 28484 264029 440895 21  6 68  4  0
15  3  60232 115680528  69376 612664    0    0 120964 27989 261101 434960 20  7 69  4  0
16  1  60232 115546608  71376 627648    0    0 115964 28255 275385 445576 21  6 68  4  0
30  3  60232 115404976  73376 641436    0    0 110072 28440 287816 451367 23  6 67  4  0
17  0  60232 115270696  75376 655216    0    0 108872 28252 291303 439353 24  6 66  4  0
20  0  60232 115140304  77384 669036    0    0 102480 93488 265973 431895 22  6 68  4  0
15  3  60232 115019248  79392 682760    0    0 97604 27881 262755 440444 22  6 68  3  0
12  1  60232 114900968  81392 697904    0    0 95756 28567 291974 458443 23  6 67  4  0
18  3  60232 114778792  83372 711888    0    0 90748 28426 308128 459227 24  6 66  3  0
17  1  60232 114662016  85388 726272    0    0 86212 30696 315170 463299 25  6 66  3  0
18  2  60232 114551008  87392 740788    0    0 80724 29952 292277 452174 22  6 68  3  0
24  3  60232 114439568  89420 754564    0    0 79956 30112 286267 450314 22  6 69  3  0
24  1  60232 114338688  91460 768308    0    0 78632 31360 289060 466752 22  7 68  3  0
17  3  60232 114240432  93476 781628    0    0 71176 30028 294544 452537 24  6 67  3  0
24  2  60232 114145688  95440 795760    0    0 69504 30016 293367 450422 24  6 66  3  0
19  3  60232 114051312  97620 809268    0    0 69596 31480 304550 478788 23  7 67  3  0
18  3  60232 113957584  99652 824248    0    0 65876 31221 284194 464032 23  6 68  3  0
 3  1  60232 113866552 101664 837740    0    0 60208 96087 274011 431878 22  6 70  3  0
 9  3  60232 113768912 103676 851964    0    0 64840 32624 320531 487733 25  7 65  3  0
 4  1  60232 113682408 105680 866244    0    0 60976 32720 327887 509039 26  7 65  3  0
