procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  62424 121177136  23108 273356   27   58  1661  1459    1    2  7  2 84  7  0
 5  6  62424 120572696  27012 282220    0    0 466056 22796 163652 290099 15  5 69 11  0
 8  5  62424 120200848  28920 294540    0    0 339448 28132 188032 323985 18  5 68  9  0
15  4  62424 119860144  30868 312056    0    0 313768 28456 186913 340249 17  6 69  9  0
25  7  62424 119542608  32792 327224    0    0 295140 27992 187058 337485 16  6 69  9  0
14  7  62424 119236848  34800 342724    0    0 277392 27596 197426 351467 17  6 69  8  0
15  4  62424 118946432  36780 357884    0    0 267732 28220 218516 362733 20  6 66  8  0
13  7  62424 118661520  38788 372912    0    0 256432 28308 221389 375085 21  6 66  7  0
 9  5  62424 118405320  40788 388616    0    0 236216 27896 216593 374034 19  6 68  7  0
13  4  62424 118152376  42788 403548    0    0 226724 28176 213615 380374 19  6 68  7  0
 2  1  62424 117920632  44780 418312    0    0 208260 27232 210714 372452 18  6 69  7  0
 4  6  62424 117692560  46788 432440    0    0 203380 27556 234897 392272 21  6 67  6  0
 5  6  62424 117483208  48796 446180    0    0 188096 27384 226661 389193 21  6 67  6  0
13  5  62424 117277616  50780 461232    0    0 184476 27864 223940 391255 19  5 69  7  0
 2  2  62424 117084928  52788 475460    0    0 163232 91808 203031 371540 18  5 71  6  0
13  8  62424 116900800  54788 488480    0    0 163912 27676 224039 397763 19  6 69  6  0
21  3  62424 116722144  56796 502668    0    0 153812 26852 239750 394534 21  6 68  5  0
15  3  62424 116548464  58804 516828    0    0 149000 27312 236275 402149 21  6 68  5  0
14  5  62424 116384272  60772 530564    0    0 142672 27448 237012 406817 20  6 69  5  0
15  3  62424 116219952  62772 545152    0    0 139468 27832 245507 419386 20  6 69  5  0
13  1  62424 116062928  64884 559528    0    0 130480 27504 238801 412122 20  6 70  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  3  62424 115886192  67364 582692    0    0 138144 28768 273980 445720 26  6 64  4  0
14  4  62424 115734208  70184 596916    0    0 120756 29584 266934 445799 24  6 65  4  0
 7  3  62424 115521840  72576 611740    0    0 288472 27472 239801 430551 21  6 68  4  0
21  0  62424 115382088  74592 624824    0    0 411920 25908 244109 432725 22  6 67  5  0
14  4  62424 115254688  76616 637544    0    0 355288 25792 242834 428543 22  6 67  5  0
 8  6  62424 115131328  78636 650164    0    0 362356 26580 269641 446469 25  6 65  4  0
19  0  62424 115022944  80660 663148    0    0 343180 91040 250596 421940 23  6 67  4  0
28  2  62424 114908064  82700 675920    0    0 336140 25988 242354 437683 23  6 67  4  0
15  4  62424 114784144  84684 688632    0    0 343972 26420 252881 448283 22  5 69  4  0
25  2  62424 114674896  86708 702360    0    0 329516 28400 256369 456265 23  6 67  4  0
10  1  62424 114568112  88904 714616    0    0 328792 28612 290144 453262 25  6 65  3  0
22  2  62424 114466320  90960 728520    0    0 333284 28156 267416 445750 24  6 66  4  0
18  1  62424 114359968  92964 742076    0    0 300220 29352 274456 465069 23  6 67  3  0
23  1  62424 114256480  95044 755320    0    0 338888 29730 269010 471995 24  6 66  4  0
17  1  62424 114162392  97100 768772    0    0 334736 28772 264682 458968 23  6 67  4  0
22  1  62424 114070096  99144 781652    0    0 312776 29148 289430 471682 26  6 65  3  0
