procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 445904 21874584 1400904 100390376   12   37  1175   353    0    0  1  1 97  1  0
 6  1 445904 21495136 1400912 100368592    0    0 309148 10988 411705 194229  8 11 74  7  0
11  7 445904 21261800 1400912 100368016    0    0 211332 14280 717618 277125 12  9 74  5  0
16  3 445904 20908088 1400912 100368064    0    0 338896 23232 503376 354068 15 11 63 11  0
 7  9 445904 20549128 1400912 100368096    0    0 352484 25136 266272 373150 16 10 62 12  0
16  6 445904 20235052 1400912 100368048    0    0 314612 24720 240508 351351 15 13 62 10  0
11  8 445904 19899772 1400920 100367968    0    0 318684 26488 258557 382332 16 11 62 11  0
12  8 445904 19593176 1400920 100368000    0    0 301936 26144 262455 398197 17 11 62 11  0
12  6 445904 19290216 1400920 100368040    0    0 291736 26792 277291 413975 17 10 62 10  0
11  6 445904 19004896 1400920 100368096    0    0 275196 26476 259009 409479 17 11 63 10  0
19 11 445904 18741900 1400920 100368128    0    0 258416 27080 266617 429185 17 10 63 10  0
11  7 445904 18471296 1400928 100368176    0    0 252596 28160 273073 448445 18 11 62  9  0
16  5 445904 18230960 1400928 100368208    0    0 239000 28596 284998 459821 19 10 62  9  0
18  5 445904 17988828 1400928 100368272    0    0 226280 28476 286891 465118 19 10 63  9  0
15  4 445904 17772952 1400928 100368288    0    0 207924 29036 297111 478859 19 10 62  8  0
 2 15 445904 17555372 1400928 100368320    0    0 203296 28588 302779 494417 20 10 62  8  0
13  6 445904 17356340 1400936 100368352    0    0 190644 29364 310952 497675 20 10 63  8  0
13  5 445904 17163812 1400936 100368400    0    0 181616 29952 321856 519369 21  9 62  8  0
16  5 445904 16976948 1400936 100368432    0    0 172960 30548 330736 535532 21 10 62  7  0
13  5 445904 16803240 1400956 100368464    0    0 162364 30036 329557 542829 21 10 62  7  0
16  4 445904 16630000 1400960 100368544    0    0 155464 30832 339902 557735 22  9 62  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  9 445904 16447884 1400976 100380000    0    0 145648 92228 343949 556507 24 10 60  6  0
18  3 445904 16299920 1400976 100261704    0    0 241572 70836 330323 540326 22 11 60  7  0
24  3 445904 16367512 1400992 100008608    0    0 436552 233160 324769 550241 24  9 59  8  0
12  7 445904 16555020 1400996 99687216    0    0 452904 186344 354929 584512 25  9 58  8  0
18  2 445904 16689904 1401000 99434944    0    0 368664 211468 362329 593905 24 10 59  7  0
19  3 445904 16725340 1401020 99248816    0    0 265672 177291 396472 615163 25 10 58  7  0
23  1 445904 16857260 1401024 99000736    0    0 351180 186471 387236 627429 26  9 59  7  0
12  6 445904 16981592 1401032 98741936    0    0 353228 213764 392238 634094 27  9 58  6  0
15  4 445904 17199076 1401036 98424504    0    0 432972 236356 438201 611751 26  9 59  6  0
17  5 445904 17338996 1401040 98221904    0    0 250896 151516 526257 581647 25  9 61  5  0
18  3 445904 17402916 1401064 98039472    0    0 253736 180448 493015 616556 26  9 59  6  0
20  0 445904 17620208 1401068 97718904    0    0 382504 207264 422159 604113 26  9 59  6  0
30  0 445904 17795288 1401072 97470344    0    0 359896 227184 404089 637105 27  9 58  5  0
17  3 445904 17965680 1401080 97235248    0    0 297352 185208 412448 649251 26  9 59  5  0
15  3 445904 18205536 1401088 96905752    0    0 364368 208260 396868 633867 27  9 59  6  0
21  3 445904 18240220 1401108 96766832    0    0 162268 147704 430792 685086 27  9 59  6  0
23  2 445904 18406328 1401112 96540800    0    0 337928 215312 403873 635369 27  9 60  5  0
20  1 445904 18609968 1401120 96256984    0    0 356748 216908 406086 656085 28  9 58  5  0
17  1 445904 18825924 1401124 95962728    0    0 322024 252020 393558 625987 26  9 60  5  0
26  2 445904 18947456 1401128 95782920    0    0 241544 197692 443098 688877 28 10 58  4  0
22  3 445904 19051464 1401148 95609360    0    0 199016 109500 441741 681754 27  9 58  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  1 445904 19233544 1401152 95339088    0    0 347488 215204 432063 681564 28 10 58  4  0
18  1 445904 19339396 1401156 95173424    0    0 225448 147812 453242 701462 28 10 58  4  0
18  2 445904 19496748 1401160 94951344    0    0 232420 199156 449041 699845 27 10 59  4  0
16  2 445904 19671148 1401164 94705256    0    0 323048 224584 442964 694425 29 10 58  4  0
 8  6 445904 19842368 1401184 94482880    0    0 137640 71340 456788 692507 28  8 59  5  0
15  4 445904 19964176 1401192 94276896    0    0 317216 266024 485945 660965 28 10 59  3  0
25  2 445904 20162544 1401200 94014312    0    0 325788 206776 483952 658866 28  9 59  4  0
20  1 445904 20377892 1401204 93740496    0    0 314716 190180 468536 693679 29  9 58  4  0
22  0 445904 20606812 1401208 93487360    0    0 265088 188288 456399 703492 28  9 59  3  0
22  2 445904 20707088 1401228 93354384    0    0 81076 77892 472844 715845 28  9 58  5  0
20  7 445904 20901600 1401232 93090600    0    0 342056 208036 427669 674584 28  9 59  4  0
19  1 445904 21082516 1401236 92864992    0    0 302212 228344 447483 707323 30  9 58  3  0
18  1 445904 21316148 1401240 92602288    0    0 290340 189720 441882 696958 27 10 59  4  0
20  1 445904 21471596 1401244 92373968    0    0 230056 139708 462291 716395 28 10 59  3  0
23  2 445904 21580060 1401264 92215488    0    0 207572 148887 463175 719316 29 10 57  5  0
 2  9 445904 21771296 1401268 91981296    0    0 299224 190939 446930 715041 29  9 58  4  0
