procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  59280 121170752  24192 293056   17   37  1257  2537    0    1 14  5 77  5  0
 5 11  59280 120541824  28692 301572    0    0 482204 23244 163277 305036 14  5 70 11  0
 4  5  59280 120150496  30660 314164    0    0 355000 29736 201535 353840 17  6 68  9  0
17  8  59280 119796944  32624 332320    0    0 327044 29760 204323 356133 17  6 69  8  0
15  7  59280 119466024  34612 349448    0    0 302660 28980 218120 360155 20  6 66  8  0
 5  4  59280 119152656  36612 365060    0    0 289760 29624 217293 368170 20  6 66  7  0
19  2  59280 118843480  38628 380924    0    0 272876 29460 221312 380223 18  6 69  7  0
 7  7  59280 118567032  40600 397192    0    0 255444 28580 212963 388904 18  6 69  7  0
13  5  59280 118306208  42508 412792    0    0 237676 28660 213762 387851 19  6 68  7  0
 8  5  59280 118046408  44440 428484    0    0 233268 28948 242454 397644 21  6 66  6  0
19  2  59280 117811248  46400 443532    0    0 217380 28236 234938 396778 21  6 67  6  0
 7  7  59280 117578176  48368 458228    0    0 204588 28916 233008 401036 20  6 68  6  0
11  5  59280 117349856  50276 473408    0    0 197832 29320 240517 415212 20  7 68  5  0
 8  2  59280 117152336  52188 489064    0    0 180520 93696 233505 408944 19  6 69  5  0
30  4  59280 116944400  54000 503592    0    0 181428 29156 262910 433671 22  7 65  6  0
10 10  59280 116747648  56008 518824    0    0 170268 29420 270976 433374 22  6 67  5  0
 7  6  59280 116559000  58016 533604    0    0 163604 29576 261490 445337 21  6 67  5  0
16  1  59280 116379136  60008 548396    0    0 153096 28992 260851 434354 21  6 69  5  0
 2  1  59280 116204272  62000 563640    0    0 144272 28756 257733 432581 21  6 69  4  0
 3  2  59280 116041200  64000 578128    0    0 136676 28728 287179 435467 23  7 66  4  0
 1  1  59280 115885888  65968 593840    0    0 130132 28865 270509 437350 23  6 66  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  8  59280 115704736  68440 617588    0    0 140676 30223 267095 465222 25  7 64  4  0
13  4  59280 115537584  71048 632964    0    0 125104 29852 282107 473021 26  7 64  4  0
30  2  59280 115392960  73040 647524    0    0 382772 26628 245475 446136 22  6 68  5  0
15  3  59280 115266224  75056 660720    0    0 345732 27016 278121 451826 25  6 64  5  0
16  0  59280 115141952  77120 674164    0    0 363860 26805 271081 452355 24  7 64  5  0
 8  4  59280 115028224  79156 686872    0    0 348972 91919 247802 435487 22  6 67  4  0
25  2  59280 114905688  81132 700388    0    0 348488 26816 260934 450456 23  6 67  4  0
12  4  59280 114795512  83152 714220    0    0 352080 26496 262177 448552 24  6 66  4  0
19  4  59280 114688896  85208 727388    0    0 329472 26872 290534 459865 26  7 64  4  0
 6  4  59280 114574384  87248 741704    0    0 344728 28337 282530 444161 25  7 65  3  0
34  2  59280 114480216  89292 754500    0    0 332528 28835 276951 472707 23  7 66  4  0
 1  4  59280 114365008  91332 767540    0    0 361832 29496 273493 470574 23  6 66  4  0
26  1  59280 114270624  93368 781884    0    0 339500 29876 274960 472396 24  6 66  3  0
22  0  59280 114168736  95400 795828    0    0 325960 29408 302621 476529 26  6 64  3  0
 4  0  59280 114070576  97432 808984    0    0 324580 30409 293001 474417 26  7 64  3  0
15  5  59280 113974464  99520 822192    0    0 332228 30575 296789 490242 26  6 65  3  0
21  0  59280 113883440 101576 836604    0    0 310732 30244 285254 486466 24  7 66  3  0
17  1  59280 113789392 103616 850344    0    0 325672 95552 270025 466666 23  7 67  3  0
 2  4  59280 113715216 105648 862540    0    0 326348 30332 301548 481103 27  7 63  3  0
 9  2  59280 113621296 107684 876796    0    0 323800 30737 294308 475639 26  6 65  3  0
 4  1  59280 113553048 109716 889448    0    0 331392 30715 287878 490567 25  7 65  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  59280 113460624 111744 903100    0    0 313660 31216 292547 499809 24  7 66  3  0
 5  2  59280 113373440 113200 916980    0    0 330160 30852 286606 476835 24  6 67  3  0
14  1  59280 113301032 113572 930636    0    0 308140 32292 311547 511666 28  7 62  3  0
24  0  59280 113231224 114592 944164    0    0 295608 31977 304627 505144 27  6 64  3  0
10  1  59280 113153408 115256 957908    0    0 306344 32215 296794 509568 26  7 64  3  0
20  2  59280 113080224 115628 971364    0    0 314620 32164 298593 508616 26  6 65  3  0
22  1  59280 113013600 116640 984052    0    0 301336 33216 300954 517731 26  7 64  3  0
22  1  59280 112947144 117288 998008    0    0 308820 32468 317249 508899 28  7 63  3  0
19  1  59280 112873504 117676 1011084    0    0 299824 33081 305964 522653 28  7 62  3  0
17  1  59280 112805472 118700 1024052    0    0 339188 33351 284483 498876 25  7 65  3  0
20  2  59280 112744544 119696 1036672    0    0 297324 98876 291541 503884 25  7 65  3  0
23  1  59280 112680112 120364 1049876    0    0 297872 34144 290257 531994 25  7 65  3  0
12  1  59280 112615952 120688 1063464    0    0 287012 34416 324739 532672 27  7 63  3  0
 3  2  59280 112548480 121688 1075992    0    0 304180 33937 297164 518830 27  7 64  3  0
24  2  59280 112494736 122604 1088584    0    0 293852 35403 303854 553600 27  8 63  3  0
22  0  59280 112429632 123628 1101788    0    0 293928 35740 293173 515409 26  7 65  3  0
20  1  59280 112362904 124628 1115032    0    0 293100 36648 306158 556131 26  7 64  2  0
