procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 418912 2064644 2694572 118961040   12   36  1151   408    0    0  2  1 96  1  0
13  1 418912 2010580 2694208 118712072    0    0 271040  9248 359017 145686  6 21 66  6  0
15  2 418912 2278520 2690264 118272944    0    0 167400 11388 734915 187860  9 16 71  4  0
24  3 418912 2314332 2686952 118011448    0    0 222480 16032 391642 224143 11 19 63  6  0
18  4 418912 2228668 2684936 117853592    0    0 237936 17472 218451 235081 11 21 60  8  0
19  2 418912 2144532 2682920 117696840    0    0 233396 18000 217234 237325 11 22 60  8  0
19  3 418912 2052220 2681048 117551968    0    0 238832 19008 209141 257494 12 21 60  7  0
12  7 418912 1951484 2679324 117417880    0    0 231024 19040 214768 256063 12 21 60  7  0
15  3 418912 1857720 2677452 117274160    0    0 234820 19896 223362 280362 12 19 61  7  0
15  5 418912 1743300 2676012 117162624    0    0 221620 20120 230033 286235 13 19 61  7  0
18  2 418912 1645192 2674428 117041968    0    0 215568 20453 263276 290337 13 19 61  7  0
17  1 418912 1535252 2673132 116942464    0    0 208564 20439 232435 299596 13 19 62  7  0
15  1 418912 1422792 2671844 116843904    0    0 205316 21124 242590 309666 14 18 62  7  0
15  5 418912 1316808 2670548 116745520    0    0 204736 21832 251460 329824 14 17 62  7  0
15  8 418912 1212272 2669252 116647024    0    0 196052 21824 260315 338330 15 17 62  6  0
31  2 418912 1106072 2668088 116560144    0    0 189712 22428 254018 342308 15 17 63  6  0
14  4 418912 1014208 2666904 116472864    0    0 176848 21712 250901 335003 15 17 63  6  0
19  2 418912 903724 2665868 116397048    0    0 178420 22924 265582 366651 15 15 63  6  0
15  5 418912 842896 2664240 116278200    0    0 176272 23680 277133 381108 15 16 63  6  0
14  4 418912 759148 2663056 116191552    0    0 162816 23452 339979 388937 17 15 63  5  0
16  4 418912 689940 2661724 116094816    0    0 160944 24028 346612 404213 17 15 63  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0 418912 603036 2659504 116007472    0    0 152760 24680 344971 432879 20 14 61  5  0
16  3 418912 695456 2657880 115757072    0    0 370996 22756 313039 416933 19 14 61  6  0
19  2 418912 828904 2655068 115484688    0    0 368524 23498 318870 419847 19 14 61  6  0
