procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 9551120 518216  83728 908868    7   23  1355   753    1    1  2  1 96  1  0
 0  2 9549996 360344 115596 945052 1264    0 120792 73997 29872 34856  2  1 97  1  0
 0  1 9549228 343864 114696 955928  816    0 103676 66240 24713 18660  1  0 98  1  0
 0  2 9547632 328284 105088 921456 1608    0 245856 87890 98141 302213 11  4 83  2  0
 5  2 9545784 325300 106072 911824 1924    0 327720 120950 135306 323783 13  4 79  3  0
 1  1 9544168 331204  96224 911996 1660    0 180068 107294 62211 127821  6  2 90  2  0
 1  2 9543136 334612  86692 918120 1076    0 47560 68181 13834 7717  2  0 97  0  0
 1  1 9542452 329720  86068 919680  716    0 19260 36653 9613 5402  2  0 97  0  0
 1  1 9541584 340092  76144 916460  928    0 26816 55848 14641 6776  2  0 97  1  0
 2  9 9540048 331144  81580 909488 1536    0 321160 59126 132551 453308 21  7 68  4  0
 3  1 9539104 338376  81892 900288  960    0 338104 118684 146581 318417 12  4 81  3  0
 0  1 9537556 331180  68956 911500 1680    0 374760 87585 140123 408553 20  7 70  3  0
 0  1 9536484 330632  75520 901144 1188    0 351592 104441 133305 330898 13  5 80  3  0
 8  1 9535388 326604  74700 896980 1144    0 372848 87950 139909 399432 18  6 73  3  0
 8  1 9533968 325236  70460 898556 1536    0 346656 117894 126436 275192 10  4 83  3  0
 0  4 9532488 334280  60064 891260 1536    0 379620 106213 142280 387472 16  5 75  4  0
 2  2 9531284 332740  53256 892708 1292    0 372996 115018 149520 366217 12  4 80  3  0
 0  2 9529876 325212  59744 886852 1520    0 386172 97999 142458 336438 14  5 77  4  0
 1  1 9528724 335856  43220 884432 1200    0 398204 87787 144982 352128 14  6 77  3  0
14  6 9527660 334720  45096 884152 1080    0 407808 88906 153414 368178 15  5 77  3  0
 0  1 9526652 325740  50524 884892 1024    0 409636 83297 148619 331804 14  5 78  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  1 9525624 326112  40780 892744 1088    0 420528 85939 157220 373142 14  5 78  3  0
 4  2 9524344 330484  45164 880492 1300    0 424944 86710 150402 342228 15  5 77  3  0
 0  1 9523164 330168  40640 881932 1188    0 377360 105208 159543 345247 13  4 80  3  0
37 11 9522024 330784  37352 881016 1152    0 415024 91266 147120 340961 13  5 79  3  0
 0  2 9521120 328428  35164 884224  948    0 403176 90624 143105 303311 12  5 80  3  0
 2  1 9519948 332628  21680 890912 1220    0 428432 78580 160543 382062 15  6 75  3  0
 6  3 9518896 333668  25828 885056 1132    0 412828 87955 150470 302739 11  4 82  3  0
 2  1 9518020 326800  37640 881324  848    0 419396 78009 154024 362152 14  5 77  3  0
 3  1 9516832 330932  32332 878252 1292    0 433732 84032 167440 331630 13  5 79  3  0
 0  1 9515720 334404  29156 876212 1092    0 391968 98109 157546 318503 10  4 82  3  0
52  7 9514596 330940  34100 886928 1204    0 396304 84893 145299 333062 13  5 79  3  0
 7  1 9513632 323416  44724 877632 1060    0 369320 92538 134015 284173 10  4 84  2  0
23  0 9512448 333572  22232 877572 1292    0 402240 82908 157854 367526 12  4 81  3  0
 6  4 9511576 326308  24396 881600  928    0 403960 84444 144907 261030  9  4 84  4  0
 1  0 9510700 332728  17236 877640  864    0 403320 74697 135301 250041  8  3 86  3  0
48  0 9509756 327560  13364 881764 1052    0 463400 70417 161061 277338  8  4 85  3  0
 0  1 9533520 329532  55864 898112  936 24600 384856 101872 200992 264572  9  5 81  5  0
 0  1 9532040 333452  59216 884280 1608    0 375824 86219 147998 356504 13  5 78  4  0
 1  0 9530580 337472  58196 883696 1600    0 375012 87770 140691 334188 14  5 78  3  0
 3  1 9529276 331136  58532 883416 1404    0 394732 81876 152824 374724 16  6 76  3  0
 0  1 9528000 335628  47048 889052 1376    0 396160 85483 146780 367657 14  5 78  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
30  4 9526564 328592  56176 884172 1576    0 384528 75764 149497 344968 13  5 78  3  0
 4  1 9525412 337180  48216 880652 1188    0 376272 94755 146706 309424 12  5 81  3  0
 0  3 9524128 335020  50472 878980 1416    0 412152 85215 157455 387145 16  6 75  3  0
 1  2 9523244 335616  47468 878636  944    0 369988 91270 159438 386148 14  5 78  3  0
40  0 9522080 342956  32004 883476 1280    0 379988 74746 139237 383251 14  5 79  2  0
10  0 9520948 323724  47740 884928 1220    0 395724 74936 146692 370310 15  5 77  2  0
 5  3 9519876 336740  33576 882284 1200    0 396132 75722 156449 344109 14  5 78  3  0
 0  3 9518988 337404  35136 881256  876    0 383548 84360 158570 360756 11  5 81  2  0
13  1 9517856 325372  47696 880484 1236    0 404244 73876 168844 384247 14  6 77  3  0
 3  1 9516932 331588  31660 885776  940    0 387620 84267 190051 329039 11  5 81  3  0
 1  1 9516324 331696  41704 875280  692    0 250600 65502 109008 135380  5  2 91  2  0
 1  1 9515984 324580  42472 878472  352    0 141932 53272 53026 12209  2  1 96  1  0
 1  1 9515788 327864  33328 881980  184    0 109660 37250 37131 10162  2  1 96  1  0
