sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 1, tps: 174.31, reads: 522.92, writes: 0.00, response time: 2.47ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 499.89, reads: 1499.68, writes: 0.00, response time: 2.20ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 494.51, reads: 1483.52, writes: 0.00, response time: 2.27ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1, tps: 478.90, reads: 1436.69, writes: 0.00, response time: 2.37ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 478.70, reads: 1436.11, writes: 0.00, response time: 2.38ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 478.69, reads: 1436.08, writes: 0.00, response time: 2.38ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1, tps: 481.20, reads: 1443.61, writes: 0.00, response time: 2.36ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1, tps: 479.39, reads: 1438.18, writes: 0.00, response time: 2.37ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1, tps: 480.70, reads: 1442.11, writes: 0.00, response time: 2.37ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1, tps: 479.70, reads: 1439.09, writes: 0.00, response time: 2.37ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1, tps: 481.30, reads: 1443.91, writes: 0.00, response time: 2.37ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1, tps: 481.70, reads: 1445.09, writes: 0.00, response time: 2.36ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1, tps: 481.00, reads: 1443.21, writes: 0.00, response time: 2.36ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1, tps: 484.20, reads: 1452.49, writes: 0.00, response time: 2.35ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 1, tps: 511.60, reads: 1534.91, writes: 0.00, response time: 2.24ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 1, tps: 526.60, reads: 1579.79, writes: 0.00, response time: 2.19ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 1, tps: 523.20, reads: 1569.41, writes: 0.00, response time: 2.21ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 1, tps: 525.19, reads: 1575.58, writes: 0.00, response time: 2.21ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 1, tps: 492.31, reads: 1477.12, writes: 0.00, response time: 2.32ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 1, tps: 485.20, reads: 1455.39, writes: 0.00, response time: 2.34ms (95%), errors: 0.00, reconnects:  0.00
