sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 16, tps: 78.60, reads: 240.60, writes: 239.00, response time: 960.66ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 104.10, reads: 312.30, writes: 312.30, response time: 938.77ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 151.30, reads: 452.80, writes: 453.10, response time: 829.10ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 34.80, reads: 105.50, writes: 105.20, response time: 1581.33ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 79.70, reads: 239.10, writes: 239.10, response time: 30.63ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 43.60, reads: 130.80, writes: 130.80, response time: 3168.73ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 2947.92, reads: 8840.15, writes: 8840.75, response time: 11.46ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 4172.10, reads: 12515.70, writes: 12516.30, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 4425.30, reads: 13277.40, writes: 13276.60, response time: 4.47ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 4678.90, reads: 14035.60, writes: 14036.10, response time: 3.48ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 4835.00, reads: 14505.80, writes: 14505.80, response time: 3.44ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 5030.50, reads: 15090.60, writes: 15090.80, response time: 3.43ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 5089.80, reads: 15269.10, writes: 15269.20, response time: 3.42ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 5166.90, reads: 15501.50, writes: 15500.80, response time: 3.41ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 5061.40, reads: 15184.10, writes: 15184.40, response time: 3.50ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 4936.30, reads: 14808.59, writes: 14808.99, response time: 3.92ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 5058.00, reads: 15174.10, writes: 15173.70, response time: 3.56ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 5050.30, reads: 15150.90, writes: 15151.10, response time: 3.48ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 5091.10, reads: 15273.90, writes: 15273.20, response time: 3.47ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 5107.50, reads: 15323.00, writes: 15323.30, response time: 3.48ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 5136.00, reads: 15407.20, writes: 15407.40, response time: 3.46ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 5159.60, reads: 15479.70, writes: 15479.10, response time: 3.44ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 5200.40, reads: 15599.99, writes: 15600.49, response time: 3.44ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 5169.60, reads: 15508.91, writes: 15509.11, response time: 3.41ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 5150.60, reads: 15452.30, writes: 15452.30, response time: 3.48ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 16, tps: 4994.40, reads: 14982.50, writes: 14982.50, response time: 3.63ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 16, tps: 5021.30, reads: 15063.50, writes: 15063.80, response time: 3.66ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 16, tps: 5140.20, reads: 15421.70, writes: 15421.10, response time: 3.49ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 16, tps: 5124.80, reads: 15373.30, writes: 15373.80, response time: 3.49ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 16, tps: 5103.70, reads: 15312.50, writes: 15311.60, response time: 3.50ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 16, tps: 5074.20, reads: 15221.80, writes: 15222.40, response time: 3.48ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 16, tps: 5172.50, reads: 15518.20, writes: 15517.70, response time: 3.46ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 16, tps: 5196.90, reads: 15589.80, writes: 15590.50, response time: 3.45ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 16, tps: 5158.10, reads: 15475.20, writes: 15474.70, response time: 3.45ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 16, tps: 5089.50, reads: 15268.60, writes: 15268.50, response time: 3.56ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 16, tps: 4937.70, reads: 14812.90, writes: 14813.30, response time: 3.76ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 16, tps: 5061.20, reads: 15183.20, writes: 15182.80, response time: 3.60ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 16, tps: 5112.00, reads: 15335.60, writes: 15336.00, response time: 3.50ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 16, tps: 5081.30, reads: 15244.80, writes: 15244.40, response time: 3.50ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 16, tps: 5130.20, reads: 15390.20, writes: 15390.00, response time: 3.51ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 16, tps: 5210.10, reads: 15630.50, writes: 15631.00, response time: 3.48ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 16, tps: 5153.00, reads: 15458.60, writes: 15458.60, response time: 3.48ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 16, tps: 5133.60, reads: 15401.90, writes: 15401.40, response time: 3.48ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 16, tps: 5090.40, reads: 15270.70, writes: 15270.90, response time: 3.57ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 16, tps: 4906.90, reads: 14720.20, writes: 14720.60, response time: 3.93ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 16, tps: 5069.80, reads: 15209.39, writes: 15209.29, response time: 3.65ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 16, tps: 5198.20, reads: 15594.10, writes: 15594.60, response time: 3.52ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 16, tps: 5146.70, reads: 15440.41, writes: 15439.81, response time: 3.51ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 16, tps: 5120.30, reads: 15361.60, writes: 15361.50, response time: 3.52ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 16, tps: 5195.50, reads: 15585.40, writes: 15586.10, response time: 3.50ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 16, tps: 5185.90, reads: 15559.80, writes: 15558.60, response time: 3.48ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 16, tps: 5129.00, reads: 15385.40, writes: 15386.30, response time: 3.53ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 16, tps: 5022.50, reads: 15067.30, writes: 15067.10, response time: 3.72ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 16, tps: 4988.10, reads: 14964.00, writes: 14964.20, response time: 3.89ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 16, tps: 5058.60, reads: 15176.10, writes: 15175.70, response time: 3.67ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 16, tps: 5140.30, reads: 15421.10, writes: 15421.50, response time: 3.55ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 16, tps: 5122.50, reads: 15367.20, writes: 15367.20, response time: 3.56ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 16, tps: 5164.70, reads: 15493.90, writes: 15494.00, response time: 3.54ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 16, tps: 5077.00, reads: 15232.20, writes: 15231.60, response time: 3.55ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 16, tps: 5131.40, reads: 15393.30, writes: 15393.80, response time: 3.56ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 16, tps: 4916.40, reads: 14750.01, writes: 14750.01, response time: 4.26ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 16, tps: 5042.20, reads: 15126.60, writes: 15126.30, response time: 3.77ms (95%), errors: 0.00, reconnects:  0.00
