sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 32
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 32, tps: 11978.43, reads: 35936.10, writes: 0.00, response time: 2.99ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 32, tps: 12085.24, reads: 36256.13, writes: 0.00, response time: 2.94ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 32, tps: 12056.78, reads: 36170.03, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 32, tps: 12095.93, reads: 36287.49, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 32, tps: 12089.19, reads: 36268.16, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 32, tps: 12099.81, reads: 36298.54, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 32, tps: 12081.30, reads: 36243.90, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 32, tps: 12097.40, reads: 36293.11, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 32, tps: 12096.30, reads: 36288.10, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 32, tps: 12091.59, reads: 36275.38, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 32, tps: 12089.60, reads: 36268.81, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 32, tps: 12094.80, reads: 36284.30, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 32, tps: 12086.20, reads: 36258.31, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 32, tps: 12099.20, reads: 36297.90, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 32, tps: 12095.09, reads: 36285.27, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 32, tps: 12093.30, reads: 36279.49, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 32, tps: 12074.41, reads: 36223.83, writes: 0.00, response time: 2.94ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 32, tps: 12100.70, reads: 36301.81, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 32, tps: 12092.40, reads: 36277.30, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 32, tps: 12094.30, reads: 36283.41, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 32, tps: 12096.70, reads: 36289.39, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 32, tps: 12099.50, reads: 36298.01, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 32, tps: 12097.00, reads: 36291.40, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 32, tps: 12100.29, reads: 36300.68, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 32, tps: 12100.11, reads: 36300.92, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 32, tps: 12093.70, reads: 36280.70, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 32, tps: 12086.30, reads: 36259.09, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 32, tps: 12091.50, reads: 36274.41, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 32, tps: 12078.90, reads: 36237.20, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 32, tps: 12092.40, reads: 36277.10, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 32, tps: 12086.50, reads: 36259.20, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 32, tps: 12090.40, reads: 36270.90, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 32, tps: 12082.68, reads: 36248.23, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 32, tps: 12082.22, reads: 36246.66, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 32, tps: 12075.60, reads: 36227.11, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 32, tps: 12084.10, reads: 36252.40, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 32, tps: 12078.90, reads: 36236.70, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 32, tps: 12091.30, reads: 36273.19, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 32, tps: 12083.48, reads: 36250.74, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 32, tps: 12086.22, reads: 36258.45, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 32, tps: 12072.41, reads: 36217.22, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 32, tps: 12083.00, reads: 36249.49, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 32, tps: 12073.50, reads: 36220.10, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 32, tps: 12082.80, reads: 36248.39, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 32, tps: 12082.20, reads: 36246.79, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 32, tps: 12085.10, reads: 36255.11, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 32, tps: 12083.20, reads: 36249.60, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 32, tps: 12077.08, reads: 36232.14, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 32, tps: 12077.02, reads: 36231.05, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 32, tps: 12081.50, reads: 36243.49, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 32, tps: 12077.30, reads: 36232.01, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 32, tps: 12078.30, reads: 36234.39, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 32, tps: 12079.60, reads: 36238.90, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 32, tps: 12086.40, reads: 36259.20, writes: 0.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 32, tps: 12085.80, reads: 36257.50, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 32, tps: 12075.19, reads: 36226.27, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 32, tps: 12090.41, reads: 36271.03, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 32, tps: 12083.60, reads: 36251.60, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 32, tps: 12050.50, reads: 36150.40, writes: 0.00, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
