sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 4
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 4, tps: 0.30, reads: 2.10, writes: 1.70, response time: 33.88ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 4, tps: 2.70, reads: 8.10, writes: 8.10, response time: 18575.17ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 4, tps: 0.20, reads: 0.60, writes: 0.60, response time: 1082.21ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 4, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 4, tps: 5.20, reads: 15.60, writes: 15.60, response time: 19621.08ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 4, tps: 276.50, reads: 828.60, writes: 828.90, response time: 31.54ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 4, tps: 958.99, reads: 2876.98, writes: 2876.98, response time: 13.79ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 4, tps: 1122.51, reads: 3367.92, writes: 3367.62, response time: 7.16ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 4, tps: 1265.80, reads: 3797.29, writes: 3797.29, response time: 3.30ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 4, tps: 1411.61, reads: 4234.32, writes: 4234.62, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 4, tps: 1418.79, reads: 4256.58, writes: 4256.58, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 4, tps: 1398.61, reads: 4196.12, writes: 4195.92, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 4, tps: 1417.09, reads: 4250.97, writes: 4251.07, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 4, tps: 1456.61, reads: 4370.03, writes: 4369.93, response time: 2.95ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 4, tps: 1460.90, reads: 4382.69, writes: 4382.69, response time: 2.97ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 4, tps: 1478.60, reads: 4435.61, writes: 4435.71, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 4, tps: 1426.49, reads: 4279.68, writes: 4279.38, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 4, tps: 1445.51, reads: 4336.82, writes: 4336.92, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 4, tps: 1450.70, reads: 4351.89, writes: 4351.79, response time: 2.95ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 4, tps: 1446.90, reads: 4340.51, writes: 4340.61, response time: 2.96ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 4, tps: 1463.59, reads: 4390.68, writes: 4390.98, response time: 2.97ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 4, tps: 1463.81, reads: 4391.42, writes: 4391.32, response time: 3.02ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 4, tps: 1467.79, reads: 4403.28, writes: 4403.28, response time: 3.02ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 4, tps: 1445.70, reads: 4336.91, writes: 4337.11, response time: 3.07ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 4, tps: 1487.30, reads: 4462.19, writes: 4462.09, response time: 2.95ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 4, tps: 1440.10, reads: 4320.41, writes: 4320.21, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 4, tps: 1458.20, reads: 4374.49, writes: 4374.69, response time: 2.97ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 4, tps: 1448.70, reads: 4345.81, writes: 4345.91, response time: 3.03ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 4, tps: 1440.89, reads: 4323.18, writes: 4322.78, response time: 3.12ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 4, tps: 1470.71, reads: 4412.72, writes: 4412.22, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 4, tps: 1474.20, reads: 4421.79, writes: 4422.49, response time: 2.97ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 4, tps: 1489.40, reads: 4468.01, writes: 4468.11, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 4, tps: 1437.30, reads: 4312.09, writes: 4311.99, response time: 3.06ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 4, tps: 1448.50, reads: 4345.21, writes: 4345.41, response time: 3.06ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 4, tps: 1462.80, reads: 4388.69, writes: 4388.49, response time: 3.03ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 4, tps: 1488.10, reads: 4464.61, writes: 4464.21, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 4, tps: 1479.10, reads: 4436.69, writes: 4437.29, response time: 2.99ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 4, tps: 1484.20, reads: 4452.91, writes: 4452.71, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 4, tps: 1459.19, reads: 4377.58, writes: 4377.68, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 4, tps: 1459.11, reads: 4377.43, writes: 4377.13, response time: 3.05ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 4, tps: 1437.40, reads: 4312.10, writes: 4312.20, response time: 3.08ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 4, tps: 1506.40, reads: 4519.30, writes: 4519.40, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 4, tps: 1478.00, reads: 4434.20, writes: 4434.00, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 4, tps: 1494.00, reads: 4481.80, writes: 4482.00, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 4, tps: 1488.50, reads: 4465.20, writes: 4465.30, response time: 2.97ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 4, tps: 1469.50, reads: 4409.00, writes: 4408.70, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 4, tps: 1477.49, reads: 4432.48, writes: 4432.28, response time: 2.99ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 4, tps: 1489.61, reads: 4468.42, writes: 4468.82, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 4, tps: 1484.99, reads: 4454.98, writes: 4454.98, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 4, tps: 1468.41, reads: 4405.32, writes: 4405.42, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 4, tps: 1490.39, reads: 4471.78, writes: 4471.38, response time: 2.94ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 4, tps: 1494.80, reads: 4483.51, writes: 4484.01, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 4, tps: 1465.20, reads: 4396.11, writes: 4395.61, response time: 3.04ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 4, tps: 1472.60, reads: 4417.60, writes: 4417.90, response time: 3.01ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 4, tps: 1455.39, reads: 4365.98, writes: 4366.08, response time: 3.01ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 4, tps: 1479.61, reads: 4439.02, writes: 4439.02, response time: 2.99ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 4, tps: 1467.59, reads: 4402.78, writes: 4402.68, response time: 2.96ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 4, tps: 1477.50, reads: 4433.41, writes: 4433.21, response time: 2.99ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 4, tps: 1472.09, reads: 4415.68, writes: 4415.78, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 4, tps: 1478.50, reads: 4435.19, writes: 4435.19, response time: 3.01ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 4, tps: 1440.91, reads: 4322.73, writes: 4322.93, response time: 3.05ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 4, tps: 1497.00, reads: 4490.80, writes: 4490.80, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 4, tps: 1505.70, reads: 4517.30, writes: 4517.30, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 4, tps: 1508.00, reads: 4524.09, writes: 4523.99, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 4, tps: 1492.01, reads: 4476.22, writes: 4476.02, response time: 2.95ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 4, tps: 1499.40, reads: 4498.49, writes: 4498.19, response time: 2.95ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 4, tps: 1486.70, reads: 4459.20, writes: 4459.90, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 4, tps: 1465.60, reads: 4396.80, writes: 4396.80, response time: 3.03ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 4, tps: 1432.50, reads: 4297.99, writes: 4297.69, response time: 3.11ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 4, tps: 1459.20, reads: 4377.41, writes: 4377.51, response time: 2.95ms (95%), errors: 0.00, reconnects:  0.00
[ 710s] threads: 4, tps: 1422.50, reads: 4267.20, writes: 4267.40, response time: 3.08ms (95%), errors: 0.00, reconnects:  0.00
[ 720s] threads: 4, tps: 1455.00, reads: 4365.30, writes: 4365.20, response time: 3.07ms (95%), errors: 0.00, reconnects:  0.00
[ 730s] threads: 4, tps: 1450.40, reads: 4351.70, writes: 4351.20, response time: 3.11ms (95%), errors: 0.00, reconnects:  0.00
[ 740s] threads: 4, tps: 1497.50, reads: 4492.41, writes: 4492.61, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 750s] threads: 4, tps: 1467.70, reads: 4402.69, writes: 4402.89, response time: 3.05ms (95%), errors: 0.00, reconnects:  0.00
