sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 48
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 48, tps: 126.80, reads: 394.79, writes: 389.99, response time: 2206.55ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 48, tps: 58.20, reads: 174.60, writes: 174.60, response time: 1902.10ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 48, tps: 187.90, reads: 563.70, writes: 563.70, response time: 2668.48ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 48, tps: 189.50, reads: 568.50, writes: 568.50, response time: 1792.64ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 48, tps: 373.00, reads: 1119.00, writes: 1119.00, response time: 139.54ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 48, tps: 1835.30, reads: 5499.90, writes: 5500.80, response time: 31.33ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 48, tps: 6269.81, reads: 18809.42, writes: 18809.22, response time: 12.23ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 48, tps: 6549.50, reads: 19649.70, writes: 19649.60, response time: 10.64ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 48, tps: 6673.20, reads: 20019.31, writes: 20019.81, response time: 10.30ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 48, tps: 6616.40, reads: 19847.99, writes: 19848.59, response time: 10.35ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 48, tps: 6596.00, reads: 19788.71, writes: 19787.91, response time: 10.35ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 48, tps: 6682.70, reads: 20049.50, writes: 20048.90, response time: 10.17ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 48, tps: 6579.40, reads: 19737.29, writes: 19737.59, response time: 10.64ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 48, tps: 6332.40, reads: 18998.11, writes: 18997.71, response time: 11.98ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 48, tps: 6513.10, reads: 19539.59, writes: 19540.19, response time: 10.62ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 48, tps: 6565.70, reads: 19695.49, writes: 19695.59, response time: 10.36ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 48, tps: 6574.50, reads: 19725.21, writes: 19725.01, response time: 10.36ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 48, tps: 6579.70, reads: 19737.91, writes: 19738.11, response time: 10.36ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 48, tps: 6631.10, reads: 19891.90, writes: 19892.20, response time: 10.27ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 48, tps: 6559.50, reads: 19679.99, writes: 19679.39, response time: 10.30ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 48, tps: 6606.80, reads: 19819.11, writes: 19820.31, response time: 10.26ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 48, tps: 6571.19, reads: 19714.28, writes: 19713.78, response time: 10.35ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 48, tps: 6567.51, reads: 19702.62, writes: 19702.12, response time: 10.39ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 48, tps: 6279.80, reads: 18839.40, writes: 18837.90, response time: 11.27ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 48, tps: 6067.20, reads: 18202.00, writes: 18203.50, response time: 11.79ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 48, tps: 6248.40, reads: 18745.60, writes: 18745.50, response time: 10.88ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 48, tps: 6462.20, reads: 19387.30, writes: 19387.10, response time: 10.50ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 48, tps: 6400.10, reads: 19198.30, writes: 19199.40, response time: 10.49ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 48, tps: 6486.59, reads: 19458.98, writes: 19458.98, response time: 10.44ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 48, tps: 6549.31, reads: 19649.32, writes: 19648.62, response time: 10.36ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 48, tps: 6578.00, reads: 19735.10, writes: 19734.80, response time: 10.33ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 48, tps: 6541.80, reads: 19624.90, writes: 19625.20, response time: 10.40ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 48, tps: 6547.10, reads: 19641.00, writes: 19641.50, response time: 10.33ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 48, tps: 6522.60, reads: 19566.19, writes: 19566.29, response time: 10.44ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 48, tps: 6148.19, reads: 18451.17, writes: 18449.67, response time: 11.68ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 48, tps: 5722.51, reads: 17162.93, writes: 17163.93, response time: 13.50ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 48, tps: 6299.80, reads: 18899.10, writes: 18898.90, response time: 10.81ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 48, tps: 6408.30, reads: 19224.20, writes: 19224.30, response time: 10.65ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 48, tps: 6500.99, reads: 19503.58, writes: 19503.58, response time: 10.42ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 48, tps: 6539.51, reads: 19618.42, writes: 19618.42, response time: 10.31ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 48, tps: 6465.30, reads: 19395.69, writes: 19396.09, response time: 10.43ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 48, tps: 6528.00, reads: 19584.30, writes: 19583.40, response time: 10.34ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 48, tps: 6537.60, reads: 19612.80, writes: 19613.10, response time: 10.38ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 48, tps: 6526.50, reads: 19579.90, writes: 19579.70, response time: 10.38ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 48, tps: 6252.49, reads: 18760.87, writes: 18760.57, response time: 11.40ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 48, tps: 6018.21, reads: 18054.93, writes: 18052.43, response time: 12.13ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 48, tps: 6309.09, reads: 18924.17, writes: 18927.17, response time: 11.01ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 48, tps: 6490.61, reads: 19472.43, writes: 19472.23, response time: 10.50ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 48, tps: 6443.00, reads: 19328.50, writes: 19328.70, response time: 10.49ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 48, tps: 6509.10, reads: 19525.19, writes: 19525.99, response time: 10.43ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 48, tps: 6535.21, reads: 19607.32, writes: 19606.82, response time: 10.40ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 48, tps: 6552.80, reads: 19658.40, writes: 19658.30, response time: 10.39ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 48, tps: 6383.70, reads: 19149.60, writes: 19149.90, response time: 10.74ms (95%), errors: 0.00, reconnects:  0.00
