sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 1, tps: 439.71, reads: 1319.13, writes: 1319.13, response time: 2.59ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 450.40, reads: 1351.49, writes: 1351.19, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 73.90, reads: 221.70, writes: 221.90, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 155.80, reads: 467.10, writes: 467.20, response time: 2.58ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 444.50, reads: 1333.70, writes: 1333.50, response time: 2.54ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1, tps: 449.20, reads: 1347.40, writes: 1347.60, response time: 2.52ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1, tps: 459.40, reads: 1378.49, writes: 1378.39, response time: 2.44ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1, tps: 258.70, reads: 775.81, writes: 775.91, response time: 2.34ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1, tps: 494.30, reads: 1482.89, writes: 1482.89, response time: 2.22ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1, tps: 483.51, reads: 1450.52, writes: 1450.52, response time: 2.28ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1, tps: 468.70, reads: 1406.30, writes: 1406.10, response time: 2.37ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1, tps: 4.60, reads: 13.90, writes: 14.00, response time: 2.37ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1, tps: 410.90, reads: 1232.40, writes: 1232.50, response time: 2.43ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 1, tps: 462.80, reads: 1388.40, writes: 1388.40, response time: 2.43ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 1, tps: 458.30, reads: 1375.00, writes: 1374.90, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 1, tps: 489.40, reads: 1468.40, writes: 1468.30, response time: 2.29ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 1, tps: 460.50, reads: 1381.20, writes: 1381.40, response time: 2.54ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 1, tps: 428.10, reads: 1284.30, writes: 1284.30, response time: 2.72ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 1, tps: 399.90, reads: 1199.70, writes: 1199.70, response time: 2.82ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 1, tps: 401.60, reads: 1204.80, writes: 1204.80, response time: 2.81ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 1, tps: 401.80, reads: 1205.50, writes: 1205.40, response time: 2.81ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 1, tps: 401.40, reads: 1204.40, writes: 1204.20, response time: 2.82ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 1, tps: 418.70, reads: 1255.80, writes: 1256.10, response time: 2.74ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 1, tps: 428.70, reads: 1286.10, writes: 1286.10, response time: 2.72ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 1, tps: 400.00, reads: 1200.10, writes: 1200.00, response time: 2.81ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 1, tps: 400.00, reads: 1200.00, writes: 1200.00, response time: 2.82ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 1, tps: 399.90, reads: 1199.60, writes: 1199.70, response time: 2.82ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 1, tps: 409.50, reads: 1228.50, writes: 1228.50, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 1, tps: 402.00, reads: 1206.30, writes: 1206.00, response time: 2.81ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 1, tps: 402.10, reads: 1206.00, writes: 1206.30, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 1, tps: 413.40, reads: 1240.50, writes: 1240.40, response time: 2.77ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 1, tps: 401.00, reads: 1202.70, writes: 1202.80, response time: 2.82ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 1, tps: 409.20, reads: 1227.60, writes: 1227.60, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 1, tps: 443.20, reads: 1329.60, writes: 1329.60, response time: 2.59ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 1, tps: 415.00, reads: 1245.00, writes: 1245.00, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 1, tps: 404.00, reads: 1212.00, writes: 1212.00, response time: 2.82ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 1, tps: 401.40, reads: 1204.50, writes: 1204.20, response time: 2.81ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 1, tps: 445.00, reads: 1334.70, writes: 1335.00, response time: 2.54ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 1, tps: 434.40, reads: 1303.20, writes: 1303.20, response time: 2.64ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 1, tps: 400.80, reads: 1202.60, writes: 1202.40, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 1, tps: 406.20, reads: 1218.40, writes: 1218.60, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 1, tps: 408.00, reads: 1224.10, writes: 1224.00, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 1, tps: 410.20, reads: 1230.50, writes: 1230.60, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 1, tps: 440.90, reads: 1322.70, writes: 1322.70, response time: 2.59ms (95%), errors: 0.00, reconnects:  0.00
