sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 128, tps: 0.00, reads: 3.50, writes: 0.60, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 128, tps: 11758.81, reads: 35280.24, writes: 35277.74, response time: 15.92ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 128, tps: 12090.08, reads: 36272.04, writes: 36270.44, response time: 15.89ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 128, tps: 12039.41, reads: 36115.92, writes: 36117.42, response time: 15.96ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 128, tps: 12043.80, reads: 36135.61, writes: 36133.01, response time: 15.92ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 128, tps: 12046.69, reads: 36143.28, writes: 36140.88, response time: 15.82ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 128, tps: 12020.30, reads: 36056.70, writes: 36060.30, response time: 15.91ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 128, tps: 12034.50, reads: 36102.71, writes: 36102.11, response time: 15.97ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 128, tps: 12018.70, reads: 36054.80, writes: 36056.80, response time: 15.93ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 128, tps: 12067.70, reads: 36203.81, writes: 36203.11, response time: 15.86ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 128, tps: 12096.86, reads: 36294.67, writes: 36291.17, response time: 15.83ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 128, tps: 12114.43, reads: 36338.90, writes: 36342.10, response time: 15.72ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 128, tps: 11897.41, reads: 35693.42, writes: 35692.42, response time: 15.96ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 128, tps: 11989.90, reads: 35971.90, writes: 35970.30, response time: 15.99ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 128, tps: 11977.20, reads: 35931.39, writes: 35932.29, response time: 15.97ms (95%), errors: 0.00, reconnects:  0.00
