sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 16, tps: 0.00, reads: 4.10, writes: 1.70, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3122.52, reads: 9368.26, writes: 9369.06, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 3090.81, reads: 9272.42, writes: 9272.42, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 3077.63, reads: 9232.90, writes: 9232.90, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 5965.85, reads: 17893.44, writes: 17894.54, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 4199.45, reads: 12602.45, writes: 12601.35, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 1103.51, reads: 3307.12, writes: 3307.92, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 5990.55, reads: 17971.26, writes: 17971.46, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 5553.34, reads: 16659.11, writes: 16659.61, response time: 2.96ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 5549.97, reads: 16651.01, writes: 16650.21, response time: 2.94ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 5472.60, reads: 16418.91, writes: 16417.91, response time: 2.95ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 5526.10, reads: 16577.31, writes: 16578.31, response time: 2.95ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 5457.70, reads: 16373.00, writes: 16373.20, response time: 2.94ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 5616.23, reads: 16850.39, writes: 16848.99, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 5458.37, reads: 16372.90, writes: 16374.60, response time: 2.95ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 5538.73, reads: 16620.29, writes: 16619.09, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 5497.97, reads: 16490.21, writes: 16491.11, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 5548.71, reads: 16646.33, writes: 16646.13, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 5500.20, reads: 16500.79, writes: 16500.49, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 5471.30, reads: 16413.29, writes: 16413.79, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
