sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 4
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 4, tps: 2877.85, reads: 8633.76, writes: 0.00, response time: 1.57ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 4, tps: 2885.53, reads: 8656.79, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 4, tps: 2883.20, reads: 8649.29, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 4, tps: 2880.61, reads: 8641.72, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 4, tps: 2883.90, reads: 8651.80, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 4, tps: 2885.80, reads: 8657.30, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 4, tps: 2884.50, reads: 8653.90, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 4, tps: 2979.50, reads: 8938.30, writes: 0.00, response time: 1.51ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 4, tps: 2992.60, reads: 8977.80, writes: 0.00, response time: 1.49ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 4, tps: 2992.20, reads: 8976.40, writes: 0.00, response time: 1.49ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 4, tps: 2993.00, reads: 8979.00, writes: 0.00, response time: 1.49ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 4, tps: 2992.20, reads: 8976.90, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 4, tps: 2992.50, reads: 8977.40, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 4, tps: 2992.10, reads: 8976.20, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 4, tps: 2980.30, reads: 8941.20, writes: 0.00, response time: 1.52ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 4, tps: 2957.90, reads: 8873.40, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 4, tps: 2959.70, reads: 8879.00, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 4, tps: 2958.30, reads: 8875.10, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 4, tps: 2961.30, reads: 8883.80, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 4, tps: 2959.00, reads: 8876.90, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 4, tps: 2960.50, reads: 8881.80, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 4, tps: 2962.90, reads: 8888.40, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 4, tps: 2962.20, reads: 8886.70, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 4, tps: 2913.40, reads: 8740.10, writes: 0.00, response time: 1.59ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 4, tps: 2952.60, reads: 8857.80, writes: 0.00, response time: 1.57ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 4, tps: 2961.00, reads: 8883.00, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 4, tps: 2960.20, reads: 8880.60, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 4, tps: 2960.30, reads: 8881.10, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 4, tps: 2932.18, reads: 8796.45, writes: 0.00, response time: 1.58ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 4, tps: 2910.89, reads: 8732.58, writes: 0.00, response time: 1.59ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 4, tps: 2907.61, reads: 8722.82, writes: 0.00, response time: 1.59ms (95%), errors: 0.00, reconnects:  0.00
