sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 48
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 48, tps: 21349.80, reads: 64050.81, writes: 0.00, response time: 2.54ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 48, tps: 21453.66, reads: 64359.99, writes: 0.00, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 48, tps: 21400.48, reads: 64201.34, writes: 0.00, response time: 2.52ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 48, tps: 21441.47, reads: 64325.41, writes: 0.00, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 48, tps: 21411.14, reads: 64233.33, writes: 0.00, response time: 2.53ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 48, tps: 21442.54, reads: 64327.62, writes: 0.00, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 48, tps: 21455.11, reads: 64364.73, writes: 0.00, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 48, tps: 21445.80, reads: 64337.91, writes: 0.00, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 48, tps: 21447.18, reads: 64341.15, writes: 0.00, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 48, tps: 21445.58, reads: 64337.64, writes: 0.00, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 48, tps: 21421.44, reads: 64263.31, writes: 0.00, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 48, tps: 21583.62, reads: 64751.16, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 48, tps: 21617.67, reads: 64853.21, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 48, tps: 21625.92, reads: 64878.16, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 48, tps: 21601.92, reads: 64805.66, writes: 0.00, response time: 2.48ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 48, tps: 21601.63, reads: 64804.89, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 48, tps: 21620.54, reads: 64861.23, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 48, tps: 21577.50, reads: 64732.61, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 48, tps: 21571.88, reads: 64715.74, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 48, tps: 21547.91, reads: 64643.02, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 48, tps: 21609.91, reads: 64829.83, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 48, tps: 21567.28, reads: 64702.33, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 48, tps: 21596.08, reads: 64787.64, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 48, tps: 21547.74, reads: 64644.21, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 48, tps: 21582.82, reads: 64748.16, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 48, tps: 21571.93, reads: 64716.18, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 48, tps: 21553.57, reads: 64660.62, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 48, tps: 21596.30, reads: 64788.49, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 48, tps: 21607.65, reads: 64822.66, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 48, tps: 21582.10, reads: 64746.41, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 48, tps: 21563.42, reads: 64690.27, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 48, tps: 21559.63, reads: 64678.80, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 48, tps: 21510.57, reads: 64532.02, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 48, tps: 21523.39, reads: 64569.76, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 48, tps: 21566.30, reads: 64699.71, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 48, tps: 21578.80, reads: 64735.59, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 48, tps: 21533.37, reads: 64600.81, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 48, tps: 21572.78, reads: 64718.43, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 48, tps: 21580.46, reads: 64740.38, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 48, tps: 21582.80, reads: 64748.91, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 48, tps: 21577.73, reads: 64733.08, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 48, tps: 21606.98, reads: 64820.84, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 48, tps: 21536.36, reads: 64609.19, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 48, tps: 21513.22, reads: 64539.87, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 48, tps: 21544.52, reads: 64633.75, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 48, tps: 21559.40, reads: 64677.69, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 48, tps: 21547.78, reads: 64643.64, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 48, tps: 21555.92, reads: 64668.46, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 48, tps: 21552.40, reads: 64656.21, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 48, tps: 21513.50, reads: 64540.40, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 48, tps: 21552.90, reads: 64658.91, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 48, tps: 21577.59, reads: 64732.98, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 48, tps: 21542.49, reads: 64627.37, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 48, tps: 21554.62, reads: 64664.16, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 48, tps: 21491.71, reads: 64474.93, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 48, tps: 21562.89, reads: 64689.18, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 48, tps: 21535.40, reads: 64605.10, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 48, tps: 21558.10, reads: 64674.29, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 48, tps: 21504.07, reads: 64513.02, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 48, tps: 21454.50, reads: 64362.89, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 48, tps: 21524.03, reads: 64572.68, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 48, tps: 21599.80, reads: 64798.71, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 48, tps: 21572.58, reads: 64718.85, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 48, tps: 21391.43, reads: 64173.58, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 48, tps: 21549.54, reads: 64648.42, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 48, tps: 21596.84, reads: 64791.13, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 48, tps: 21541.27, reads: 64623.10, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 48, tps: 21453.22, reads: 64359.96, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 48, tps: 21495.12, reads: 64485.46, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 48, tps: 21508.80, reads: 64526.11, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 710s] threads: 48, tps: 21553.97, reads: 64661.32, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 720s] threads: 48, tps: 21430.19, reads: 64290.88, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 730s] threads: 48, tps: 21452.52, reads: 64357.67, writes: 0.00, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 740s] threads: 48, tps: 21517.21, reads: 64551.63, writes: 0.00, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
