sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 16, tps: 6163.42, reads: 18491.26, writes: 18490.66, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 6330.33, reads: 18990.98, writes: 18990.88, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 6313.20, reads: 18940.19, writes: 18939.69, response time: 2.83ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 6308.17, reads: 18923.82, writes: 18924.42, response time: 2.83ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 6380.53, reads: 19142.10, writes: 19141.60, response time: 2.81ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 6383.50, reads: 19151.00, writes: 19150.60, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 6385.90, reads: 19157.60, writes: 19157.80, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 6301.69, reads: 18904.78, writes: 18904.88, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 6367.81, reads: 19103.12, writes: 19103.32, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 6356.40, reads: 19068.49, writes: 19068.99, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 6398.70, reads: 19196.70, writes: 19196.50, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 6399.40, reads: 19197.71, writes: 19197.91, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 6405.50, reads: 19217.49, writes: 19216.99, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 6364.90, reads: 19093.41, writes: 19094.21, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 6286.60, reads: 18860.19, writes: 18859.69, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 6388.30, reads: 19165.81, writes: 19165.61, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 6397.10, reads: 19192.40, writes: 19191.50, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 6382.50, reads: 19146.09, writes: 19146.79, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 6386.40, reads: 19159.10, writes: 19159.50, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 6379.60, reads: 19138.90, writes: 19138.70, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 6366.60, reads: 19099.60, writes: 19099.80, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 6366.30, reads: 19099.70, writes: 19098.80, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 6369.40, reads: 19106.90, writes: 19108.00, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 6365.40, reads: 19097.29, writes: 19096.59, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 6385.50, reads: 19157.11, writes: 19156.31, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 16, tps: 6389.40, reads: 19167.40, writes: 19168.20, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 16, tps: 6295.00, reads: 18886.09, writes: 18885.39, response time: 2.81ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 16, tps: 6359.10, reads: 19076.40, writes: 19076.90, response time: 2.81ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 16, tps: 6359.40, reads: 19077.10, writes: 19078.10, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 16, tps: 6378.60, reads: 19136.10, writes: 19135.70, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 16, tps: 6396.70, reads: 19192.00, writes: 19190.40, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 16, tps: 6375.30, reads: 19123.90, writes: 19125.70, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 16, tps: 6413.70, reads: 19241.40, writes: 19241.10, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 16, tps: 6403.60, reads: 19210.59, writes: 19210.69, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 16, tps: 6395.80, reads: 19187.30, writes: 19187.50, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 16, tps: 6364.10, reads: 19093.01, writes: 19092.11, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 16, tps: 6385.20, reads: 19155.30, writes: 19155.90, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 16, tps: 6390.90, reads: 19171.90, writes: 19172.40, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 16, tps: 6385.30, reads: 19156.00, writes: 19156.00, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 16, tps: 6388.70, reads: 19166.09, writes: 19165.99, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 16, tps: 6049.80, reads: 18149.80, writes: 18149.70, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 16, tps: 6375.00, reads: 19125.70, writes: 19125.00, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 16, tps: 6378.00, reads: 19133.60, writes: 19134.00, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 16, tps: 6395.50, reads: 19187.40, writes: 19186.60, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 16, tps: 6390.90, reads: 19172.01, writes: 19172.81, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 16, tps: 6384.59, reads: 19153.78, writes: 19154.08, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 16, tps: 6390.70, reads: 19171.80, writes: 19171.30, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 16, tps: 5782.30, reads: 17347.01, writes: 17347.31, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 16, tps: 6230.10, reads: 18690.80, writes: 18690.20, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 16, tps: 6392.60, reads: 19177.00, writes: 19177.70, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 16, tps: 6398.70, reads: 19195.90, writes: 19196.20, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 16, tps: 6422.10, reads: 19267.10, writes: 19266.30, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 16, tps: 6404.30, reads: 19211.79, writes: 19212.69, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 16, tps: 6395.60, reads: 19187.51, writes: 19187.11, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 16, tps: 5631.60, reads: 16894.70, writes: 16894.40, response time: 2.81ms (95%), errors: 0.00, reconnects:  0.00
