sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 16, tps: 10190.11, reads: 30570.43, writes: 0.00, response time: 1.76ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 10310.00, reads: 30930.50, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 10357.61, reads: 31072.32, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 10333.49, reads: 31000.67, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 10370.21, reads: 31110.83, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 10339.00, reads: 31016.70, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 10367.79, reads: 31103.67, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 10357.01, reads: 31070.94, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 10320.89, reads: 30962.96, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 10331.51, reads: 30993.84, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 10328.99, reads: 30987.06, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 10343.81, reads: 31031.54, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 10373.00, reads: 31118.90, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 10371.79, reads: 31115.47, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 10397.41, reads: 31192.32, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 10354.39, reads: 31063.27, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 10356.30, reads: 31069.01, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 10348.91, reads: 31046.52, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 10369.40, reads: 31108.10, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 10373.20, reads: 31119.90, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 10353.00, reads: 31058.79, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 10385.10, reads: 31155.50, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
