sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 512
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 512, tps: 0.00, reads: 6.90, writes: 1.50, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 512, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 512, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 512, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 512, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 512, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 512, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 512, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 512, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 512, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 512, tps: 0.10, reads: 0.00, writes: 0.10, response time: 100734.92ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 512, tps: 3211.87, reads: 9677.02, writes: 9648.02, response time: 94.67ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 512, tps: 10651.78, reads: 31945.95, writes: 31951.65, response time: 92.32ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 512, tps: 10359.82, reads: 31078.16, writes: 31077.96, response time: 93.55ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 512, tps: 10618.79, reads: 31857.96, writes: 31859.76, response time: 90.90ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 512, tps: 10307.64, reads: 30919.12, writes: 30919.12, response time: 95.99ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 512, tps: 10366.75, reads: 31101.05, writes: 31100.65, response time: 95.96ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 512, tps: 10286.32, reads: 30859.15, writes: 30859.85, response time: 96.48ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 512, tps: 10498.69, reads: 31492.88, writes: 31495.88, response time: 92.66ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 512, tps: 10177.02, reads: 30532.96, writes: 30530.76, response time: 98.22ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 512, tps: 10441.06, reads: 31325.98, writes: 31322.78, response time: 93.21ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 512, tps: 10292.93, reads: 30877.19, writes: 30878.69, response time: 95.99ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 512, tps: 10252.16, reads: 30753.18, writes: 30755.98, response time: 96.42ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 512, tps: 9982.08, reads: 29944.14, writes: 29944.94, response time: 99.71ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 512, tps: 9710.09, reads: 29133.28, writes: 29132.08, response time: 99.62ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 512, tps: 9764.07, reads: 29294.22, writes: 29292.02, response time: 99.83ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 512, tps: 10139.85, reads: 30420.94, writes: 30419.04, response time: 99.41ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 512, tps: 10343.31, reads: 31033.04, writes: 31033.04, response time: 95.38ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 512, tps: 9815.81, reads: 29441.02, writes: 29445.12, response time: 101.21ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 512, tps: 10151.28, reads: 30455.23, writes: 30454.13, response time: 98.43ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 512, tps: 9889.71, reads: 29668.33, writes: 29668.53, response time: 100.88ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 512, tps: 10376.33, reads: 31131.28, writes: 31130.18, response time: 93.94ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 512, tps: 9612.16, reads: 28835.77, writes: 28836.37, response time: 100.85ms (95%), errors: 0.00, reconnects:  0.00
