sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 512
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 512, tps: 24103.16, reads: 72317.29, writes: 0.00, response time: 47.93ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 512, tps: 24101.26, reads: 72303.57, writes: 0.00, response time: 48.00ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 512, tps: 24092.06, reads: 72275.68, writes: 0.00, response time: 48.07ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 512, tps: 23933.55, reads: 71801.36, writes: 0.00, response time: 48.35ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 512, tps: 24065.82, reads: 72196.96, writes: 0.00, response time: 47.64ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 512, tps: 24033.90, reads: 72101.30, writes: 0.00, response time: 47.82ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 512, tps: 24167.07, reads: 72505.70, writes: 0.00, response time: 47.66ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 512, tps: 24284.78, reads: 72858.33, writes: 0.00, response time: 47.43ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 512, tps: 24222.84, reads: 72666.11, writes: 0.00, response time: 47.67ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 512, tps: 24278.18, reads: 72838.25, writes: 0.00, response time: 47.46ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 512, tps: 24305.66, reads: 72913.48, writes: 0.00, response time: 47.47ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 512, tps: 24256.55, reads: 72768.46, writes: 0.00, response time: 47.57ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 512, tps: 24166.15, reads: 72494.34, writes: 0.00, response time: 47.70ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 512, tps: 24090.28, reads: 72270.94, writes: 0.00, response time: 47.90ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 512, tps: 24147.77, reads: 72444.91, writes: 0.00, response time: 47.76ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 512, tps: 24146.64, reads: 72437.93, writes: 0.00, response time: 47.80ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 512, tps: 24181.09, reads: 72542.88, writes: 0.00, response time: 47.66ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 512, tps: 24145.58, reads: 72436.04, writes: 0.00, response time: 47.72ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 512, tps: 24211.68, reads: 72640.15, writes: 0.00, response time: 47.77ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 512, tps: 24353.35, reads: 73062.74, writes: 0.00, response time: 47.40ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 512, tps: 24323.50, reads: 72974.09, writes: 0.00, response time: 47.56ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 512, tps: 24210.42, reads: 72628.75, writes: 0.00, response time: 47.83ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 512, tps: 24347.04, reads: 73039.03, writes: 0.00, response time: 47.50ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 512, tps: 24248.52, reads: 72749.86, writes: 0.00, response time: 47.67ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 512, tps: 24166.90, reads: 72491.50, writes: 0.00, response time: 47.77ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 512, tps: 24123.18, reads: 72370.34, writes: 0.00, response time: 47.86ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 512, tps: 24087.30, reads: 72260.00, writes: 0.00, response time: 47.93ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 512, tps: 24140.50, reads: 72422.41, writes: 0.00, response time: 47.74ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 512, tps: 24249.24, reads: 72746.41, writes: 0.00, response time: 47.47ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 512, tps: 24108.16, reads: 72324.58, writes: 0.00, response time: 47.83ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 512, tps: 24257.30, reads: 72781.41, writes: 0.00, response time: 47.54ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 512, tps: 24272.21, reads: 72815.53, writes: 0.00, response time: 47.77ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 512, tps: 24285.45, reads: 72853.44, writes: 0.00, response time: 47.63ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 512, tps: 24261.24, reads: 72787.53, writes: 0.00, response time: 47.66ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 512, tps: 24410.64, reads: 73230.73, writes: 0.00, response time: 47.23ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 512, tps: 24319.10, reads: 72954.61, writes: 0.00, response time: 47.54ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 512, tps: 24261.91, reads: 72782.42, writes: 0.00, response time: 47.42ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 512, tps: 24199.57, reads: 72597.12, writes: 0.00, response time: 47.56ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 512, tps: 24213.96, reads: 72642.77, writes: 0.00, response time: 47.52ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 512, tps: 24186.71, reads: 72559.74, writes: 0.00, response time: 47.63ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 512, tps: 24108.10, reads: 72324.29, writes: 0.00, response time: 47.80ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 512, tps: 24164.80, reads: 72493.00, writes: 0.00, response time: 47.66ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 512, tps: 24235.71, reads: 72714.72, writes: 0.00, response time: 47.60ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 512, tps: 24316.34, reads: 72949.43, writes: 0.00, response time: 47.46ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 512, tps: 24350.85, reads: 73052.25, writes: 0.00, response time: 47.47ms (95%), errors: 0.00, reconnects:  0.00
