sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 128, tps: 9334.63, reads: 28012.99, writes: 28005.99, response time: 16.97ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 128, tps: 7027.10, reads: 21081.91, writes: 21081.51, response time: 18.42ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 128, tps: 8385.15, reads: 25184.14, writes: 25178.74, response time: 18.66ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 128, tps: 6808.84, reads: 20400.51, writes: 20404.31, response time: 19.36ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 128, tps: 8008.70, reads: 24023.41, writes: 24025.91, response time: 18.14ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 128, tps: 9566.20, reads: 28696.70, writes: 28697.70, response time: 17.73ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 128, tps: 11213.40, reads: 33642.89, writes: 33640.99, response time: 19.20ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 128, tps: 11672.80, reads: 35017.40, writes: 35017.40, response time: 18.36ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 128, tps: 11688.81, reads: 35066.42, writes: 35066.52, response time: 18.10ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 128, tps: 11657.59, reads: 34971.37, writes: 34972.37, response time: 18.48ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 128, tps: 11686.01, reads: 35060.04, writes: 35058.94, response time: 18.21ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 128, tps: 11226.59, reads: 33680.27, writes: 33678.97, response time: 19.99ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 128, tps: 11516.31, reads: 34546.52, writes: 34549.12, response time: 18.74ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 128, tps: 10877.20, reads: 32633.39, writes: 32631.99, response time: 19.71ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 128, tps: 11395.80, reads: 34186.51, writes: 34187.11, response time: 19.30ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 128, tps: 11366.30, reads: 34098.01, writes: 34098.91, response time: 19.94ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 128, tps: 10758.60, reads: 32274.90, writes: 32274.50, response time: 20.90ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 128, tps: 11487.69, reads: 34467.18, writes: 34463.88, response time: 19.30ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 128, tps: 11143.01, reads: 33426.22, writes: 33429.22, response time: 20.22ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 128, tps: 11876.70, reads: 35631.89, writes: 35630.79, response time: 17.70ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 128, tps: 11125.49, reads: 33372.38, writes: 33374.98, response time: 19.78ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 128, tps: 10358.90, reads: 31079.40, writes: 31077.10, response time: 20.53ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 128, tps: 10755.51, reads: 32267.53, writes: 32267.53, response time: 20.99ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 128, tps: 10914.40, reads: 32741.10, writes: 32742.80, response time: 20.28ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 128, tps: 11763.90, reads: 35296.11, writes: 35292.91, response time: 18.19ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 128, tps: 9638.50, reads: 28914.90, writes: 28914.70, response time: 21.45ms (95%), errors: 0.00, reconnects:  0.00
