sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 16, tps: 10116.49, reads: 30349.86, writes: 0.00, response time: 1.77ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 10173.20, reads: 30519.39, writes: 0.00, response time: 1.76ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 10227.31, reads: 30681.83, writes: 0.00, response time: 1.76ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 10294.60, reads: 30884.40, writes: 0.00, response time: 1.76ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 10330.40, reads: 30990.70, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 10344.70, reads: 31034.01, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 10271.00, reads: 30813.29, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 10148.80, reads: 30446.51, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 10142.99, reads: 30428.68, writes: 0.00, response time: 1.76ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 10191.00, reads: 30573.00, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 10319.29, reads: 30957.86, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 10263.51, reads: 30790.54, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 10272.60, reads: 30818.00, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 10227.70, reads: 30682.90, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 10210.30, reads: 30630.90, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 10223.70, reads: 30671.60, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 10193.39, reads: 30579.68, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 10173.11, reads: 30519.92, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 10182.60, reads: 30547.30, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 10170.10, reads: 30510.39, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 10189.40, reads: 30567.90, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 10242.00, reads: 30726.30, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 10208.40, reads: 30625.31, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 10197.60, reads: 30592.80, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 10196.79, reads: 30590.48, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 16, tps: 10226.31, reads: 30678.72, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 16, tps: 10211.60, reads: 30634.70, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 16, tps: 10214.60, reads: 30643.90, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 16, tps: 10217.50, reads: 30652.50, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 16, tps: 10214.20, reads: 30642.30, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 16, tps: 10215.30, reads: 30645.80, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 16, tps: 10247.70, reads: 30743.20, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 16, tps: 10240.60, reads: 30722.00, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 16, tps: 10311.19, reads: 30933.58, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 16, tps: 10263.31, reads: 30790.22, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 16, tps: 10253.20, reads: 30759.30, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
