sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 32
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 32, tps: 0.40, reads: 4.80, writes: 2.70, response time: 9403.94ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 32, tps: 0.10, reads: 0.10, writes: 0.20, response time: 15959.60ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 32, tps: 0.40, reads: 0.20, writes: 0.80, response time: 25764.64ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 32, tps: 0.20, reads: 0.30, writes: 0.40, response time: 33519.32ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 32, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 32, tps: 0.80, reads: 2.20, writes: 2.00, response time: 57623.23ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 32, tps: 1.90, reads: 6.40, writes: 6.10, response time: 67308.25ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 32, tps: 4.50, reads: 12.60, writes: 13.10, response time: 64122.15ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 32, tps: 2120.00, reads: 6360.31, writes: 6360.21, response time: 3.34ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 32, tps: 10670.36, reads: 32010.28, writes: 32010.68, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 32, tps: 10630.51, reads: 31894.52, writes: 31892.42, response time: 3.27ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 32, tps: 10634.70, reads: 31902.89, writes: 31904.19, response time: 3.27ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 32, tps: 10627.01, reads: 31881.12, writes: 31880.42, response time: 3.28ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 32, tps: 10625.70, reads: 31876.49, writes: 31877.19, response time: 3.27ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 32, tps: 10624.30, reads: 31872.91, writes: 31872.71, response time: 3.28ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 32, tps: 10612.29, reads: 31836.88, writes: 31836.88, response time: 3.28ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 32, tps: 10687.51, reads: 32062.82, writes: 32062.92, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 32, tps: 10664.50, reads: 31993.19, writes: 31993.09, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 32, tps: 10679.19, reads: 32036.48, writes: 32037.58, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 32, tps: 10672.51, reads: 32019.94, writes: 32018.24, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 32, tps: 10664.70, reads: 31993.00, writes: 31993.30, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 32, tps: 10683.60, reads: 32050.30, writes: 32051.00, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 32, tps: 10689.20, reads: 32067.20, writes: 32067.30, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 32, tps: 10694.29, reads: 32083.28, writes: 32083.38, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 32, tps: 10610.31, reads: 31831.32, writes: 31830.72, response time: 3.27ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 32, tps: 10692.50, reads: 32076.49, writes: 32077.49, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 32, tps: 10678.00, reads: 32033.11, writes: 32033.61, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 32, tps: 10662.80, reads: 31989.41, writes: 31988.81, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 32, tps: 10687.30, reads: 32062.69, writes: 32062.19, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 32, tps: 10699.50, reads: 32098.10, writes: 32098.30, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 32, tps: 10666.80, reads: 31999.59, writes: 31999.89, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 32, tps: 10688.90, reads: 32067.01, writes: 32067.01, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 32, tps: 10719.79, reads: 32159.97, writes: 32159.27, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 32, tps: 10710.00, reads: 32130.21, writes: 32130.41, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 32, tps: 10681.80, reads: 32045.41, writes: 32045.51, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 32, tps: 10715.00, reads: 32146.40, writes: 32145.10, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 32, tps: 10690.70, reads: 32071.40, writes: 32072.30, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 32, tps: 10211.70, reads: 30635.01, writes: 30634.71, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 32, tps: 10657.90, reads: 31972.80, writes: 31973.10, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 32, tps: 10713.50, reads: 32141.50, writes: 32141.00, response time: 3.24ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 32, tps: 10672.20, reads: 32015.21, writes: 32016.41, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 32, tps: 10711.80, reads: 32136.59, writes: 32135.09, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 32, tps: 10697.40, reads: 32091.39, writes: 32092.49, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 32, tps: 10691.49, reads: 32075.38, writes: 32074.98, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 32, tps: 10158.21, reads: 30474.02, writes: 30474.62, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 32, tps: 10541.80, reads: 31626.40, writes: 31625.60, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 32, tps: 10671.60, reads: 32013.50, writes: 32014.10, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 32, tps: 10682.80, reads: 32050.49, writes: 32049.29, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 32, tps: 10619.30, reads: 31855.01, writes: 31857.01, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 32, tps: 10696.80, reads: 32090.49, writes: 32090.39, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 32, tps: 10693.20, reads: 32080.31, writes: 32079.21, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 32, tps: 10044.50, reads: 30134.91, writes: 30134.61, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 32, tps: 10429.50, reads: 31288.09, writes: 31288.09, response time: 3.27ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 32, tps: 10516.79, reads: 31550.28, writes: 31550.38, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 32, tps: 10676.11, reads: 32027.33, writes: 32027.93, response time: 3.25ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 32, tps: 10670.20, reads: 32010.20, writes: 32010.50, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 32, tps: 10672.10, reads: 32015.69, writes: 32016.59, response time: 3.26ms (95%), errors: 0.00, reconnects:  0.00
