sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 32
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 32, tps: 17411.16, reads: 52234.38, writes: 0.00, response time: 1.96ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 32, tps: 17433.40, reads: 52300.21, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 32, tps: 17465.64, reads: 52396.72, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 32, tps: 17433.17, reads: 52299.70, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 32, tps: 17483.19, reads: 52449.27, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 32, tps: 17503.45, reads: 52510.84, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 32, tps: 17471.30, reads: 52413.41, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 32, tps: 17491.86, reads: 52476.09, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 32, tps: 17472.89, reads: 52418.66, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 32, tps: 17489.95, reads: 52468.95, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 32, tps: 17465.80, reads: 52397.79, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 32, tps: 17496.27, reads: 52488.71, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 32, tps: 17477.49, reads: 52432.77, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 32, tps: 17518.14, reads: 52554.22, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 32, tps: 17479.56, reads: 52439.59, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 32, tps: 17514.48, reads: 52542.35, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 32, tps: 17485.21, reads: 52455.94, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 32, tps: 17507.70, reads: 52523.30, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 32, tps: 17455.80, reads: 52367.41, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 32, tps: 17480.44, reads: 52440.62, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 32, tps: 17466.47, reads: 52399.50, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 32, tps: 17492.63, reads: 52478.30, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 32, tps: 17471.96, reads: 52416.39, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 32, tps: 17495.06, reads: 52485.17, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 32, tps: 17459.44, reads: 52378.03, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 32, tps: 17472.40, reads: 52416.81, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 32, tps: 17464.90, reads: 52394.99, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 32, tps: 17500.19, reads: 52500.36, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 32, tps: 17479.72, reads: 52439.15, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 32, tps: 17498.40, reads: 52495.09, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 32, tps: 17458.31, reads: 52374.83, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 32, tps: 17470.23, reads: 52411.48, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 32, tps: 17467.67, reads: 52402.80, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 32, tps: 17446.90, reads: 52340.09, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 32, tps: 17485.84, reads: 52457.52, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 32, tps: 17477.90, reads: 52434.10, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 32, tps: 17491.46, reads: 52473.98, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 32, tps: 17437.52, reads: 52312.86, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 32, tps: 17454.18, reads: 52362.55, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 32, tps: 17453.94, reads: 52361.31, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 32, tps: 17500.80, reads: 52502.40, writes: 0.00, response time: 1.94ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 32, tps: 17455.04, reads: 52366.13, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 32, tps: 17504.96, reads: 52514.07, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 32, tps: 17429.85, reads: 52289.95, writes: 0.00, response time: 1.95ms (95%), errors: 0.00, reconnects:  0.00
