sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 4
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 4, tps: 0.20, reads: 1.20, writes: 0.80, response time: 8988.34ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 4, tps: 1.20, reads: 3.40, writes: 3.60, response time: 15549.34ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 4, tps: 2.20, reads: 6.50, writes: 6.60, response time: 7811.04ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 4, tps: 1.70, reads: 5.70, writes: 5.50, response time: 8430.62ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 4, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 4, tps: 0.90, reads: 2.40, writes: 2.40, response time: 15935.73ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 4, tps: 1.30, reads: 3.60, writes: 3.80, response time: 8765.15ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 4, tps: 237.60, reads: 712.69, writes: 712.59, response time: 2.44ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 4, tps: 1817.31, reads: 5452.02, writes: 5452.02, response time: 2.48ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 4, tps: 1808.51, reads: 5425.52, writes: 5425.62, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 4, tps: 1807.50, reads: 5422.69, writes: 5422.29, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 4, tps: 1808.02, reads: 5423.86, writes: 5424.16, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 4, tps: 1801.10, reads: 5403.00, writes: 5403.20, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 4, tps: 1790.70, reads: 5372.40, writes: 5372.10, response time: 2.52ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 4, tps: 1791.60, reads: 5374.80, writes: 5374.80, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 4, tps: 1784.10, reads: 5352.00, writes: 5352.30, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 4, tps: 1770.49, reads: 5311.58, writes: 5311.48, response time: 2.53ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 4, tps: 1762.71, reads: 5288.62, writes: 5288.42, response time: 2.52ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 4, tps: 1814.00, reads: 5441.69, writes: 5441.69, response time: 2.46ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 4, tps: 1814.50, reads: 5443.49, writes: 5443.49, response time: 2.47ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 4, tps: 1814.00, reads: 5441.71, writes: 5442.01, response time: 2.46ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 4, tps: 1818.30, reads: 5454.90, writes: 5454.90, response time: 2.44ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 4, tps: 1839.40, reads: 5518.20, writes: 5518.20, response time: 2.40ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 4, tps: 1868.10, reads: 5604.70, writes: 5604.40, response time: 2.29ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 4, tps: 1875.40, reads: 5626.10, writes: 5626.10, response time: 2.29ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 4, tps: 1876.40, reads: 5628.90, writes: 5629.20, response time: 2.28ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 4, tps: 1878.70, reads: 5636.40, writes: 5636.30, response time: 2.28ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 4, tps: 1877.40, reads: 5631.90, writes: 5632.00, response time: 2.29ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 4, tps: 1878.30, reads: 5634.99, writes: 5634.89, response time: 2.28ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 4, tps: 1870.60, reads: 5611.71, writes: 5611.81, response time: 2.29ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 4, tps: 1884.70, reads: 5654.70, writes: 5654.10, response time: 2.28ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 4, tps: 1884.60, reads: 5653.50, writes: 5653.80, response time: 2.29ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 4, tps: 1885.80, reads: 5657.40, writes: 5657.60, response time: 2.29ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 4, tps: 1889.60, reads: 5668.51, writes: 5668.61, response time: 2.28ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 4, tps: 1887.70, reads: 5663.80, writes: 5663.30, response time: 2.28ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 4, tps: 1877.90, reads: 5633.10, writes: 5633.50, response time: 2.29ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 4, tps: 1826.20, reads: 5479.10, writes: 5478.70, response time: 2.45ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 4, tps: 1825.60, reads: 5476.20, writes: 5476.70, response time: 2.46ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 4, tps: 1822.10, reads: 5466.60, writes: 5466.30, response time: 2.46ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 4, tps: 1824.50, reads: 5473.70, writes: 5473.50, response time: 2.46ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 4, tps: 1820.70, reads: 5461.60, writes: 5462.10, response time: 2.48ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 4, tps: 1812.80, reads: 5438.69, writes: 5438.39, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 4, tps: 1807.10, reads: 5421.21, writes: 5421.31, response time: 2.46ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 4, tps: 1818.00, reads: 5454.10, writes: 5454.20, response time: 2.46ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 4, tps: 1817.80, reads: 5453.19, writes: 5453.19, response time: 2.46ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 4, tps: 1799.00, reads: 5397.21, writes: 5397.01, response time: 2.47ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 4, tps: 1824.80, reads: 5474.41, writes: 5474.41, response time: 2.45ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 4, tps: 1835.40, reads: 5506.79, writes: 5506.49, response time: 2.43ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 4, tps: 1733.50, reads: 5200.51, writes: 5200.61, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 4, tps: 1800.80, reads: 5401.80, writes: 5402.20, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 4, tps: 1786.60, reads: 5359.70, writes: 5359.60, response time: 2.54ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 4, tps: 1806.30, reads: 5419.10, writes: 5419.00, response time: 2.45ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 4, tps: 1778.90, reads: 5336.70, writes: 5336.70, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 4, tps: 1795.70, reads: 5386.70, writes: 5387.00, response time: 2.54ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 4, tps: 1750.30, reads: 5251.20, writes: 5251.00, response time: 2.56ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 4, tps: 1797.60, reads: 5392.80, writes: 5392.90, response time: 2.54ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 4, tps: 1797.79, reads: 5393.98, writes: 5393.48, response time: 2.54ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 4, tps: 1792.00, reads: 5375.50, writes: 5375.70, response time: 2.55ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 4, tps: 1808.60, reads: 5425.71, writes: 5426.01, response time: 2.52ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 4, tps: 1865.00, reads: 5594.70, writes: 5594.80, response time: 2.31ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 4, tps: 1863.40, reads: 5590.50, writes: 5590.30, response time: 2.32ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 4, tps: 1826.10, reads: 5478.60, writes: 5478.40, response time: 2.32ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 4, tps: 1862.80, reads: 5588.40, writes: 5588.20, response time: 2.32ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 4, tps: 1864.90, reads: 5594.40, writes: 5594.90, response time: 2.31ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 4, tps: 1862.00, reads: 5586.20, writes: 5586.00, response time: 2.31ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 4, tps: 1862.10, reads: 5585.80, writes: 5586.10, response time: 2.32ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 4, tps: 1861.90, reads: 5585.89, writes: 5585.69, response time: 2.32ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 4, tps: 1820.20, reads: 5460.70, writes: 5460.70, response time: 2.32ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 4, tps: 1862.40, reads: 5587.50, writes: 5587.10, response time: 2.32ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 4, tps: 1861.10, reads: 5583.60, writes: 5583.30, response time: 2.31ms (95%), errors: 0.00, reconnects:  0.00
[ 710s] threads: 4, tps: 1861.60, reads: 5584.20, writes: 5584.80, response time: 2.32ms (95%), errors: 0.00, reconnects:  0.00
[ 720s] threads: 4, tps: 1862.70, reads: 5588.10, writes: 5588.10, response time: 2.31ms (95%), errors: 0.00, reconnects:  0.00
[ 730s] threads: 4, tps: 1862.80, reads: 5588.60, writes: 5588.60, response time: 2.31ms (95%), errors: 0.00, reconnects:  0.00
