sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 512
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

FATAL: error in insert (E11000 duplicate key error collection: sbtest.sbtest1 index: _id_ dup key: { : 120000051 })
[  10s] threads: 512, tps: 10406.87, reads: 31256.30, writes: 31228.90, response time: 90.49ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 512, tps: 10214.58, reads: 30641.35, writes: 30643.65, response time: 94.56ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 512, tps: 10158.42, reads: 30471.85, writes: 30475.45, response time: 96.45ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 512, tps: 10287.18, reads: 30869.35, writes: 30864.05, response time: 94.59ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 512, tps: 10219.94, reads: 30659.02, writes: 30659.12, response time: 96.33ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 512, tps: 10165.34, reads: 30494.42, writes: 30496.02, response time: 96.68ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 512, tps: 10182.53, reads: 30548.30, writes: 30546.20, response time: 96.85ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 512, tps: 10333.77, reads: 31000.41, writes: 31000.71, response time: 93.27ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 512, tps: 10018.97, reads: 30057.41, writes: 30056.71, response time: 98.99ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 512, tps: 9634.96, reads: 28908.47, writes: 28905.97, response time: 95.30ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 512, tps: 9969.20, reads: 29903.01, writes: 29906.51, response time: 98.87ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 512, tps: 10020.29, reads: 30065.76, writes: 30061.96, response time: 98.76ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 512, tps: 9686.64, reads: 29056.12, writes: 29060.22, response time: 101.24ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 512, tps: 9741.63, reads: 29224.00, writes: 29222.00, response time: 101.21ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 512, tps: 10120.93, reads: 30363.10, writes: 30364.70, response time: 97.84ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 512, tps: 9979.57, reads: 29936.20, writes: 29938.80, response time: 96.45ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 512, tps: 9632.24, reads: 28900.52, writes: 28897.92, response time: 102.15ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 512, tps: 9846.06, reads: 29538.78, writes: 29536.18, response time: 101.00ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 512, tps: 10160.57, reads: 30482.40, writes: 30483.90, response time: 97.43ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 512, tps: 10051.76, reads: 30145.98, writes: 30152.68, response time: 98.40ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 512, tps: 9392.71, reads: 28186.22, writes: 28180.22, response time: 102.52ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 512, tps: 9931.38, reads: 29794.05, writes: 29793.85, response time: 101.97ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 512, tps: 9639.56, reads: 28916.67, writes: 28917.57, response time: 98.58ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 512, tps: 9826.11, reads: 29474.83, writes: 29477.23, response time: 102.03ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 512, tps: 10000.46, reads: 30003.49, writes: 30001.39, response time: 100.36ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 512, tps: 10274.46, reads: 30821.69, writes: 30823.89, response time: 94.70ms (95%), errors: 0.00, reconnects:  0.00
