sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 1, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 144.20, reads: 432.90, writes: 432.80, response time: 11.37ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 312.50, reads: 937.19, writes: 937.29, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1, tps: 341.90, reads: 1025.71, writes: 1025.71, response time: 3.62ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 346.30, reads: 1039.09, writes: 1038.89, response time: 3.28ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 324.90, reads: 974.81, writes: 974.91, response time: 3.32ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1, tps: 327.00, reads: 980.99, writes: 980.99, response time: 3.28ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1, tps: 353.20, reads: 1059.31, writes: 1059.41, response time: 3.15ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1, tps: 363.20, reads: 1089.59, writes: 1089.59, response time: 3.04ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1, tps: 365.50, reads: 1096.51, writes: 1096.51, response time: 3.02ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1, tps: 366.90, reads: 1100.70, writes: 1100.70, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1, tps: 371.00, reads: 1113.00, writes: 1113.00, response time: 2.99ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1, tps: 364.50, reads: 1093.50, writes: 1093.50, response time: 3.03ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1, tps: 363.00, reads: 1089.30, writes: 1089.10, response time: 3.04ms (95%), errors: 0.00, reconnects:  0.00
