sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 128, tps: 11634.51, reads: 34914.23, writes: 34906.53, response time: 17.35ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 128, tps: 11634.40, reads: 34903.21, writes: 34902.71, response time: 17.46ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 128, tps: 11609.19, reads: 34825.68, writes: 34826.68, response time: 17.59ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 128, tps: 11525.90, reads: 34577.71, writes: 34578.31, response time: 17.70ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 128, tps: 11541.40, reads: 34624.31, writes: 34624.51, response time: 17.65ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 128, tps: 11532.20, reads: 34597.49, writes: 34596.69, response time: 17.62ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 128, tps: 11519.50, reads: 34557.39, writes: 34558.19, response time: 17.73ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 128, tps: 11540.91, reads: 34622.93, writes: 34623.03, response time: 17.61ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 128, tps: 11535.20, reads: 34606.69, writes: 34605.99, response time: 17.66ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 128, tps: 11500.00, reads: 34498.71, writes: 34498.71, response time: 17.75ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 128, tps: 11491.40, reads: 34476.29, writes: 34475.79, response time: 17.74ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 128, tps: 11498.50, reads: 34493.59, writes: 34494.29, response time: 17.76ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 128, tps: 11488.70, reads: 34467.00, writes: 34467.30, response time: 17.80ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 128, tps: 11493.60, reads: 34481.91, writes: 34480.51, response time: 17.73ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 128, tps: 11461.10, reads: 34382.90, writes: 34382.60, response time: 17.75ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 128, tps: 11467.10, reads: 34404.40, writes: 34402.40, response time: 17.74ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 128, tps: 11438.59, reads: 34313.76, writes: 34315.96, response time: 17.87ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 128, tps: 11457.51, reads: 34370.83, writes: 34371.53, response time: 17.79ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 128, tps: 11440.40, reads: 34320.30, writes: 34321.60, response time: 17.86ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 128, tps: 11449.60, reads: 34347.20, writes: 34347.30, response time: 17.79ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 128, tps: 11480.10, reads: 34444.00, writes: 34441.70, response time: 17.68ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 128, tps: 11533.40, reads: 34599.60, writes: 34600.90, response time: 17.50ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 128, tps: 11528.30, reads: 34584.90, writes: 34583.80, response time: 17.56ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 128, tps: 11525.19, reads: 34575.58, writes: 34576.38, response time: 17.58ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 128, tps: 11517.91, reads: 34553.22, writes: 34553.52, response time: 17.58ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 128, tps: 11492.30, reads: 34476.80, writes: 34476.20, response time: 17.72ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 128, tps: 11504.50, reads: 34512.80, writes: 34513.20, response time: 17.65ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 128, tps: 11493.50, reads: 34484.21, writes: 34481.61, response time: 17.64ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 128, tps: 11473.50, reads: 34419.00, writes: 34420.70, response time: 17.66ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 128, tps: 11425.20, reads: 34275.00, writes: 34275.50, response time: 17.81ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 128, tps: 11359.70, reads: 34078.60, writes: 34077.80, response time: 17.89ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 128, tps: 11340.90, reads: 34022.39, writes: 34024.19, response time: 17.93ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 128, tps: 11320.90, reads: 33961.79, writes: 33961.29, response time: 17.95ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 128, tps: 11287.70, reads: 33862.61, writes: 33862.81, response time: 18.04ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 128, tps: 11299.30, reads: 33897.80, writes: 33898.10, response time: 17.98ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 128, tps: 11299.50, reads: 33897.20, writes: 33898.30, response time: 18.03ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 128, tps: 11322.20, reads: 33969.20, writes: 33966.90, response time: 18.01ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 128, tps: 11291.80, reads: 33876.30, writes: 33875.50, response time: 18.02ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 128, tps: 11299.90, reads: 33895.90, writes: 33899.40, response time: 17.98ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 128, tps: 11277.60, reads: 33836.60, writes: 33834.30, response time: 17.98ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 128, tps: 11278.10, reads: 33831.59, writes: 33832.99, response time: 18.04ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 128, tps: 11285.50, reads: 33858.71, writes: 33857.01, response time: 18.03ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 128, tps: 11291.60, reads: 33876.10, writes: 33875.40, response time: 17.98ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 128, tps: 11298.30, reads: 33891.80, writes: 33893.50, response time: 17.98ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 128, tps: 11284.00, reads: 33852.60, writes: 33852.10, response time: 18.02ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 128, tps: 11286.10, reads: 33859.69, writes: 33859.09, response time: 18.10ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 128, tps: 11295.10, reads: 33887.00, writes: 33886.10, response time: 17.98ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 128, tps: 11283.10, reads: 33845.20, writes: 33847.60, response time: 18.04ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 128, tps: 11265.20, reads: 33796.00, writes: 33795.90, response time: 18.12ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 128, tps: 11261.09, reads: 33783.78, writes: 33784.08, response time: 18.07ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 128, tps: 11265.91, reads: 33797.82, writes: 33797.12, response time: 18.10ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 128, tps: 11317.50, reads: 33953.39, writes: 33953.19, response time: 17.94ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 128, tps: 11261.30, reads: 33783.81, writes: 33782.91, response time: 18.07ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 128, tps: 11243.90, reads: 33732.29, writes: 33731.89, response time: 18.14ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 128, tps: 11252.40, reads: 33756.31, writes: 33757.21, response time: 18.07ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 128, tps: 11268.40, reads: 33804.50, writes: 33805.90, response time: 18.04ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 128, tps: 11237.39, reads: 33712.18, writes: 33711.78, response time: 18.20ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 128, tps: 11244.90, reads: 33735.81, writes: 33735.11, response time: 18.11ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 128, tps: 11264.30, reads: 33792.60, writes: 33792.30, response time: 18.13ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 128, tps: 11279.60, reads: 33838.10, writes: 33838.90, response time: 18.01ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 128, tps: 11235.80, reads: 33706.30, writes: 33707.40, response time: 18.06ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 128, tps: 11238.80, reads: 33719.50, writes: 33716.80, response time: 18.09ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 128, tps: 11244.50, reads: 33733.70, writes: 33733.30, response time: 18.10ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 128, tps: 11272.20, reads: 33814.89, writes: 33816.49, response time: 18.01ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 128, tps: 11236.60, reads: 33709.81, writes: 33709.91, response time: 18.15ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 128, tps: 11263.90, reads: 33790.40, writes: 33792.10, response time: 18.03ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 128, tps: 11260.00, reads: 33782.90, writes: 33779.70, response time: 18.06ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 128, tps: 11267.90, reads: 33801.50, writes: 33803.10, response time: 18.06ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 128, tps: 11278.50, reads: 33835.80, writes: 33835.00, response time: 18.10ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 128, tps: 11260.20, reads: 33783.40, writes: 33782.30, response time: 18.09ms (95%), errors: 0.00, reconnects:  0.00
[ 710s] threads: 128, tps: 11228.00, reads: 33683.60, writes: 33683.90, response time: 18.07ms (95%), errors: 0.00, reconnects:  0.00
[ 720s] threads: 128, tps: 11207.40, reads: 33619.39, writes: 33621.29, response time: 18.14ms (95%), errors: 0.00, reconnects:  0.00
[ 730s] threads: 128, tps: 11220.70, reads: 33662.29, writes: 33662.39, response time: 18.15ms (95%), errors: 0.00, reconnects:  0.00
[ 740s] threads: 128, tps: 11214.61, reads: 33645.53, writes: 33643.23, response time: 18.14ms (95%), errors: 0.00, reconnects:  0.00
[ 750s] threads: 128, tps: 11243.90, reads: 33730.20, writes: 33732.10, response time: 18.06ms (95%), errors: 0.00, reconnects:  0.00
[ 760s] threads: 128, tps: 11228.20, reads: 33687.89, writes: 33685.99, response time: 18.07ms (95%), errors: 0.00, reconnects:  0.00
[ 770s] threads: 128, tps: 11205.90, reads: 33614.21, writes: 33616.61, response time: 18.16ms (95%), errors: 0.00, reconnects:  0.00
[ 780s] threads: 128, tps: 11217.50, reads: 33652.20, writes: 33651.80, response time: 18.10ms (95%), errors: 0.00, reconnects:  0.00
[ 790s] threads: 128, tps: 11200.20, reads: 33603.10, writes: 33602.80, response time: 18.16ms (95%), errors: 0.00, reconnects:  0.00
[ 800s] threads: 128, tps: 11216.60, reads: 33647.19, writes: 33647.39, response time: 18.11ms (95%), errors: 0.00, reconnects:  0.00
[ 810s] threads: 128, tps: 11210.30, reads: 33630.21, writes: 33631.71, response time: 18.14ms (95%), errors: 0.00, reconnects:  0.00
[ 820s] threads: 128, tps: 11201.40, reads: 33607.20, writes: 33604.30, response time: 18.15ms (95%), errors: 0.00, reconnects:  0.00
[ 830s] threads: 128, tps: 11199.90, reads: 33600.79, writes: 33600.19, response time: 18.13ms (95%), errors: 0.00, reconnects:  0.00
[ 840s] threads: 128, tps: 11230.90, reads: 33688.21, writes: 33691.51, response time: 18.04ms (95%), errors: 0.00, reconnects:  0.00
[ 850s] threads: 128, tps: 11217.20, reads: 33654.30, writes: 33652.10, response time: 18.14ms (95%), errors: 0.00, reconnects:  0.00
[ 860s] threads: 128, tps: 11198.30, reads: 33595.39, writes: 33595.09, response time: 18.21ms (95%), errors: 0.00, reconnects:  0.00
[ 870s] threads: 128, tps: 10447.21, reads: 31341.22, writes: 31342.32, response time: 20.48ms (95%), errors: 0.00, reconnects:  0.00
[ 880s] threads: 128, tps: 10983.20, reads: 32949.40, writes: 32949.50, response time: 18.82ms (95%), errors: 0.00, reconnects:  0.00
[ 890s] threads: 128, tps: 11119.30, reads: 33359.10, writes: 33357.80, response time: 18.40ms (95%), errors: 0.00, reconnects:  0.00
[ 900s] threads: 128, tps: 11112.70, reads: 33338.29, writes: 33338.39, response time: 18.35ms (95%), errors: 0.00, reconnects:  0.00
