sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 16, tps: 7252.66, reads: 21758.49, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 7363.00, reads: 22088.61, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 7378.40, reads: 22135.70, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 7395.00, reads: 22184.40, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 7373.00, reads: 22119.61, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 7396.80, reads: 22189.80, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 7360.90, reads: 22083.39, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 7388.61, reads: 22165.32, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 7399.10, reads: 22197.60, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 7339.90, reads: 22019.30, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 7374.50, reads: 22123.59, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 7364.30, reads: 22093.01, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 7391.40, reads: 22174.20, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 7392.60, reads: 22177.60, writes: 0.00, response time: 2.40ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 7400.30, reads: 22201.30, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 7358.30, reads: 22074.60, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 7395.40, reads: 22186.20, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 7393.60, reads: 22180.81, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 7356.10, reads: 22068.30, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 7384.50, reads: 22153.60, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 7405.80, reads: 22217.29, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 7385.80, reads: 22157.41, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 7393.29, reads: 22179.77, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 7354.31, reads: 22063.32, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 7398.00, reads: 22193.70, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 16, tps: 7381.40, reads: 22144.50, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 16, tps: 7396.00, reads: 22187.60, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 16, tps: 7382.80, reads: 22148.40, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 16, tps: 7286.00, reads: 21858.60, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 16, tps: 7367.40, reads: 22101.70, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 16, tps: 7392.50, reads: 22177.50, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 16, tps: 7391.20, reads: 22173.80, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 16, tps: 7388.90, reads: 22166.60, writes: 0.00, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 16, tps: 7365.48, reads: 22096.35, writes: 0.00, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
