sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 32
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 32, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 32, tps: 11518.45, reads: 34556.75, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 32, tps: 12187.83, reads: 36562.60, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 32, tps: 12175.56, reads: 36526.99, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 32, tps: 12198.05, reads: 36594.35, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 32, tps: 12171.00, reads: 36512.30, writes: 0.00, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 32, tps: 12222.80, reads: 36668.71, writes: 0.00, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 32, tps: 12165.90, reads: 36497.39, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 32, tps: 12229.40, reads: 36688.11, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 32, tps: 12207.20, reads: 36622.10, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 32, tps: 12180.20, reads: 36540.60, writes: 0.00, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 32, tps: 12214.40, reads: 36642.99, writes: 0.00, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 32, tps: 12204.01, reads: 36612.42, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 32, tps: 12164.90, reads: 36494.40, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 32, tps: 12191.20, reads: 36574.49, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 32, tps: 12201.99, reads: 36605.38, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 32, tps: 12213.81, reads: 36641.63, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 32, tps: 12159.39, reads: 36477.18, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 32, tps: 12208.50, reads: 36625.81, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 32, tps: 12210.90, reads: 36633.00, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 32, tps: 12208.00, reads: 36623.91, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 32, tps: 12213.10, reads: 36639.81, writes: 0.00, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 32, tps: 12184.90, reads: 36554.40, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 32, tps: 12227.90, reads: 36683.30, writes: 0.00, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 32, tps: 12227.20, reads: 36681.80, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 32, tps: 12213.90, reads: 36641.70, writes: 0.00, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 32, tps: 12214.59, reads: 36643.48, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 32, tps: 12168.00, reads: 36504.51, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 32, tps: 12201.90, reads: 36605.21, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 32, tps: 12189.30, reads: 36568.80, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 32, tps: 12201.90, reads: 36605.79, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 32, tps: 12200.50, reads: 36601.01, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 32, tps: 12154.00, reads: 36462.30, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 32, tps: 12195.50, reads: 36586.30, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 32, tps: 12214.08, reads: 36642.43, writes: 0.00, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 32, tps: 12198.52, reads: 36594.96, writes: 0.00, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 32, tps: 12192.90, reads: 36578.80, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 32, tps: 12196.10, reads: 36588.50, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 32, tps: 12204.00, reads: 36611.80, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 32, tps: 12157.60, reads: 36473.09, writes: 0.00, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 32, tps: 12201.00, reads: 36603.31, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 32, tps: 12218.20, reads: 36654.30, writes: 0.00, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 32, tps: 12208.59, reads: 36625.38, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 32, tps: 12210.81, reads: 36633.12, writes: 0.00, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 32, tps: 12200.50, reads: 36601.51, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 32, tps: 12194.80, reads: 36584.20, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 32, tps: 12142.40, reads: 36427.20, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 32, tps: 12201.09, reads: 36603.38, writes: 0.00, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
