sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 48
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 48, tps: 13456.03, reads: 40369.38, writes: 0.00, response time: 4.32ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 48, tps: 13529.65, reads: 40589.14, writes: 0.00, response time: 4.27ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 48, tps: 13465.18, reads: 40395.03, writes: 0.00, response time: 4.31ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 48, tps: 13436.54, reads: 40309.43, writes: 0.00, response time: 4.29ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 48, tps: 13368.80, reads: 40106.40, writes: 0.00, response time: 4.34ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 48, tps: 13316.21, reads: 39949.22, writes: 0.00, response time: 4.39ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 48, tps: 13568.20, reads: 40704.51, writes: 0.00, response time: 4.31ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 48, tps: 13536.48, reads: 40609.55, writes: 0.00, response time: 4.35ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 48, tps: 13578.92, reads: 40736.45, writes: 0.00, response time: 4.30ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 48, tps: 13480.40, reads: 40441.29, writes: 0.00, response time: 4.38ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 48, tps: 13602.31, reads: 40806.52, writes: 0.00, response time: 4.30ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 48, tps: 13501.30, reads: 40504.40, writes: 0.00, response time: 4.36ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 48, tps: 13440.49, reads: 40322.27, writes: 0.00, response time: 4.28ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 48, tps: 13312.01, reads: 39934.42, writes: 0.00, response time: 4.37ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 48, tps: 13368.80, reads: 40107.70, writes: 0.00, response time: 4.33ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 48, tps: 13406.60, reads: 40219.99, writes: 0.00, response time: 4.32ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 48, tps: 13293.09, reads: 39878.88, writes: 0.00, response time: 4.38ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 48, tps: 13359.81, reads: 40079.23, writes: 0.00, response time: 4.33ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 48, tps: 13512.50, reads: 40537.80, writes: 0.00, response time: 4.33ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 48, tps: 13495.29, reads: 40485.26, writes: 0.00, response time: 4.35ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 48, tps: 13558.71, reads: 40675.74, writes: 0.00, response time: 4.30ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 48, tps: 13487.60, reads: 40463.41, writes: 0.00, response time: 4.34ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 48, tps: 13570.10, reads: 40709.70, writes: 0.00, response time: 4.29ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 48, tps: 13454.70, reads: 40364.29, writes: 0.00, response time: 4.38ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 48, tps: 13292.70, reads: 39878.51, writes: 0.00, response time: 4.39ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 48, tps: 13291.90, reads: 39875.60, writes: 0.00, response time: 4.38ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 48, tps: 13298.10, reads: 39894.20, writes: 0.00, response time: 4.37ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 48, tps: 13302.00, reads: 39905.91, writes: 0.00, response time: 4.39ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 48, tps: 13314.19, reads: 39942.67, writes: 0.00, response time: 4.37ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 48, tps: 13324.21, reads: 39973.43, writes: 0.00, response time: 4.36ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 48, tps: 13540.50, reads: 40620.20, writes: 0.00, response time: 4.30ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 48, tps: 13430.49, reads: 40291.67, writes: 0.00, response time: 4.37ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 48, tps: 13537.71, reads: 40613.94, writes: 0.00, response time: 4.31ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 48, tps: 13466.50, reads: 40400.00, writes: 0.00, response time: 4.35ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 48, tps: 13476.40, reads: 40428.09, writes: 0.00, response time: 4.34ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 48, tps: 13465.99, reads: 40398.28, writes: 0.00, response time: 4.35ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 48, tps: 13318.90, reads: 39957.11, writes: 0.00, response time: 4.35ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 48, tps: 13334.90, reads: 40003.60, writes: 0.00, response time: 4.33ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 48, tps: 13293.69, reads: 39882.27, writes: 0.00, response time: 4.36ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 48, tps: 13355.92, reads: 40067.45, writes: 0.00, response time: 4.35ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 48, tps: 13342.00, reads: 40025.00, writes: 0.00, response time: 4.35ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 48, tps: 13332.00, reads: 39996.40, writes: 0.00, response time: 4.37ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 48, tps: 13550.69, reads: 40651.97, writes: 0.00, response time: 4.30ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 48, tps: 13521.31, reads: 40564.13, writes: 0.00, response time: 4.32ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 48, tps: 13523.99, reads: 40573.18, writes: 0.00, response time: 4.33ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 48, tps: 13433.21, reads: 40299.32, writes: 0.00, response time: 4.38ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 48, tps: 13473.70, reads: 40420.50, writes: 0.00, response time: 4.35ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 48, tps: 13426.50, reads: 40280.00, writes: 0.00, response time: 4.39ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 48, tps: 13319.20, reads: 39956.80, writes: 0.00, response time: 4.35ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 48, tps: 13298.01, reads: 39893.72, writes: 0.00, response time: 4.37ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 48, tps: 13339.69, reads: 40019.07, writes: 0.00, response time: 4.34ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 48, tps: 13272.31, reads: 39817.42, writes: 0.00, response time: 4.39ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 48, tps: 13339.10, reads: 40017.50, writes: 0.00, response time: 4.33ms (95%), errors: 0.00, reconnects:  0.00
