sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 1, tps: 172.30, reads: 517.21, writes: 517.11, response time: 2.58ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 271.20, reads: 813.29, writes: 813.39, response time: 2.59ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1, tps: 481.30, reads: 1444.21, writes: 1444.01, response time: 2.36ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 482.70, reads: 1447.79, writes: 1447.99, response time: 2.34ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 266.40, reads: 799.51, writes: 799.41, response time: 2.37ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1, tps: 206.10, reads: 618.30, writes: 618.10, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1, tps: 256.20, reads: 768.59, writes: 768.79, response time: 2.44ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1, tps: 349.80, reads: 1049.11, writes: 1049.21, response time: 2.46ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1, tps: 468.00, reads: 1404.09, writes: 1403.99, response time: 2.39ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1, tps: 458.30, reads: 1375.11, writes: 1374.91, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1, tps: 461.90, reads: 1385.39, writes: 1385.69, response time: 2.45ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1, tps: 423.30, reads: 1270.11, writes: 1269.91, response time: 2.66ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 1, tps: 463.40, reads: 1389.99, writes: 1390.19, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 1, tps: 436.40, reads: 1309.51, writes: 1309.41, response time: 2.62ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 1, tps: 455.69, reads: 1366.78, writes: 1366.88, response time: 2.53ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 1, tps: 443.81, reads: 1331.62, writes: 1331.42, response time: 2.62ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 1, tps: 413.90, reads: 1241.59, writes: 1241.69, response time: 2.74ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 1, tps: 421.00, reads: 1262.91, writes: 1263.01, response time: 2.71ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 1, tps: 411.00, reads: 1232.99, writes: 1232.99, response time: 2.75ms (95%), errors: 0.00, reconnects:  0.00
