sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 16, tps: 1463.09, reads: 4391.38, writes: 4389.78, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 1164.09, reads: 3494.98, writes: 3494.98, response time: 2.88ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 3.20, reads: 9.60, writes: 9.60, response time: 17995.03ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 883.29, reads: 2649.88, writes: 2649.88, response time: 2.87ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 3082.73, reads: 9248.19, writes: 9248.19, response time: 2.88ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 1605.41, reads: 4812.24, writes: 4813.04, response time: 2.88ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 1482.68, reads: 4452.05, writes: 4451.25, response time: 2.87ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 1146.91, reads: 3436.64, writes: 3437.54, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 5113.77, reads: 15345.42, writes: 15344.52, response time: 2.87ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 3444.42, reads: 10329.75, writes: 10330.35, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 5511.20, reads: 16534.30, writes: 16534.00, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 5326.28, reads: 15981.63, writes: 15981.33, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 5405.32, reads: 16211.57, writes: 16212.97, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 5363.00, reads: 16090.80, writes: 16089.40, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 5423.10, reads: 16268.91, writes: 16269.51, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 5473.60, reads: 16420.20, writes: 16420.10, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 5418.70, reads: 16255.39, writes: 16255.99, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 5341.40, reads: 16025.71, writes: 16024.61, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 5400.80, reads: 16201.39, writes: 16202.19, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 5467.30, reads: 16401.80, writes: 16402.30, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 5556.90, reads: 16670.20, writes: 16670.20, response time: 2.88ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 5323.90, reads: 15972.11, writes: 15971.61, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 5485.10, reads: 16456.00, writes: 16455.90, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 5412.70, reads: 16238.50, writes: 16237.90, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 16, tps: 5604.80, reads: 16813.90, writes: 16814.50, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 16, tps: 5414.50, reads: 16246.19, writes: 16243.69, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 16, tps: 5500.60, reads: 16498.41, writes: 16501.31, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 16, tps: 5420.00, reads: 16261.00, writes: 16260.10, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 16, tps: 5445.60, reads: 16336.20, writes: 16336.90, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 16, tps: 5371.00, reads: 16112.70, writes: 16112.90, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 16, tps: 5348.30, reads: 16045.30, writes: 16045.00, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 16, tps: 5623.60, reads: 16871.60, writes: 16870.90, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 16, tps: 5291.30, reads: 15872.70, writes: 15873.40, response time: 2.96ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 16, tps: 5319.30, reads: 15958.89, writes: 15958.29, response time: 2.97ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 16, tps: 5270.20, reads: 15813.59, writes: 15813.39, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 16, tps: 5330.30, reads: 15987.11, writes: 15988.11, response time: 2.97ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 16, tps: 5299.20, reads: 15897.40, writes: 15897.60, response time: 2.97ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 16, tps: 5339.80, reads: 16022.89, writes: 16021.69, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 16, tps: 5342.90, reads: 16025.40, writes: 16026.30, response time: 2.97ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 16, tps: 5286.30, reads: 15858.50, writes: 15858.80, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 16, tps: 5283.50, reads: 15850.60, writes: 15850.60, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 16, tps: 5261.20, reads: 15784.30, writes: 15783.70, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 16, tps: 5208.80, reads: 15625.89, writes: 15626.49, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 16, tps: 5338.80, reads: 16016.71, writes: 16016.01, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
